nan -nan -nan
-42.1735 21.6853 2.17559e-05
-8.03192 3.9092 2.96566e-05
-33.4323 15.7574 1.48711e-05
-51.3411 25.1561 1.54651e-05
-57.041 28.312 1.89512e-05
-70.2758 35.3292 1.27917e-05
-38.3519 18.6134 9.37786e-06
-37.345 18.7171 2.02405e-05
-44.2654 22.1007 2.32627e-05
-68.8539 34.2879 1.2046e-05
-54.552 26.4685 1.05603e-05
-45.8042 22.9079 1.9852e-05
-48.3441 24.1944 1.80141e-05
-63.237 31.4274 1.26367e-05
-44.5247 21.3995 9.14001e-06
-43.8046 22.0874 2.5814e-05
-51.7435 26.0681 1.70324e-05
-64.0015 31.8101 1.11792e-05
-59.5724 28.8706 1.50935e-05
-46.5405 23.6603 1.97233e-05
-54.274 26.4525 1.32673e-05
-73.9058 36.8306 9.96391e-06
-35.9112 17.3428 1.23491e-05
-38.0885 19.1616 2.37374e-05
-44.6754 22.0764 2.01997e-05
-68.8314 34.2631 1.45947e-05
-44.1671 21.9535 9.20839e-06
-37.9546 18.9993 2.05154e-05
-49.4745 24.6287 2.05166e-05
-66.9183 33.3304 1.28151e-05
-31.9268 15.331 8.15048e-06
-42.4508 21.3419 2.43169e-05
-53.7074 27.0333 1.70148e-05
-64.0368 31.9036 1.22227e-05
-70.9987 34.5255 1.23355e-05
-49.6044 25.0642 1.48064e-05
-48.2866 23.7338 1.89274e-05
-69.5051 34.635 1.22326e-05
-44.361 21.6647 1.28591e-05
-41.0672 20.4735 1.83808e-05
-47.8851 23.5716 1.91086e-05
-61.619 30.7406 1.74042e-05
-60.6749 30.3426 1.18798e-05
-41.3816 20.6822 2.15626e-05
-53.0652 26.1233 1.17122e-05
-46.8314 23.3163 2.09159e-05
-53.1623 26.3142 1.46926e-05
-46.8571 23.2343 1.57301e-05
-50.4331 25.1295 2.12223e-05
