nan -nan -nan
-42.1734 21.6852 2.17571e-05
-8.03161 3.90903 2.96702e-05
-33.4331 15.7576 1.48745e-05
-51.347 25.1589 1.5466e-05
-57.0512 28.3169 1.89497e-05
-70.2663 35.3244 1.27944e-05
-38.3519 18.6133 9.37918e-06
-37.3575 18.7232 2.02409e-05
-44.256 22.0961 2.32693e-05
-68.852 34.2869 1.20482e-05
-54.5686 26.4763 1.05585e-05
-45.803 22.9071 1.98556e-05
-48.3527 24.1986 1.80133e-05
-63.2384 31.4278 1.26312e-05
-44.5051 21.3831 8.90204e-06
-43.7488 22.0631 2.5786e-05
-51.2859 25.8515 1.73033e-05
-63.8423 31.7352 1.12308e-05
-62.0871 29.9771 1.27796e-05
-45.3709 23.0688 2.02672e-05
-50.1032 24.3756 1.29368e-05
-70.4465 34.9075 1.19418e-05
-46.62 22.8403 8.46655e-06
-46.8403 23.6525 1.96445e-05
-47.8588 23.1927 1.12472e-05
-56.2245 28.0651 1.63029e-05
-48.6368 23.4737 9.0309e-06
-51.3433 25.6369 1.78293e-05
-40.7836 19.5015 8.53052e-06
-50.1168 25.083 2.00149e-05
-57.5868 28.5771 1.43637e-05
-62.9115 31.4292 1.14971e-05
-57.7491 27.9147 1.29864e-05
-58.6504 29.4433 1.29602e-05
-37.9869 18.573 1.74895e-05
-50.7641 25.2088 1.36971e-05
-31.0594 15.313 2.29176e-05
-50.4055 25.0705 1.68213e-05
-63.4955 31.7638 2.22172e-05
-52.3474 26.5434 1.34829e-05
-39.6063 19.3661 1.7233e-05
-52.9803 26.1968 1.26085e-05
-47.2142 23.2933 2.65242e-05
-51.1925 25.8184 1.35387e-05
-41.5667 20.7536 2.43169e-05
-56.7972 28.4004 1.34616e-05
-49.006 24.4222 2.40038e-05
-57.8324 29.1591 1.24121e-05
-49.5698 24.7678 2.03992e-05
