nan -nan -nan
-41.1338 20.9203 2.42172e-05
-160.424 64.1927 1.96215e-05
nan -nan -nan
nan -nan -nan
-55.4672 25.317 1.21949e-05
-2844.2 1222.99 9.1648e-07
-12.5904 6.83146 2.51194e-05
-14.1012 5.79758 4.80248e-05
-25.9163 9.20986 0.000108387
-37.1344 14.3805 5.6375e-05
-115.626 53.8649 1.76775e-05
-20.0299 9.94029 6.16761e-05
-10.5655 5.06546 6.37396e-05
-19.9209 8.76646 2.25404e-05
-19.4992 8.8879 8.72022e-05
-14.4966 6.74943 6.20245e-05
-27.1227 12.0277 4.74394e-05
-23.9847 10.9138 2.25447e-05
-37.2516 16.9687 1.85339e-05
-71.6264 32.4545 2.76829e-05
-16.6304 7.65509 1.03847e-05
-31.7323 14.1118 6.39074e-05
-46.2333 20.9507 1.71693e-05
-48.8678 21.7857 3.97519e-05
-18.9486 8.96907 1.22622e-05
-40.343 17.8134 5.30845e-05
-32.8652 14.31 1.15388e-05
-54.0224 24.1849 3.66471e-05
-22.0764 10.1581 7.61682e-06
-45.6951 20.447 4.60526e-05
-35.335 14.8234 1.01961e-05
-58.2539 26.4601 3.14847e-05
-19.3855 9.05426 6.81326e-06
-45.0357 20.2922 3.6643e-05
-25.7648 11.002 7.48603e-06
-72.025 32.3812 2.36206e-05
-30.4786 13.6809 8.11662e-06
-66.4238 30.4045 1.95707e-05
-19.2369 8.91809 4.45774e-06
-66.204 29.6615 1.88191e-05
-27.643 12.2895 6.44714e-06
-86.941 38.6854 1.64118e-05
-28.9644 13.4998 3.70852e-06
-87.5377 39.7976 1.484e-05
-21.2728 9.50894 3.16547e-06
-62.3372 28.7544 1.5472e-05
-67.5507 29.5169 1.61491e-05
-64.4107 29.34 1.50212e-05
-88.6584 39.0576 1.26518e-05
