loop, time[s]
0,31.3158
1,41.3986
2,69.4765
3,36.5942
4,37.561
5,36.4899
6,35.4905
7,35.364
8,39.3304
9,35.6612
10,34.7886
11,36.2053
12,35.5193
13,57.9873
14,35.6565
15,37.4228
16,36.4595
17,35.7577
18,34.6948
19,45.9627
20,35.3724
21,36.5169
22,35.2422
23,35.9272
24,38.3008
25,40.7245
26,39.3159
27,35.8354
28,38.6106
29,34.5892
30,38.0297
31,36.3795
32,37.2229
33,36.1572
34,48.2945
35,34.928
36,35.7304
37,35.8107
38,35.7663
39,41.3085
40,35.5185
41,35.3472
42,37.0119
43,35.3268
44,44.0226
45,36.9825
46,35.8523
47,34.9801
48,42.8943
49,38.0819
