loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71562,1.44834,0.489902,6.11631e-05,30.2221,0.0433179,0.00141196,3.39827e-17,1.4267e-16,0.00384845,199996,-3.36325,1.45009,0.443441,3.3786e-05,27.7634,0.0308512,0.00109513,0,0,0.00192423,99998,-23.134,1.22219,8.4219,5.04385e-05,63.6654,0.0602932,0.000836553,-1.46463e-16,-2.60527e-16,0.00384845,199996,-4.08024,1.23804,1.48541,0.000142985,11.8812,0.0435943,0.0032799,0,0,0.00192423,99998
2,0.601917,-1.4227,0.319466,2.02402e-05,4.26432,0.00938767,0.00215605,1.38598e-17,7.98851e-18,0.00165655,49892,0.309775,-1.52329,0.164416,1.96638e-05,6.66576,0.0114614,0.00171565,0,0,0.000828273,24946,-4.24024,1.24279,1.51451,2.25057e-05,12.5318,0.0177345,0.00126903,-3.83268e-17,-5.25351e-18,0.00165424,49810,-2.92713,1.25806,1.0455,1.63006e-05,9.15168,0.0128299,0.00127052,0,0,0.00082712,24905
3,-0.509922,1.55664,0.0349673,1.37176e-05,36.0342,0.0222352,0.000616933,3.38656e-18,2.13515e-17,0.00332164,185766,-0.339046,1.56372,0.0232496,1.03155e-05,47.9558,0.0222421,0.000463781,0,0,0.00166082,92883,-16.1251,1.30472,4.41044,2.86938e-05,59.1824,0.0427114,0.000671806,-2.92583e-17,-5.80173e-17,0.00332164,185766,-7.25665,1.30824,1.98479,3.18807e-05,27.0351,0.0303986,0.00104876,0,0,0.00166082,92883
4,-0.951985,1.52186,0.0978112,1.96457e-05,19.4893,0.0195908,0.00100281,-4.60976e-18,2.32913e-17,0.00384214,199832,-0.641262,1.5408,0.0658847,1.45829e-05,21.4195,0.0176816,0.00082475,0,0,0.00192107,99916,-16.2232,1.31231,4.30473,4.20529e-05,61.3722,0.0525478,0.00080028,-1.31297e-16,1.71743e-16,0.00384214,199832,-6.56185,1.31671,1.74115,5.1984e-05,25.3039,0.0374698,0.00138736,0,0,0.00192107,99916
5,-1.5814,1.4934,0.171273,1.38111e-05,20.44,0.0168521,0.000819549,4.22774e-19,4.0532e-17,0.00384845,199998,-0.822913,1.52697,0.0891259,1.32702e-05,18.8182,0.0158177,0.000838947,0,0,0.00192423,99999,-27.8022,1.31079,7.4051,2.35651e-05,104.517,0.0513542,0.000458873,-7.21916e-17,3.00689e-16,0.00384845,199998,-6.44067,1.31598,1.71546,5.08616e-05,24.7643,0.0366726,0.00138691,0,0,0.00192423,99999
6,-1.9099,1.44418,0.308437,1.18537e-05,15.0686,0.0134722,0.000879864,1.05547e-17,-1.07326e-16,0.00384846,200000,-1.02348,1.48783,0.165287,1.10598e-05,12.3876,0.011745,0.000941658,0,0,0.00192423,100000,-29.7979,1.30691,8.05949,1.87322e-05,110.294,0.0470835,0.00039785,-1.10972e-16,2.41428e-16,0.00384845,199998,-6.36896,1.31232,1.72262,4.38198e-05,24.1281,0.0336315,0.00130294,0,0,0.00192423,99999
7,-1.53845,1.43015,0.307322,1.62452e-05,10.9553,0.0134725,0.0012058,8.9807e-18,2.32385e-17,0.00384838,199996,-1.05194,1.46521,0.210136,1.18791e-05,10.0248,0.0109732,0.00108256,0,0,0.00192419,99998,-25.6294,1.30038,7.1148,2.05164e-05,92.4641,0.0451973,0.00045393,-6.00912e-18,2.6644e-16,0.00384838,199996,-6.6082,1.30539,1.83446,3.97866e-05,24.3496,0.0322529,0.00123358,0,0,0.00192419,99998
8,-1.54657,1.43732,0.292343,1.76403e-05,11.6024,0.0144337,0.00122216,1.18949e-17,2.02126e-17,0.00199195,119942,-1.05279,1.47087,0.199007,1.29569e-05,10.5944,0.0117745,0.00110042,0,0,0.000995973,59971,-22.337,1.29219,6.40113,2.04567e-05,78.1018,0.0415742,0.000492053,4.32245e-17,3.97822e-16,0.00198191,119386,-6.814,1.29689,1.95269,3.35308e-05,24.2898,0.0296421,0.00113119,0,0,0.000990953,59693
9,-0.943371,1.47148,0.197465,2.81933e-05,9.57106,0.0165073,0.00170793,5.43195e-18,3.06616e-17,0.00321402,182756,-0.671794,1.50519,0.140618,1.97957e-05,10.3209,0.0143242,0.00138197,0,0,0.00160701,91378,-11.3552,1.27655,3.46559,3.31079e-05,37.4945,0.0368143,0.000899321,8.2456e-17,1.96635e-17,0.00321402,182756,-5.76571,1.28209,1.75969,3.26018e-05,19.4599,0.0262727,0.0012409,0,0,0.00160701,91378
10,-0.394744,1.51239,0.167614,2.27907e-05,6.89573,0.0125572,0.00181494,3.52961e-18,-1.08625e-17,0.00359669,193322,-0.301032,1.53504,0.127825,1.49427e-05,8.53216,0.0112984,0.00132255,0,0,0.00179834,96661,-8.59195,1.30482,2.37018,3.40624e-05,31.5679,0.0339854,0.00100226,-8.49541e-17,3.53475e-17,0.00359669,193322,-6.06245,1.30797,1.67239,2.41368e-05,22.5744,0.0241712,0.000998581,0,0,0.00179834,96661
