loop, time[s]
0,17.8985
1,28.54
2,75.076
3,24.976
4,24.4805
5,23.9084
6,23.2715
7,23.0475
8,33.4064
9,24.0221
10,23.3059
11,23.2583
12,23.1889
13,59.3764
14,24.3981
15,24.5013
16,24.2053
17,23.4352
18,22.6947
19,47.3318
20,24.0259
21,23.8382
22,22.9373
23,23.222
24,27.0843
25,39.5079
26,26.2285
27,23.6348
28,26.6472
29,23.303
30,33.8415
31,25.2718
32,24.3849
33,23.203
34,36.0354
35,23.279
36,23.7535
37,23.4891
38,25.2037
39,24.7447
40,27.3552
41,24.1419
42,34.2504
43,25.1416
44,23.9175
45,28.6181
46,24.2965
47,33.4404
48,25.9019
49,24.8591
