loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71563,1.44834,0.489903,6.1163e-05,30.2222,0.043318,0.00141195,5.24667e-17,2.19521e-16,0.00384845,199996,-3.36326,1.45009,0.443442,3.3786e-05,27.7635,0.0308512,0.00109513,0,0,0.00192423,99998,-23.1341,1.22219,8.42194,5.04383e-05,63.6656,0.0602933,0.00083655,-2.18767e-17,-4.27738e-16,0.00384845,199996,-4.08023,1.23804,1.4854,0.000142986,11.8812,0.0435944,0.00327991,0,0,0.00192423,99998
2,0.594881,-1.42358,0.319126,2.03245e-05,4.24248,0.00938184,0.00216636,-8.34997e-18,9.71378e-18,0.00165914,49980,0.306736,-1.52363,0.164553,1.97083e-05,6.64884,0.0114596,0.0017198,0,0,0.000829569,24990,-4.23859,1.24241,1.51586,2.25582e-05,12.5115,0.017743,0.00127138,3.67412e-18,-1.8641e-17,0.0016568,49896,-2.92792,1.25767,1.04712,1.63279e-05,9.14195,0.0128354,0.0012721,0,0,0.000828399,24948
3,-0.509376,1.55663,0.0350036,1.37295e-05,35.981,0.0222284,0.000617657,-2.01058e-18,-1.29555e-17,0.00332107,185750,-0.338632,1.56372,0.0232709,1.03257e-05,47.8999,0.0222401,0.000464281,0,0,0.00166053,92875,-16.1382,1.30474,4.4137,2.86692e-05,59.2338,0.0427115,0.000671229,-8.1819e-17,1.59663e-16,0.00332107,185750,-7.25873,1.30826,1.98522,3.18698e-05,27.0444,0.0303985,0.0010484,0,0,0.00166053,92875
4,-0.95081,1.52187,0.0978048,1.96482e-05,19.4677,0.0195812,0.00100343,3.89528e-18,-1.44134e-16,0.00384214,199832,-0.640575,1.54081,0.0658908,1.45823e-05,21.4041,0.0176749,0.00082503,0,0,0.00192107,99916,-16.2279,1.31232,4.30579,4.20139e-05,61.3926,0.052532,0.000799777,-6.29502e-17,5.98642e-17,0.00384214,199832,-6.56304,1.31672,1.74139,5.19415e-05,25.3093,0.0374584,0.00138664,0,0,0.00192107,99916
5,-1.58048,1.4934,0.171236,1.38133e-05,20.4275,0.0168483,0.000819864,6.39193e-18,-1.60311e-17,0.00384845,199998,-0.822515,1.52698,0.0891153,1.32711e-05,18.8131,0.0158161,0.000839088,0,0,0.00192423,99999,-27.7852,1.31081,7.40001,2.35807e-05,104.462,0.0513573,0.000459151,-7.11109e-17,-1.17472e-16,0.00384845,199998,-6.44162,1.316,1.71559,5.0857e-05,24.7696,0.0366747,0.0013867,0,0,0.00192423,99999
6,-1.91052,1.44418,0.308489,1.1847e-05,15.0738,0.0134707,0.000879462,-4.18168e-18,3.53529e-17,0.00384845,199998,-1.02338,1.48785,0.165245,1.10582e-05,12.3896,0.0117451,0.000941516,0,0,0.00192423,99999,-29.8104,1.30692,8.06246,1.87256e-05,110.346,0.0470862,0.000397688,1.61207e-16,5.24915e-17,0.00384845,199998,-6.36927,1.31233,1.72262,4.38208e-05,24.1305,0.0336334,0.00130289,0,0,0.00192423,99999
7,-1.53947,1.43009,0.307532,1.62366e-05,10.9581,0.0134708,0.00120532,-1.54257e-17,3.59781e-18,0.00384838,199996,-1.05243,1.46516,0.210242,1.18749e-05,10.0247,0.0109712,0.00108237,0,0,0.00192419,99998,-25.6437,1.30038,7.11865,2.05087e-05,92.5176,0.0452018,0.000453714,3.07429e-17,-1.06519e-16,0.00384838,199996,-6.60873,1.3054,1.83457,3.97902e-05,24.3519,0.0322559,0.00123358,0,0,0.00192419,99998
8,-1.54898,1.43726,0.292656,1.76412e-05,11.6155,0.0144424,0.00122149,1.1237e-17,-5.57532e-17,0.00198826,119792,-1.05407,1.47081,0.19915,1.29619e-05,10.6004,0.0117801,0.00110032,0,0,0.000994132,59896,-22.301,1.29218,6.39124,2.04946e-05,77.9714,0.0415781,0.000492918,5.13099e-17,3.98629e-17,0.00197881,119306,-6.80791,1.29688,1.95108,3.35684e-05,24.2674,0.0296451,0.00113234,0,0,0.000989404,59653
9,-0.939743,1.47178,0.196918,2.81628e-05,9.56296,0.0164909,0.00170778,1.36558e-17,9.12389e-17,0.0032141,182758,-0.669565,1.50542,0.140302,1.9764e-05,10.3229,0.0143139,0.00138076,0,0,0.00160705,91379,-11.3499,1.27661,3.46315,3.30394e-05,37.486,0.0367713,0.00089851,3.79271e-17,-3.2454e-17,0.00321415,182760,-5.76421,1.28216,1.75882,3.25274e-05,19.4597,0.0262421,0.00123951,0,0,0.00160707,91380
10,-0.395688,1.51224,0.167764,2.27579e-05,6.89402,0.0125468,0.00181384,1.88671e-17,1.47115e-17,0.00359631,193312,-0.301825,1.53492,0.127967,1.49179e-05,8.52638,0.0112853,0.00132189,0,0,0.00179816,96656,-8.61138,1.30485,2.37517,3.39902e-05,31.6423,0.0339891,0.00100003,-7.4744e-19,-1.34061e-16,0.00359631,193312,-6.06626,1.30801,1.67318,2.41251e-05,22.5914,0.0241741,0.000997971,0,0,0.00179816,96656
