loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71567,1.44834,0.489907,6.11622e-05,30.2224,0.0433179,0.00141194,4.6629e-17,-4.72673e-16,0.00384845,499982,-3.36327,1.45009,0.443443,3.37853e-05,27.7637,0.0308511,0.00109511,0,0,0.00192423,249991,-23.1331,1.22219,8.42154,5.04405e-05,63.6628,0.0602932,0.000836587,3.00144e-16,2.4063e-16,0.00384845,499982,-4.08031,1.23804,1.48543,0.000142985,11.8814,0.0435947,0.00327987,0,0,0.00192423,249991
2,0.592417,-1.42394,0.318914,2.03608e-05,4.23612,0.0093827,0.00217004,2.72712e-18,-6.9675e-17,0.00165791,124856,0.305979,-1.52368,0.164715,1.97108e-05,6.63948,0.0114523,0.00172113,0,0,0.000828953,62428,-4.23653,1.24228,1.51583,2.25404e-05,12.5002,0.0177288,0.0012714,-5.92737e-18,7.38955e-17,0.00165511,124604,-2.92419,1.2576,1.04627,1.6328e-05,9.12851,0.0128263,0.00127301,0,0,0.000827557,62302
3,-0.509016,1.55664,0.0349916,1.37255e-05,35.9829,0.0222257,0.000617551,1.38887e-18,-4.11416e-17,0.00332213,464442,-0.338409,1.56373,0.023264,1.03223e-05,47.9076,0.0222383,0.000464168,0,0,0.00166106,232221,-16.1232,1.30474,4.40966,2.86808e-05,59.1788,0.0427003,0.000671677,-1.20557e-16,-5.19472e-16,0.00332213,464442,-7.25691,1.30826,1.98475,3.18604e-05,27.0375,0.0303902,0.00104838,0,0,0.00166106,232221
4,-0.948803,1.52186,0.0978206,1.96313e-05,19.4256,0.0195515,0.00100408,9.07258e-18,8.00511e-17,0.00384148,499528,-0.639337,1.54083,0.0659153,1.45669e-05,21.3721,0.0176523,0.00082521,0,0,0.00192074,249764,-16.2341,1.31236,4.30666,4.19615e-05,61.4271,0.0525133,0.000799064,4.05029e-17,-5.66921e-16,0.00384146,499526,-6.56737,1.31675,1.74223,5.18636e-05,25.3299,0.0374451,0.00138505,0,0,0.00192073,249763
5,-1.57894,1.49336,0.171254,1.38048e-05,20.3969,0.0168305,0.000820225,-1.51894e-18,4.59441e-17,0.00384848,499990,-0.82162,1.52699,0.0891153,1.32645e-05,18.7965,0.0158052,0.000839248,0,0,0.00192424,249995,-27.7912,1.31085,7.40054,2.3571e-05,104.499,0.0513555,0.000458978,2.64365e-16,4.12587e-16,0.00384848,499990,-6.44443,1.31603,1.71609,5.08237e-05,24.7835,0.0366727,0.00138587,0,0,0.00192424,249995
6,-1.91162,1.44414,0.308693,1.18297e-05,15.0774,0.0134626,0.000878711,2.1346e-17,-5.67553e-17,0.00384845,499984,-1.02315,1.48786,0.165219,1.1051e-05,12.3886,0.0117408,0.00094125,0,0,0.00192423,249992,-29.8368,1.30695,8.06857,1.87092e-05,110.457,0.047089,0.000397317,-1.83609e-17,1.36697e-16,0.00384845,499984,-6.37061,1.31236,1.72276,4.3812e-05,24.1384,0.0336353,0.00130256,0,0,0.00192423,249992
7,-1.54173,1.42993,0.308064,1.62173e-05,10.9618,0.0134654,0.00120437,-3.12949e-17,-3.80081e-17,0.00384836,499978,-1.05353,1.46503,0.210513,1.18663e-05,10.0228,0.0109663,0.00108206,0,0,0.00192418,249989,-25.677,1.3004,7.12729,2.04941e-05,92.645,0.0452166,0.000453244,6.23315e-17,2.02767e-16,0.00384836,499978,-6.61131,1.30541,1.83514,3.97975e-05,24.363,0.0322661,0.00123342,0,0,0.00192418,249989
8,-1.53978,1.43719,0.292071,1.75406e-05,11.5415,0.0143553,0.00122189,-3.37569e-17,-7.93289e-17,0.00199409,300262,-1.04348,1.47136,0.19793,1.29418e-05,10.5534,0.0117443,0.00110197,0,0,0.000997046,150131,-22.3357,1.29231,6.39805,2.03575e-05,78.1306,0.0414795,0.000490784,6.46742e-17,2.07018e-16,0.00198358,298880,-6.82705,1.29698,1.95561,3.3301e-05,24.3447,0.0295729,0.00112606,0,0,0.000991789,149440
9,-0.951131,1.4712,0.197968,2.82378e-05,9.62098,0.0165638,0.00170479,-1.2772e-17,-1.00392e-16,0.00321319,456822,-0.677448,1.5048,0.141005,1.98224e-05,10.3467,0.0143521,0.00138114,0,0,0.0016066,228411,-11.3807,1.27652,3.47357,3.32054e-05,37.5756,0.0369086,0.000899666,1.95106e-16,-1.70152e-16,0.00321319,456822,-5.75973,1.28209,1.75796,3.28057e-05,19.4399,0.0263412,0.00124541,0,0,0.0016066,228411
10,-0.401004,1.51155,0.168115,2.28404e-05,6.90482,0.0125798,0.00181563,1.64197e-17,6.46305e-18,0.00359687,483306,-0.30556,1.53451,0.128104,1.4987e-05,8.53502,0.0113173,0.00132426,0,0,0.00179844,241653,-8.59324,1.30453,2.37325,3.41319e-05,31.5364,0.0340058,0.00100371,1.1937e-16,-2.71649e-16,0.00359687,483306,-6.0513,1.30771,1.67123,2.42346e-05,22.5093,0.0241868,0.00100198,0,0,0.00179844,241653
