loop, time[s]
0,66.5595
1,84.0245
2,168.238
3,73.7409
4,79.6506
5,80.08
6,77.2125
7,76.6359
8,80.5593
9,73.9659
10,75.3202
11,77.6596
12,77.0335
13,129.755
14,71.9511
15,78.8417
16,80.801
17,79.1243
18,74.6677
19,99.6246
20,74.1977
21,78.5536
22,78.2563
23,77.5428
24,81.6591
25,94.6401
26,80.9201
27,77.4824
28,83.0286
29,75.0002
30,83.388
31,77.0194
32,79.739
33,77.907
34,94.8885
35,72.7272
36,73.9574
37,78.433
38,85.2934
39,77.0208
40,78.9921
41,75.0778
42,80.164
43,77.7936
44,97.2916
45,75.2821
46,78.699
47,75.9856
48,69.9528
49,53.5867
