loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71567,1.44834,0.489907,6.11622e-05,30.2224,0.0433179,0.00141194,-6.21034e-17,2.99038e-17,0.00384845,499982,-3.36328,1.45009,0.443443,3.37853e-05,27.7637,0.0308511,0.00109511,0,0,0.00192423,249991,-23.133,1.22219,8.42153,5.04406e-05,63.6627,0.0602932,0.000836589,1.96496e-16,-2.0144e-16,0.00384845,499982,-4.08031,1.23804,1.48543,0.000142985,11.8814,0.0435947,0.00327987,0,0,0.00192423,249991
2,0.591869,-1.42384,0.319223,2.03558e-05,4.22999,0.00937487,0.00217132,-2.79983e-18,2.27266e-17,0.00165769,124824,0.305603,-1.52369,0.164827,1.97117e-05,6.63359,0.0114474,0.00172194,0,0,0.000828843,62412,-4.23592,1.24214,1.51629,2.25331e-05,12.493,0.0177216,0.0012715,2.15941e-17,7.64121e-17,0.00165489,124574,-2.92298,1.25749,1.0463,1.63272e-05,9.12146,0.0128214,0.00127343,0,0,0.000827446,62287
3,-0.50871,1.55665,0.0349877,1.37253e-05,35.9779,0.022224,0.000617588,-6.86397e-18,5.0632e-17,0.00332253,464472,-0.3382,1.56373,0.0232609,1.03224e-05,47.9079,0.0222384,0.000464168,0,0,0.00166126,232236,-16.1342,1.30473,4.41276,2.86562e-05,59.2173,0.042696,0.000671169,6.22185e-17,4.87964e-16,0.00332253,464470,-7.25802,1.30825,1.9851,3.18498e-05,27.0409,0.030387,0.00104814,0,0,0.00166126,232235
4,-0.948988,1.52186,0.0978204,1.96281e-05,19.4293,0.0195518,0.0010039,-1.31195e-17,4.37469e-17,0.00384146,499526,-0.639409,1.54083,0.0659095,1.45657e-05,21.3754,0.017653,0.000825113,0,0,0.00192073,249763,-16.2369,1.31236,4.30737,4.19576e-05,61.4378,0.0525154,0.000798957,-1.70787e-16,1.34157e-16,0.00384146,499526,-6.56757,1.31675,1.74227,5.1866e-05,25.3307,0.0374466,0.00138506,0,0,0.00192073,249763
5,-1.57937,1.49336,0.171271,1.38037e-05,20.4029,0.0168323,0.000820071,1.71082e-17,-2.58261e-17,0.00384845,499988,-0.821775,1.52699,0.0891164,1.32645e-05,18.7992,0.0158063,0.000839192,0,0,0.00192423,249994,-27.7942,1.31084,7.40138,2.35713e-05,104.51,0.0513584,0.000458957,-9.90521e-17,-6.1163e-16,0.00384845,499988,-6.44432,1.31603,1.71607,5.08308e-05,24.7829,0.0366749,0.00138599,0,0,0.00192423,249994
6,-1.9116,1.44414,0.30869,1.18318e-05,15.0773,0.0134637,0.000878793,-2.71908e-18,6.26532e-17,0.00384845,499984,-1.02327,1.48785,0.165239,1.10516e-05,12.3886,0.0117411,0.000941271,0,0,0.00192423,249992,-29.8337,1.30695,8.06799,1.87113e-05,110.442,0.0470885,0.000397364,-7.44565e-17,-4.41169e-16,0.00384847,499986,-6.37038,1.31236,1.72275,4.38139e-05,24.1368,0.033635,0.00130263,0,0,0.00192423,249993
7,-1.5415,1.42994,0.308028,1.62188e-05,10.9608,0.0134653,0.00120449,7.12265e-18,-3.4994e-17,0.00384838,499980,-1.05342,1.46504,0.210498,1.18667e-05,10.0224,0.0109663,0.00108211,0,0,0.00192419,249990,-25.6717,1.30039,7.126,2.04954e-05,92.6237,0.0452128,0.000453308,1.43646e-16,-1.95723e-16,0.00384836,499978,-6.61095,1.30541,1.83508,3.9794e-05,24.3612,0.0322635,0.00123341,0,0,0.00192418,249989
8,-1.54397,1.43724,0.292303,1.75732e-05,11.5765,0.0143903,0.00122118,1.82796e-17,-2.85932e-18,0.00199864,300954,-1.04732,1.47121,0.19828,1.29531e-05,10.5753,0.0117618,0.00110129,0,0,0.00099932,150477,-22.3338,1.2923,6.39772,2.04169e-05,78.1217,0.0415378,0.000491527,-5.76779e-17,-1.07029e-16,0.00198817,299594,-6.82169,1.29698,1.95413,3.34218e-05,24.3256,0.0296149,0.00112855,0,0,0.000994083,149797
9,-0.952428,1.47097,0.198407,2.82139e-05,9.61217,0.0165496,0.00170481,-2.79126e-17,-1.97653e-17,0.00321325,456826,-0.678045,1.50467,0.141248,1.98152e-05,10.3346,0.0143413,0.00138169,0,0,0.00160662,228413,-11.3942,1.2765,3.47792,3.31722e-05,37.6168,0.0369106,0.000898716,1.28485e-16,-4.57551e-16,0.00321325,456826,-5.7636,1.28206,1.75925,3.27896e-05,19.4509,0.0263424,0.00124475,0,0,0.00160662,228413
10,-0.398722,1.51181,0.168066,2.28257e-05,6.89597,0.0125675,0.00181624,2.78495e-18,-1.14394e-17,0.00359747,483346,-0.303779,1.5347,0.128049,1.49794e-05,8.53017,0.0113111,0.00132431,0,0,0.00179873,241673,-8.59447,1.30451,2.37377,3.40468e-05,31.5384,0.0339646,0.00100242,6.49856e-17,-2.24101e-16,0.00359747,483346,-6.0542,1.30768,1.67215,2.41659e-05,22.5179,0.0241573,0.00100036,0,0,0.00179873,241673
