loop, time[s]
0,41.5183
1,61.8496
2,181.693
3,54.2237
4,57.6763
5,55.3374
6,55.3541
7,57.645
8,88.9988
9,54.0391
10,55.8436
11,57.8025
12,58.4257
13,160.171
14,52.0644
15,55.232
16,54.3728
17,53.0658
18,51.7979
19,114.613
20,51.1805
21,53.8641
22,52.9649
23,53.0703
24,62.4043
25,94.3163
26,55.9943
27,53.2714
28,59.1827
29,51.5219
30,71.7501
31,53.3662
32,54.4324
33,54.0029
34,141.002
35,49.1827
36,53.6788
37,53.3609
38,52.9384
39,52.3465
40,144.226
41,48.8476
42,53.6331
43,53.801
44,52.9659
45,52.3612
46,131.513
47,50.1789
48,53.086
49,52.6897
