loop, time[s]
0,55.4448
1,101.574
2,107.851
3,99.1412
4,71.3865
5,74.4703
6,67.8946
7,62.8722
8,76.0055
9,92.8648
10,76.3847
11,68.0878
12,66.268
13,77.6085
14,92.9258
15,77.6657
16,75.5785
17,76.862
18,76.8078
19,63.0277
20,70.5142
21,60.1403
22,93.5922
23,70.4073
24,68.8328
25,85.5779
26,82.9857
27,72.0129
28,67.6803
29,87.7972
30,74.3935
31,68.3063
32,90.6432
33,67.982
34,75.0637
35,70.9037
36,75.738
37,92.6595
38,68.7065
39,68.3011
40,66.3369
41,88.3388
42,74.7062
43,70.0597
44,75.7018
45,88.1073
46,69.6713
47,63.809
48,71.9595
49,93.8694
