loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.65529,1.45011,0.475966,6.91697e-05,30.1726,0.0460184,0.00150309,-7.40845e-18,7.85805e-18,0.00384845,199994,-3.3146,1.45186,0.431603,3.81401e-05,27.7722,0.0327771,0.00116362,0,0,0.00192423,99997,-22.8017,1.22084,8.33624,5.60644e-05,62.4883,0.0630075,0.000889805,-2.44205e-16,-1.31865e-17,0.00384852,199996,-4.04534,1.23698,1.47896,0.000158002,11.7412,0.0455717,0.0034671,0,0,0.00192426,99998
2,1.72949,-1.44235,0.296449,1.33251e-05,13.4632,0.0135046,0.000986707,3.9556e-18,-1.69409e-17,0.000592714,17190,0.886163,-1.495,0.151895,1.30025e-05,11.7534,0.0123975,0.0010488,0,0,0.000296357,8595,-5.58852,1.30178,1.5865,1.51207e-05,20.3162,0.0181794,0.000831747,-6.57429e-19,4.20205e-18,0.000588525,17056,-3.48988,1.31293,0.99072,1.21066e-05,13.3027,0.0131223,0.000922602,0,0,0.000294263,8528
3,-0.963542,1.54505,0.0515013,1.25336e-05,37.444,0.0216707,0.000578367,-4.69223e-18,5.69137e-17,0.00331789,185684,-0.629201,1.55563,0.0336314,9.59654e-06,41.5057,0.01996,0.000480788,0,0,0.00165894,92842,-19.1717,1.28965,5.55059,1.65097e-05,66.3991,0.0344621,0.000479068,-8.35614e-17,2.79838e-16,0.0033179,185686,-5.08293,1.29824,1.47161,3.11359e-05,18.2359,0.0247392,0.00125857,0,0,0.00165895,92843
4,-1.26055,1.47241,0.201503,1.66707e-05,12.8483,0.0147059,0.0011336,1.12982e-17,3.55241e-18,0.00356768,192544,-0.903944,1.49858,0.144499,1.16236e-05,12.5752,0.0121215,0.000958929,0,0,0.00178384,96272,-16.1568,1.30865,4.35078,3.24635e-05,60.2289,0.0457819,0.000709091,1.41371e-16,1.24853e-19,0.00356768,192544,-6.33615,1.31347,1.70622,4.13897e-05,24.1158,0.0326674,0.001267,0,0,0.00178384,96272
5,-1.68863,1.4386,0.30146,1.31962e-05,12.7761,0.013098,0.00100749,-3.47385e-18,-5.02735e-17,0.00375501,197536,-0.971497,1.48365,0.173433,1.14687e-05,11.2078,0.0113804,0.00100776,0,0,0.00187751,98768,-28.2565,1.30262,7.77369,1.66767e-05,102.838,0.0429475,0.000388305,3.03252e-17,-2.00817e-16,0.00375501,197536,-6.20434,1.30838,1.70688,3.79752e-05,23.138,0.0306913,0.00123733,0,0,0.00187751,98768
6,-1.90881,1.40755,0.397823,1.09235e-05,11.6724,0.0114428,0.000954616,1.58058e-18,-1.25952e-16,0.00380833,198938,-1.14465,1.4519,0.238562,9.10789e-06,9.68399,0.00945759,0.000963024,0,0,0.00190416,99469,-34.1992,1.30225,9.419,1.23082e-05,124.279,0.0405647,0.000303422,-5.85651e-17,2.27948e-17,0.00380833,198938,-6.18625,1.30813,1.70379,3.40216e-05,23.0484,0.0289954,0.00117335,0,0,0.00190416,99469
7,-1.68358,1.40603,0.375173,1.32088e-05,10.2205,0.011777,0.00112158,-4.39105e-18,-2.97167e-17,0.00366128,194828,-1.21914,1.43681,0.271677,9.12013e-06,9.15169,0.00921756,0.00098943,0,0,0.00183064,97414,-29.7955,1.30317,8.17855,1.46975e-05,108.671,0.0414399,0.00035467,-3.40225e-17,-2.41621e-17,0.00366128,194828,-6.68724,1.30812,1.83558,3.27437e-05,24.9073,0.0295708,0.0011073,0,0,0.00183064,97414
8,-1.1509,1.44735,0.247801,2.52724e-05,9.38082,0.015514,0.001629,2.5868e-20,1.75833e-18,0.000316272,12114,-0.781652,1.48843,0.1683,1.86061e-05,9.57209,0.0133903,0.00138952,0,0,0.000158136,6057,-14.6337,1.30259,4.03924,4.00007e-05,53.2634,0.0478691,0.000835627,-1.2036e-18,-1.65293e-17,0.000313046,11956,-6.74313,1.30663,1.86126,4.3401e-05,24.9668,0.034099,0.00127279,0,0,0.000156523,5978
9,-1.1217,1.53031,0.0814508,1.48762e-05,27.7249,0.0203253,0.000731906,1.08171e-18,-3.59238e-18,0.00345252,189422,-0.655125,1.54897,0.0475708,1.27354e-05,30.0434,0.0195652,0.000650921,0,0,0.00172626,94711,-22.262,1.28866,6.46517,1.52185e-05,76.8113,0.0355972,0.000427519,-4.77586e-17,1.17123e-16,0.00345252,189422,-4.74867,1.29874,1.37908,3.56728e-05,17.0765,0.0256207,0.00139234,0,0,0.00172626,94711
10,-1.58886,1.43831,0.293598,1.52755e-05,12.0044,0.0136605,0.00111823,-5.4845e-18,5.86872e-17,0.00355189,192126,-1.20526,1.4609,0.222717,1.00688e-05,11.0124,0.0105934,0.000950477,0,0,0.00177594,96063,-15.0662,1.30471,4.12315,3.32734e-05,55.2953,0.0444578,0.000748426,-4.72975e-17,3.01259e-16,0.00355189,192126,-6.18149,1.30974,1.69168,4.05491e-05,23.1786,0.0317307,0.00127792,0,0,0.00177594,96063
