loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71562,1.44834,0.489902,6.11631e-05,30.2221,0.043318,0.00141196,-1.94746e-17,2.27177e-16,0.00384845,199996,-3.36325,1.45009,0.443441,3.3786e-05,27.7634,0.0308512,0.00109513,0,0,0.00192423,99998,-23.134,1.22219,8.4219,5.04385e-05,63.6654,0.0602932,0.000836553,7.34271e-17,8.61366e-16,0.00384845,199996,-4.08024,1.23804,1.4854,0.000142985,11.8812,0.0435943,0.0032799,0,0,0.00192423,99998
2,-0.531051,1.33402,0.498604,1.96111e-05,2.57121,0.0072758,0.00269538,-6.84857e-18,-1.06e-17,0.00190051,58444,-0.264525,1.506,0.248363,1.96851e-05,4.3081,0.0092273,0.00213335,0,0,0.000950255,29222,-5.86693,1.17353,2.52221,1.97317e-05,14.0436,0.0180465,0.00109338,-2.5547e-17,-2.15836e-18,0.00189903,58382,-4.01803,1.18308,1.72736,1.44053e-05,9.92532,0.012908,0.001116,0,0,0.000949513,29191
3,-0.279833,1.53139,0.149037,2.87576e-05,7.23516,0.0144355,0.00199215,1.12044e-17,-1.38511e-17,0.00384595,199932,-0.157297,1.55785,0.0837735,2.55803e-05,12.2323,0.0176906,0.00144598,0,0,0.00192298,99966,-8.1976,1.2857,2.43544,3.74791e-05,28.0034,0.0337578,0.00111024,1.41645e-17,-1.1597e-17,0.00384595,199932,-5.84078,1.2892,1.73525,2.63016e-05,20.2362,0.0240142,0.00109525,0,0,0.00192298,99966
4,-0.202563,1.54761,0.117675,2.15287e-05,8.84669,0.0138043,0.00155956,-1.12809e-18,3.02483e-18,0.00384739,199970,-0.117186,1.56289,0.0680733,1.86076e-05,14.8918,0.0166469,0.00111779,0,0,0.0019237,99985,-11.4863,1.30892,3.10048,3.16172e-05,42.8753,0.0381174,0.000829469,6.8505e-17,-1.52817e-17,0.00384732,199968,-6.73004,1.31224,1.81663,2.69807e-05,25.4831,0.0271215,0.000994808,0,0,0.00192366,99984
5,-0.212452,1.55182,0.0926102,1.81963e-05,11.2853,0.0143326,0.00126957,-2.54995e-18,-5.85488e-18,0.00384784,199982,-0.136227,1.56283,0.0593859,1.41882e-05,17.1515,0.0156001,0.00090949,0,0,0.00192392,99991,-16.9732,1.32021,4.3587,2.40438e-05,66.3249,0.0412209,0.000583292,-8.19426e-17,-2.59237e-16,0.00384784,199982,-7.33069,1.32357,1.88251,2.7835e-05,29.0777,0.0293407,0.000948683,0,0,0.00192392,99991
6,-0.192531,1.55127,0.104114,1.39371e-05,9.96087,0.0117847,0.00118265,8.38327e-18,-4.64256e-18,0.00384792,199984,-0.12212,1.56282,0.0660389,1.0986e-05,15.3684,0.0129942,0.000845457,0,0,0.00192396,99992,-20.58,1.32922,5.08196,1.97746e-05,83.5378,0.0418593,0.000472407,9.38007e-17,1.37224e-16,0.00384792,199984,-7.6144,1.33243,1.88028,2.67226e-05,31.3672,0.0297935,0.000896926,0,0,0.00192396,99992
7,-0.330314,1.5228,0.158015,1.10766e-05,7.01899,0.00882735,0.0012548,-7.51301e-18,3.95876e-18,0.00384762,199976,-0.199455,1.55234,0.0954127,9.17207e-06,10.8977,0.00999943,0.000917259,0,0,0.00192381,99988,-24.8497,1.33483,5.98413,1.84979e-05,103.358,0.0449715,0.000411326,9.77687e-17,2.75644e-16,0.00384762,199976,-8.12749,1.3377,1.9572,2.82789e-05,34.2612,0.0319912,0.000883959,0,0,0.00192381,99988
8,-0.664444,1.46342,0.228064,1.01832e-05,6.32053,0.00806799,0.00126217,-5.2853e-18,1.87275e-17,0.00384666,199948,-0.393589,1.52415,0.135097,8.5955e-06,8.54877,0.00858131,0.00100165,0,0,0.00192333,99974,-27.6217,1.3336,6.68585,1.9781e-05,114.265,0.0489118,0.000404422,1.52564e-16,7.74491e-17,0.00384666,199948,-8.34514,1.33638,2.01995,3.27371e-05,34.9718,0.0347867,0.00094108,0,0,0.00192333,99974
9,-0.864135,1.44425,0.25191,1.09747e-05,6.93393,0.0087923,0.00124822,8.88165e-18,-7.01099e-19,0.00383276,199574,-0.551755,1.50182,0.160849,8.59397e-06,8.10968,0.00836791,0.00102702,0,0,0.00191638,99787,-33.304,1.32809,8.25277,1.68444e-05,134.52,0.0490387,0.000343491,-1.04099e-16,3.71332e-16,0.00383276,199574,-8.25906,1.33107,2.0466,3.3962e-05,33.818,0.0348868,0.000973492,0,0,0.00191638,99787
10,-1.03132,1.45774,0.224532,1.30426e-05,9.19073,0.0110181,0.00118375,-9.2441e-18,-9.0236e-18,0.00345324,189072,-0.732098,1.49415,0.159392,9.18647e-06,9.63642,0.00943616,0.000973539,0,0,0.00172662,94536,-32.6354,1.32235,8.28636,1.70272e-05,128.653,0.0482863,0.000352629,6.5889e-17,1.03067e-16,0.00345329,189072,-7.82088,1.32576,1.98578,3.55261e-05,31.3056,0.0343751,0.00103348,0,0,0.00172665,94536
