loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_Z_ZP:0.1],ANGLE[AXIS_X_Z_ZP:0.1],BETA[AXIS_X_Z_ZP:0.1],EPSILON[AXIS_X_Z_ZP:0.1],GAMMA[AXIS_X_Z_ZP:0.1],RMAJOR[AXIS_X_Z_ZP:0.1],RMINOR[AXIS_X_Z_ZP:0.1],X_AVERAGE[AXIS_X_Z_ZP:0.1],X_P_AVE[AXIS_X_Z_ZP:0.1],I_TOT[AXIS_X_Z_ZP:0.1],N_PARTICLES[AXIS_X_Z_ZP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4],ALPHA[AXIS_X_Z_ZP:0.4],ANGLE[AXIS_X_Z_ZP:0.4],BETA[AXIS_X_Z_ZP:0.4],EPSILON[AXIS_X_Z_ZP:0.4],GAMMA[AXIS_X_Z_ZP:0.4],RMAJOR[AXIS_X_Z_ZP:0.4],RMINOR[AXIS_X_Z_ZP:0.4],X_AVERAGE[AXIS_X_Z_ZP:0.4],X_P_AVE[AXIS_X_Z_ZP:0.4],I_TOT[AXIS_X_Z_ZP:0.4],N_PARTICLES[AXIS_X_Z_ZP:0.4]
01,-3.71562,1.44834,0.489902,6.11631e-05,30.222,0.0433179,0.00141196,1.36587e-17,-3.2185e-16,0.00384845,199996,-3.36324,1.45009,0.44344,3.3786e-05,27.7634,0.0308512,0.00109513,0,0,0.00192423,99998,-23.134,1.22219,8.42189,5.04385e-05,63.6653,0.0602932,0.000836554,4.51288e-17,2.90192e-16,0.00384845,199996,-4.08022,1.23804,1.4854,0.000142986,11.8811,0.0435943,0.00327992,0,0,0.00192423,99998
2,-0.531505,1.33479,0.497191,1.96715e-05,2.57949,0.00729773,0.00269557,5.72124e-18,-3.0252e-19,0.00190204,58514,-0.265324,1.50589,0.248191,1.97035e-05,4.3128,0.00923672,0.00213317,0,0,0.000951022,29257,-5.86999,1.17367,2.52244,1.97635e-05,14.0566,0.0180683,0.00109382,-1.89717e-18,-7.33483e-17,0.00190097,58468,-4.01715,1.18324,1.72624,1.44394e-05,9.92765,0.0129239,0.00111726,0,0,0.000950485,29234
3,-0.27956,1.53141,0.149072,2.87714e-05,7.23242,0.0144362,0.001993,1.84484e-18,-7.29209e-18,0.00384595,199932,-0.157229,1.55785,0.0838382,2.55788e-05,12.2226,0.0176831,0.00144651,0,0,0.00192298,99966,-8.19746,1.2857,2.43542,3.7466e-05,28.0027,0.0337514,0.00111006,-8.0282e-17,2.93594e-16,0.00384602,199934,-5.84091,1.2892,1.7353,2.62913e-05,20.2364,0.0240097,0.00109503,0,0,0.00192301,99967
4,-0.201751,1.5477,0.117621,2.15317e-05,8.84795,0.0138062,0.00155956,-2.17906e-18,3.5904e-18,0.00384732,199968,-0.116769,1.56292,0.0680735,1.86016e-05,14.8903,0.0166434,0.00111766,0,0,0.00192366,99984,-11.4823,1.30892,3.09935,3.16069e-05,42.8615,0.038105,0.000829469,3.71066e-18,-9.11975e-17,0.00384732,199968,-6.72994,1.31224,1.81657,2.69627e-05,25.4832,0.0271125,0.000994475,0,0,0.00192366,99984
5,-0.211548,1.55191,0.0925668,1.81921e-05,11.2865,0.0143317,0.00126936,1.51156e-17,3.89168e-18,0.00384791,199984,-0.135683,1.56286,0.059373,1.41814e-05,17.1528,0.0155969,0.00090924,0,0,0.00192396,99992,-16.9802,1.32025,4.35985,2.40263e-05,66.3613,0.0412168,0.000582924,1.18769e-16,9.96922e-17,0.00384784,199982,-7.33394,1.3236,1.88307,2.78141e-05,29.0943,0.0293378,0.000948062,0,0,0.00192392,99991
6,-0.191789,1.55134,0.104135,1.39301e-05,9.95618,0.0117789,0.00118263,-1.0057e-18,1.13156e-17,0.00384792,199984,-0.121646,1.56285,0.0660497,1.09809e-05,15.3641,0.0129893,0.000845379,0,0,0.00192396,99992,-20.5801,1.32926,5.08121,1.97746e-05,83.5513,0.0418623,0.000472373,7.04287e-18,-1.88999e-16,0.00384792,199984,-7.61722,1.33246,1.88069,2.67127e-05,31.3832,0.0297954,0.000896538,0,0,0.00192396,99992
7,-0.330205,1.52279,0.158097,1.10735e-05,7.01489,0.00882355,0.00125499,-2.19878e-18,-4.6698e-18,0.00384762,199976,-0.199361,1.55234,0.095454,9.17014e-06,10.8926,0.00999603,0.000917378,0,0,0.00192381,99988,-24.8638,1.33485,5.98701,1.84978e-05,103.425,0.0449857,0.000411193,7.29447e-18,4.7414e-16,0.00384762,199976,-8.13046,1.33772,1.95775,2.82845e-05,34.2763,0.0320013,0.000883856,0,0,0.00192381,99988
8,-0.664587,1.46341,0.228065,1.01867e-05,6.32134,0.00806989,0.00126231,-7.39678e-18,-2.32094e-17,0.00384666,199948,-0.393747,1.52413,0.135124,8.59666e-06,8.54798,0.0085815,0.00100177,0,0,0.00192333,99974,-27.6324,1.33359,6.68856,1.97807e-05,114.307,0.0489205,0.000404344,-6.16034e-17,2.46078e-17,0.00384666,199948,-8.34592,1.33637,2.02017,3.27464e-05,34.9744,0.034793,0.000941177,0,0,0.00192333,99974
9,-0.864173,1.44424,0.251925,1.09771e-05,6.93378,0.00879318,0.00124837,2.66283e-17,-6.91949e-18,0.00383284,199576,-0.551859,1.5018,0.160877,8.59489e-06,8.10899,0.00836802,0.00102711,0,0,0.00191642,99788,-33.3137,1.32808,8.25547,1.68406e-05,134.554,0.0490395,0.000343408,6.76548e-18,-1.04139e-16,0.00383284,199576,-8.25914,1.33107,2.0467,3.39638e-05,33.8171,0.0348873,0.000973529,0,0,0.00191642,99788
10,-1.03048,1.45779,0.224433,1.30496e-05,9.1871,0.0110188,0.0011843,1.63515e-17,-3.49174e-17,0.00345385,189086,-0.731682,1.49418,0.159357,9.18941e-06,9.63471,0.00943681,0.000973783,0,0,0.00172692,94543,-32.6312,1.32235,8.28559,1.70257e-05,128.632,0.0482804,0.000352641,-8.7614e-17,-1.36517e-16,0.00345385,189086,-7.8206,1.32575,1.98578,3.55196e-05,31.3035,0.0343708,0.00103342,0,0,0.00172692,94543
