loop, time[s]
0,23.4058
1,32.9025
2,56.0239
3,29.9456
4,28.751
5,31.005
6,28.8203
7,28.5534
8,30.8998
9,28.4419
10,27.2775
11,25.5386
12,25.8937
13,28.8183
14,48.6872
15,31.9538
16,30.4082
17,28.3652
18,31.7719
19,27.9974
20,24.7319
21,23.9321
22,27.9917
23,27.4827
24,28.6984
25,28.0859
26,28.0044
27,30.8938
28,29.0277
29,22.9438
30,27.1425
31,26.3032
32,27.6522
33,29.2715
34,27.3252
35,27.1768
36,26.9965
37,26.0497
38,26.0798
39,27.2537
40,27.5181
41,29.8771
42,29.0939
43,25.6877
44,27.0229
45,27.234
46,28.5358
47,30.0425
48,29.131
49,28.1166
