loop, time[s]
0,23.864
1,34.6835
2,57.2688
3,29.1923
4,26.9516
5,27.6441
6,27.7876
7,27.7987
8,28.1071
9,27.0021
10,26.1132
11,23.2382
12,25.0891
13,25.9264
14,44.9616
15,29.9218
16,27.7511
17,28.1188
18,29.3399
19,27.5288
20,25.4458
21,24.9144
22,27.3888
23,27.1553
24,26.9148
25,26.7045
26,26.9355
27,26.7218
28,26.7957
29,25.8141
30,27.0055
31,26.1404
32,26.9549
33,27.1359
34,26.9565
35,28.1512
36,28.304
37,25.2402
38,23.1827
39,26.4036
40,30.0253
41,29.4699
42,27.3739
43,26.8812
44,24.6042
45,27.5066
46,28.4593
47,26.4793
48,22.9636
49,25.7068
