loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.70595,1.45036,0.480662,6.98243e-05,30.6537,0.0466014,0.00149833,-1.16276e-17,6.1797e-16,0.0038415,499530,-23.0171,1.22077,8.41654,5.67333e-05,63.0646,0.0636755,0.000890976,-6.62842e-17,9.39934e-16,0.00384148,499528
2,1.71652,-1.43518,0.311805,1.26906e-05,12.6568,0.0127904,0.000992195,4.71114e-18,-3.64866e-17,0.000195323,15602,-7.63619,1.28733,2.25966,1.47799e-05,26.2479,0.0205139,0.000720483,-3.48034e-18,-1.73181e-17,0.000193069,15414
3,-1.10333,1.53377,0.0743533,1.0896e-05,29.8216,0.0180384,0.000604048,-7.84129e-18,2.27633e-16,0.00328885,462190,-25.8152,1.27675,7.82832,9.13267e-06,85.2575,0.0291552,0.000313244,-4.46091e-17,1.06215e-16,0.00328885,462190
4,-1.35434,1.46514,0.220595,1.78434e-05,12.8481,0.0152256,0.00117194,1.08865e-17,7.13452e-17,0.00347692,475196,-16.6889,1.30622,4.53668,3.10021e-05,61.6131,0.0452804,0.00068467,-1.15264e-16,7.58439e-17,0.00347692,475196
5,-1.76274,1.42843,0.331848,1.39125e-05,12.3768,0.0132555,0.00104956,6.54732e-18,-1.21247e-16,0.00369244,489692,-28.7693,1.29655,8.10294,1.51451e-05,102.268,0.0408833,0.000370448,-9.35652e-17,3.03086e-16,0.00369243,489690
6,-1.84691,1.40356,0.399956,1.15487e-05,11.0289,0.0114442,0.00100913,-2.34634e-18,5.32224e-17,0.00375899,494090,-29.7897,1.29864,8.32228,1.28434e-05,106.753,0.0384426,0.000334092,1.17419e-17,6.5311e-17,0.00375899,494090
7,-2.30858,1.39692,0.478918,1.14502e-05,13.2164,0.0124889,0.000916831,-1.00319e-17,6.87639e-17,0.00347841,474960,-29.1135,1.30248,8.01333,1.60496e-05,105.898,0.0427562,0.000375375,1.17415e-16,3.24858e-18,0.00347841,474960
8,-0.413439,1.49004,0.221093,1.60265e-05,5.2961,0.00924199,0.0017341,1.75643e-18,-4.26484e-18,4.51609e-05,5150,-16.8515,1.29913,4.70934,1.27971e-05,60.512,0.0288868,0.000443008,-1.25465e-17,3.81834e-17,4.44241e-05,5050
9,-2.86376,1.5164,0.174872,9.61772e-06,52.6162,0.0225288,0.000426908,-2.22494e-17,-1.90043e-16,0.00357207,481694,-26.9379,1.2801,8.06916,1.46618e-05,90.0525,0.0379275,0.000386575,3.45386e-17,-2.16816e-16,0.00357207,481694
10,-1.707,1.44481,0.288838,1.66313e-05,13.5503,0.0151313,0.00109914,8.03501e-18,1.27911e-17,0.00362988,485568,-24.8508,1.29789,6.96603,2.01067e-05,88.797,0.0438778,0.000458242,-4.00634e-17,6.21985e-16,0.00362987,485566
