loop, time[s]
0,501.154
1,1251.75
2,1933.11
3,1576.76
4,716.693
5,724.75
6,734.949
7,714.316
8,641.087
9,1484.56
10,783.968
11,773.839
12,599.166
13,613.244
14,1291.7
15,1077.03
16,845.906
17,635.315
18,700.727
19,947.504
20,722.764
21,767.351
22,695.968
23,1022.62
24,660.938
25,728.421
26,966.198
27,909.506
28,726.8
29,649.518
30,1420.06
31,677.331
32,1012.91
33,629.777
34,1198.07
35,797.504
36,664.575
37,1267.41
38,743.257
39,1320.44
40,915.15
41,618.926
42,947.569
43,921.287
44,759.736
45,756.248
46,567.626
47,939.701
48,747.94
49,1247.27
