loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.7157,6.11618e-05,30.2227,1999944,-23.1338,5.0439e-05,63.6648,1999946
2,0.594929,2.03012e-05,4.2341,499448,-4.23856,2.25111e-05,12.5052,498396
3,-0.508808,1.3715e-05,35.9986,1857670,-16.1328,2.8651e-05,59.2152,1857666
4,-0.948116,1.9622e-05,19.4093,1998112,-16.2346,4.19383e-05,61.433,1998114
5,-1.57834,1.38019e-05,20.3897,1999950,-27.7836,2.35785e-05,104.48,1999950
6,-1.91113,1.18316e-05,15.0737,1999948,-29.8306,1.87171e-05,110.44,1999948
7,-1.54158,1.62195e-05,10.9615,1999930,-25.673,2.04992e-05,92.6309,1999932
8,-1.54277,1.75576e-05,11.5627,1201914,-22.4056,2.03198e-05,78.3642,1196648
9,-0.951244,2.81987e-05,9.60987,1827160,-11.3858,3.31546e-05,37.5916,1827160
10,-0.39906,2.28457e-05,6.90344,1933174,-8.60055,3.40505e-05,31.5637,1933172
11,-0.515703,1.50138e-05,5.16053,1999896,-10.29,3.71599e-05,41.1806,1999896
12,-1.11552,1.11903e-05,5.26556,1999944,-15.0083,3.22983e-05,59.0181,1999942
13,0.157558,1.66257e-05,4.61966,623142,-16.6668,2.02881e-05,64.8249,622422
14,-0.998628,1.40667e-05,40.6401,1815542,-22.2578,3.12281e-05,85.2918,1815542
15,-0.783811,1.54685e-05,13.8509,1993268,-23.8766,2.00046e-05,88.0066,1993264
16,-1.32237,1.00416e-05,13.7487,1999956,-31.7076,1.71897e-05,123.485,1999958
17,-1.64223,1.29115e-05,12.4047,1999962,-24.4505,2.55989e-05,93.3845,1999964
18,-1.19662,2.05042e-05,10.5004,1980512,-25.972,2.15725e-05,94.5936,1980490
19,-1.4552,2.94028e-05,12.6935,474756,-10.4134,5.7299e-05,35.5874,469404
20,-0.375349,1.96566e-05,18.5713,1866438,-15.9764,1.99055e-05,56.7899,1866442
21,-0.919871,9.45865e-06,6.54371,1986950,-14.1833,2.9518e-05,56.1644,1986952
22,-1.24574,7.6645e-06,6.74143,1999950,-29.2392,1.42362e-05,116.137,1999950
23,-1.89887,1.07688e-05,10.4367,1999946,-16.4918,3.59056e-05,64.5418,1999946
24,-0.844616,1.93828e-05,6.93476,1825960,-23.7306,2.06687e-05,87.7947,1823578
25,-1.77449,3.0149e-05,16.8163,1166406,-12.3653,5.94523e-05,42.8041,1164194
26,-1.08234,3.75503e-05,10.2087,1986486,-7.90995,5.8764e-05,25.5194,1986486
27,-0.0787628,1.94579e-05,9.76071,1999950,-14.522,2.19366e-05,56.4127,1999952
28,-0.912535,3.62624e-05,11.6011,1954310,-15.5273,5.3593e-05,58.0027,1953628
29,-1.36693,3.42867e-05,17.4099,1819598,-13.0081,5.09262e-05,44.5378,1819598
30,-0.535592,2.32012e-05,8.27001,1279220,-9.10527,3.8365e-05,33.1674,1276256
31,-0.0637346,1.5868e-05,13.8414,1957448,-17.6637,2.32114e-05,72.8862,1957446
32,-1.29239,1.38859e-05,10.3517,1999892,-22.1091,3.2535e-05,87.7514,1999892
33,-1.33443,1.50892e-05,8.45846,1999896,-23.0694,2.25796e-05,83.3336,1999896
34,0.0368749,1.61597e-05,5.85353,503858,-12.1913,2.05343e-05,44.5759,501546
35,-0.963111,1.83447e-05,28.6544,1798846,-21.0527,2.61648e-05,76.5665,1798840
36,-1.01082,2.26017e-05,14.7384,1966434,-16.7382,3.2745e-05,60.7789,1966430
37,-1.59397,1.58329e-05,15.2948,1999938,-20.4608,2.68002e-05,74.8619,1999942
38,-2.39282,1.10976e-05,16.3351,1999952,-33.4302,1.51539e-05,120.74,1999952
39,-2.39253,1.25359e-05,12.8973,1999940,-36.4429,1.37719e-05,127.953,1999940
40,-0.345455,1.78133e-05,3.58382,626764,-17.5665,1.81556e-05,60.9776,625200
41,-1.10933,1.50243e-05,36.0136,1765726,-26.8891,1.95933e-05,98.5577,1765728
42,-0.623008,1.92638e-05,12.522,1933896,-18.8668,2.30333e-05,69.6316,1933898
43,-1.10266,1.3481e-05,12.0873,1999884,-27.2491,1.93887e-05,104.801,1999884
44,-1.82636,8.95219e-06,11.8938,1999952,-34.8115,1.42915e-05,133.275,1999948
45,-1.8634,1.26582e-05,10.7323,1999940,-31.5527,1.78587e-05,117.189,1999940
46,-0.865283,1.1198e-05,4.00661,489838,-21.4779,1.80571e-05,76.3391,487854
47,-1.01789,1.27358e-05,34.3085,1796704,-29.9096,1.38016e-05,107.662,1796704
48,-0.841777,1.78237e-05,9.99784,1927676,-16.4687,2.75261e-05,61.6022,1927672
49,-1.09063,1.07527e-05,7.65079,1999902,-23.5055,1.58708e-05,88.3121,1999902
