loop, time[s]
0,276.769
1,316.292
2,506.805
3,280.192
4,297.581
5,306.291
6,288.96
7,289.808
8,305.749
9,267.379
10,282.501
11,293.368
12,288.152
13,432.827
14,278.035
15,295.978
16,301.973
17,291.746
18,282.23
19,339.165
20,265.974
21,293.361
22,290.265
23,289.96
24,317.246
25,283.822
26,296.757
27,295.777
28,313.039
29,275.405
30,275.568
31,283.112
32,306.503
33,289.392
34,363.726
35,221.45
36,247.114
37,246.943
38,243.055
39,241.226
40,377.546
41,218.816
42,243.25
43,247.887
44,241.983
45,242.837
46,344.316
47,220.273
48,241.489
49,243.546
