loop#,ALPHA[AXIS_X_R_RP:0.1],ANGLE[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],RMAJOR[AXIS_X_R_RP:0.1],RMINOR[AXIS_X_R_RP:0.1],X_AVERAGE[AXIS_X_R_RP:0.1],X_P_AVE[AXIS_X_R_RP:0.1],I_TOT[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],ANGLE[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],RMAJOR[AXIS_X_R_RP:0.4],RMINOR[AXIS_X_R_RP:0.4],X_AVERAGE[AXIS_X_R_RP:0.4],X_P_AVE[AXIS_X_R_RP:0.4],I_TOT[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-7.63865,1.41118,1.25024,1.09315e-05,47.4703,0.023073,0.000473778,-1.02238e-16,-1.51998e-16,0.00384846,5999770,-29.1495,1.21116,10.9712,9.35389e-06,77.5391,0.0287717,0.000325108,4.2808e-16,-1.56408e-16,0.00384845,5999764
2,-1.58883,1.31653,0.562716,1.01947e-05,6.26315,0.00824989,0.00123574,3.63733e-17,1.73675e-16,0.00384845,5999776,-7.47801,1.2395,2.61326,9.50561e-06,21.7815,0.015215,0.000624752,3.23798e-16,8.74279e-16,0.00384845,5999774
3,-2.03852,1.35328,0.552828,8.70504e-06,9.32577,0.00922514,0.000943622,-8.82956e-17,2.4593e-18,0.00384846,5999780,-10.2929,1.31972,2.6634,2.18425e-05,40.1533,0.0305731,0.000714436,-1.94342e-17,8.44145e-16,0.00384845,5999772
4,-3.35545,1.3962,0.642734,8.44291e-06,19.0733,0.0128853,0.000655235,7.60368e-17,-2.13246e-16,0.00384846,5999776,-17.434,1.31028,4.6617,1.92958e-05,65.4151,0.0367684,0.000524794,4.14134e-16,-1.19474e-15,0.00384845,5999766
5,-3.73637,1.40511,0.668242,8.59645e-06,22.3877,0.0140651,0.000611192,-6.78117e-17,2.31692e-17,0.00384846,5999780,-28.6133,1.29873,7.99183,1.1388e-05,102.57,0.0354819,0.000320951,2.0392e-16,1.45844e-16,0.00384845,5999768
6,-3.88904,1.40635,0.686815,8.57067e-06,23.4774,0.0143787,0.000596065,-4.29664e-17,1.41502e-16,0.00384846,5999774,-32.2776,1.2939,9.18118,9.68904e-06,113.585,0.0344878,0.000280941,2.36508e-16,-1.27404e-15,0.00384845,5999770
7,-3.93921,1.40584,0.696821,8.52141e-06,23.7039,0.0144076,0.000591452,-1.86278e-16,-2.29034e-16,0.00384845,5999768,-32.515,1.29251,9.29761,9.40091e-06,113.817,0.0340193,0.000276341,3.18138e-18,1.50355e-15,0.00384845,5999770
8,-3.94798,1.40521,0.700889,8.49141e-06,23.6651,0.0143719,0.000590833,-3.81846e-17,3.36434e-16,0.00384846,5999774,-32.1269,1.29239,9.19107,9.42495e-06,112.406,0.0338522,0.000278414,2.39514e-16,1.46133e-15,0.00384845,5999770
9,-3.94442,1.40481,0.702053,8.47834e-06,23.5857,0.0143377,0.000591331,-3.67488e-17,-3.40882e-16,0.00384845,5999766,-31.7826,1.29256,9.08675,9.49833e-06,111.276,0.0338107,0.000280927,1.1492e-16,-1.38801e-15,0.00384845,5999772
10,-3.93967,1.40461,0.702147,8.47419e-06,23.5292,0.0143175,0.000591876,1.76746e-16,3.90492e-16,0.00384846,5999774,-31.5907,1.29272,9.0265,9.55086e-06,110.671,0.0338103,0.000282484,-4.33444e-16,6.98297e-16,0.00384845,5999770
