loop, time[s]
0,732.687
1,736.963
2,1949.9
3,701.327
4,721.456
5,745.746
6,771.181
7,751.645
8,729.685
9,709.047
10,769.32
11,790.95
12,784.854
13,770.423
14,771.15
15,759.441
16,767.49
17,777.448
18,768.619
19,786.317
20,701.452
21,763.048
22,762.653
23,772.068
24,776.278
25,767.098
26,766.713
27,775.544
28,805.285
29,733.148
30,781.303
31,811.603
32,761.527
33,720.919
34,787.357
35,749.471
36,785.336
37,728.997
38,769.969
39,775.399
40,769.49
41,774.48
42,712.314
43,738.394
44,773.005
45,782.022
46,796.589
47,719.211
48,765.313
49,768.579
