loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-7.63854,1.09316e-05,47.4695,499976,-29.1494,9.35386e-06,77.5386,499974
2,-1.58876,1.01948e-05,6.2629,499986,-7.47715,9.50653e-06,21.7791,499984
3,-2.03858,8.70466e-06,9.32586,499984,-10.2927,2.18431e-05,40.1525,499984
4,-3.35543,8.4428e-06,19.073,499984,-17.4342,1.92956e-05,65.4157,499984
5,-3.73635,8.59642e-06,22.3875,499984,-28.613,1.13881e-05,102.569,499984
6,-3.88902,8.57067e-06,23.4772,499984,-32.2757,9.68959e-06,113.578,499986
7,-3.93919,8.52141e-06,23.7037,499984,-32.5131,9.40143e-06,113.81,499984
8,-3.94794,8.49145e-06,23.6647,499984,-32.1251,9.42544e-06,112.4,499984
9,-3.94435,8.47838e-06,23.5852,499984,-31.781,9.49873e-06,111.27,499984
10,-3.9396,8.47423e-06,23.5287,499984,-31.5891,9.55132e-06,110.666,499984
11,-3.93649,8.47359e-06,23.4992,499984,-31.5069,9.57783e-06,110.417,499984
12,-3.93493,8.47392e-06,23.4868,499984,-31.4807,9.58811e-06,110.342,499984
13,-3.93434,8.4743e-06,23.4829,499984,-31.4762,9.591e-06,110.332,499986
14,-3.93415,8.47453e-06,23.4821,499984,-31.4774,9.59132e-06,110.338,499984
15,-3.93414,8.47465e-06,23.4824,499986,-31.4795,9.59099e-06,110.345,499984
16,-3.93417,8.47468e-06,23.4827,499984,-31.4805,9.59079e-06,110.348,499984
17,-3.93416,8.47469e-06,23.4827,499986,-31.4818,9.59035e-06,110.353,499984
18,-3.93417,8.47468e-06,23.4828,499986,-31.4818,9.59036e-06,110.353,499988
19,-3.93419,8.47471e-06,23.483,499984,-31.4817,9.59041e-06,110.352,499984
20,-3.93417,8.47472e-06,23.4829,499984,-31.4819,9.59029e-06,110.353,499984
21,-3.93418,8.47471e-06,23.4829,499984,-31.4817,9.59037e-06,110.353,499984
22,-3.93417,8.47471e-06,23.4829,499984,-31.4817,9.59036e-06,110.353,499984
23,-3.93417,8.47471e-06,23.4828,499984,-31.4817,9.59034e-06,110.353,499986
24,-3.93419,8.47468e-06,23.483,499986,-31.4815,9.59047e-06,110.352,499984
25,-3.93418,8.47471e-06,23.4829,499984,-31.4815,9.59045e-06,110.352,499984
26,-3.93418,8.47469e-06,23.4829,499984,-31.4816,9.59041e-06,110.352,499984
27,-3.93418,8.4747e-06,23.4829,499984,-31.4816,9.5904e-06,110.352,499984
28,-3.93418,8.47468e-06,23.4829,499986,-31.4816,9.5904e-06,110.352,499984
29,-3.93418,8.47471e-06,23.4829,499984,-31.4817,9.59037e-06,110.352,499986
30,-3.93418,8.4747e-06,23.4829,499984,-31.4813,9.5905e-06,110.351,499984
31,-3.93416,8.47473e-06,23.4828,499984,-31.4815,9.59044e-06,110.352,499984
32,-3.93419,8.47469e-06,23.483,499984,-31.4815,9.59043e-06,110.352,499984
33,-3.93417,8.47472e-06,23.4828,499984,-31.4812,9.59051e-06,110.351,499986
34,-3.93418,8.4747e-06,23.4829,499984,-31.4811,9.59055e-06,110.35,499984
35,-3.93418,8.47469e-06,23.4829,499984,-31.4813,9.59049e-06,110.351,499984
36,-3.93417,8.47471e-06,23.4829,499984,-31.4815,9.59044e-06,110.352,499984
37,-3.93417,8.47472e-06,23.4829,499984,-31.4813,9.59049e-06,110.351,499984
38,-3.9342,8.47471e-06,23.483,499986,-31.4816,9.59042e-06,110.352,499988
39,-3.93419,8.47469e-06,23.483,499986,-31.4812,9.59053e-06,110.351,499984
40,-3.93417,8.47472e-06,23.4828,499984,-31.4816,9.59041e-06,110.352,499984
41,-3.93418,8.47471e-06,23.4829,499986,-31.4815,9.59043e-06,110.352,499984
42,-3.93416,8.47473e-06,23.4828,499984,-31.4812,9.59052e-06,110.351,499984
43,-3.93417,8.47472e-06,23.4829,499988,-31.4813,9.5905e-06,110.351,499984
44,-3.93418,8.47471e-06,23.4829,499986,-31.481,9.59055e-06,110.35,499986
45,-3.93417,8.47471e-06,23.4829,499984,-31.4813,9.59048e-06,110.351,499984
46,-3.93417,8.47472e-06,23.4829,499984,-31.4813,9.5905e-06,110.351,499984
47,-3.93416,8.47473e-06,23.4828,499984,-31.4814,9.59047e-06,110.351,499984
48,-3.93417,8.4747e-06,23.4829,499986,-31.4815,9.59045e-06,110.352,499986
49,-3.93418,8.4747e-06,23.4829,499984,-31.4813,9.59051e-06,110.351,499984
