loop, time[s]
0,51.3715
1,66.127
2,61.4245
3,58.9095
4,55.9706
5,61.4754
6,60.6796
7,59.7389
8,59.6033
9,61.7175
10,61.8717
11,59.793
12,61.9503
13,61.5667
14,62.4101
15,60.1404
16,60.9919
17,58.4496
18,61.0903
19,61.275
20,55.4569
21,63.624
22,64.1275
23,59.7076
24,67.5939
25,66.8395
26,68.567
27,66.8686
28,67.662
29,62.1205
30,63.5343
31,69.669
32,61.1965
33,53.8671
34,53.8071
35,53.7278
36,54.0981
37,53.0209
38,54.1032
39,53.0902
40,53.5786
41,52.5723
42,54.5173
43,53.5306
44,52.7224
45,52.7228
46,52.1994
47,53.7113
48,53.3356
49,53.1114
