loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.71567,6.11621e-05,30.2225,499984,-23.133,5.04406e-05,63.6627,499982
2,0.590979,2.0366e-05,4.22672,124740,-4.23714,2.25254e-05,12.4944,124480
3,-0.509616,1.37305e-05,36.0042,464498,-16.1296,2.86613e-05,59.1934,464498
4,-0.949055,1.96296e-05,19.4252,499534,-16.2324,4.19628e-05,61.4207,499534
5,-1.57899,1.38033e-05,20.3917,499988,-27.7936,2.35652e-05,104.509,499988
6,-1.91238,1.1825e-05,15.0799,499986,-29.8446,1.87031e-05,110.487,499984
7,-1.54233,1.62112e-05,10.9621,499980,-25.6838,2.04877e-05,92.6695,499982
8,-1.54055,1.75421e-05,11.5459,300742,-22.3268,2.03852e-05,78.1016,299536
9,-0.953139,2.82309e-05,9.62728,456822,-11.4025,3.31813e-05,37.6485,456822
10,-0.401133,2.28405e-05,6.89782,483304,-8.60151,3.40529e-05,31.5542,483304
11,-0.515559,1.50232e-05,5.15702,499974,-10.298,3.70872e-05,41.1974,499974
12,-1.11809,1.12105e-05,5.27235,499986,-14.9901,3.23825e-05,58.9238,499988
13,0.150955,1.68125e-05,4.66525,155668,-16.5888,2.05705e-05,64.549,155512
14,-1.01956,1.40596e-05,41.0433,453956,-22.4206,3.10785e-05,85.8218,453956
15,-0.78621,1.54399e-05,13.7849,498326,-23.6961,1.99984e-05,87.2515,498326
16,-1.32126,9.99346e-06,13.6128,499988,-31.9145,1.6966e-05,124.313,499988
17,-1.64712,1.28584e-05,12.3784,499990,-24.4052,2.56149e-05,93.2501,499990
18,-1.19589,2.05163e-05,10.4857,495078,-26.025,2.15443e-05,94.8156,495076
19,-1.44467,2.94809e-05,12.6402,119506,-10.4199,5.70026e-05,35.6026,118142
20,-0.372327,1.96385e-05,18.4481,466426,-15.9785,1.98822e-05,56.8428,466428
21,-0.915229,9.533e-06,6.54113,496568,-14.1623,2.95303e-05,56.0537,496568
22,-1.24424,7.66722e-06,6.7196,499984,-29.1846,1.42426e-05,115.891,499984
23,-1.907,1.06937e-05,10.4492,499984,-16.5584,3.56716e-05,64.8051,499984
24,-0.849361,1.9333e-05,6.93963,457422,-23.8293,2.06242e-05,88.1936,456828
25,-1.773,3.03661e-05,16.7856,289160,-12.2969,6.00053e-05,42.5471,288644
26,-1.05896,3.73121e-05,10.0967,496910,-7.88091,5.82451e-05,25.4647,496910
27,-0.0765258,1.9444e-05,10.0375,499990,-15.0047,2.16489e-05,58.4899,499990
28,-0.911172,3.64968e-05,11.7312,489632,-15.4133,5.42977e-05,57.5452,489486
29,-1.43183,3.41213e-05,18.0327,450928,-13.1069,5.17356e-05,44.8146,450928
30,-0.518898,2.36445e-05,8.41226,322896,-9.02715,3.86511e-05,32.8228,322264
31,-0.0897367,1.58252e-05,14.276,487124,-17.7518,2.35755e-05,73.1155,487124
32,-1.30239,1.41981e-05,10.6273,499972,-22.4452,3.17674e-05,88.6426,499974
33,-1.36015,1.48568e-05,8.57173,499968,-22.8035,2.24299e-05,82.1577,499968
34,0.0556691,1.46589e-05,5.10152,116360,-11.8024,2.12838e-05,43.35,115916
35,-0.93753,1.79578e-05,29.7253,451022,-22.7873,2.3626e-05,82.5768,451022
36,-1.01821,2.27644e-05,15.9434,493338,-19.2584,3.02232e-05,70.1202,493338
37,-1.68627,1.61661e-05,17.2393,499984,-22.5999,2.63253e-05,82.6623,499984
