loop, time[s]
0,62.8363
1,72.3832
2,111.892
3,65.2294
4,69.3409
5,67.783
6,65.6875
7,65.235
8,69.0508
9,62.8507
10,64.2721
11,65.6546
12,65.4295
13,94.1972
14,64.0406
15,68.5219
16,65.7412
17,66.5561
18,66.6324
19,75.562
20,66.3391
21,68.6441
22,68.1944
23,67.4806
24,71.2857
25,68.4776
26,70.295
27,72.5765
28,67.8021
29,60.0776
30,56.7764
31,62.2892
32,64.8996
33,63.0876
34,86.1713
35,59.425
36,64.363
37,64.5901
38,63.3894
39,62.3493
40,87.9259
41,58.2589
42,62.3889
43,63.0351
44,61.981
45,61.6141
46,80.8622
47,57.8117
48,61.6298
49,62.5218
50,61.356
51,62.0915
52,88.2596
53,57.614
54,61.244
55,62.8743
56,61.7801
57,62.1341
58,89.1493
59,57.1092
60,61.6955
61,63.3766
62,61.9729
63,63.6261
64,100.792
65,71.2551
66,77.1458
67,74.4819
68,62.9499
69,78.0947
70,107.789
71,70.1386
72,73.7229
73,77.7541
74,77.196
75,78.7083
76,99.4112
77,66.9169
78,74.2292
79,75.7289
80,73.6165
81,66.2972
82,86.186
83,69.5495
84,76.3206
85,75.4712
86,72.4679
87,78.2213
88,107.968
89,69.6846
90,72.5403
91,78.2938
92,78.5492
93,79.0639
94,106.649
95,72.5794
96,76.2502
97,72.834
98,76.5768
99,76.9003
100,103.069
101,69.4952
102,77.632
103,77.33
104,69.5934
105,71.7935
106,105.546
107,68.6284
108,70.8371
109,76.6659
110,77.6627
111,77.0368
112,100.691
113,72.327
114,76.2803
115,73.9448
116,75.9992
117,76.7268
118,103.547
119,64.9949
120,72.7068
121,73.1609
122,72.3596
123,77.5691
124,87.6494
125,67.1984
126,75.559
127,76.0285
128,73.2459
129,74.8717
130,111.011
131,73.2299
132,71.0173
133,80.4436
134,75.8024
135,76.5934
136,98.5057
137,72.6094
138,75.8939
139,74.0301
140,76.5514
141,77.9968
142,106.217
143,64.4943
144,73.3978
145,73.8239
146,77.1986
147,61.8
148,108.841
149,70.6681
150,73.4348
151,74.655
152,77.1142
153,80.6037
154,99.7613
155,73.4674
156,75.5235
157,76.6689
158,72.2839
159,76.503
160,106.947
161,69.7239
162,74.7023
163,80.3533
164,74.8554
165,74.8827
166,98.1557
167,72.4475
168,75.8609
169,63.1041
170,77.1783
171,74.4346
172,103.988
173,68.9538
174,76.8474
175,78.6355
176,79.3819
177,71.6173
178,103.677
179,71.6872
180,76.6519
181,72.7102
182,78.2915
183,80.0471
184,104.834
185,70.9065
186,74.7366
187,73.5352
188,73.5212
189,77.5595
190,102.476
191,68.5031
192,73.9999
193,76.8999
194,75.662
195,72.448
196,106.782
197,71.8549
198,78.0936
199,68.5912
