loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.71562,6.11631e-05,30.222,199996,-23.134,5.04384e-05,63.6654,199996
2,0.594216,2.03291e-05,4.24126,49962,-4.23448,2.25625e-05,12.5017,49846
3,-0.508813,1.3734e-05,35.9627,185764,-16.1406,2.86628e-05,59.2387,185764
4,-0.951723,1.96516e-05,19.491,199832,-16.2275,4.20462e-05,61.3887,199832
5,-1.58134,1.38149e-05,20.4439,200000,-27.7995,2.35704e-05,104.505,199998
6,-1.90969,1.18543e-05,15.069,199998,-29.7964,1.87314e-05,110.287,199998
7,-1.53828,1.62455e-05,10.9552,199996,-25.6305,2.05153e-05,92.4693,199996
8,-1.55149,1.7636e-05,11.6209,120124,-22.2643,2.05562e-05,77.8422,119622
9,-0.938382,2.80826e-05,9.55226,182740,-11.3915,3.28948e-05,37.6415,182740
10,-0.397872,2.27712e-05,6.89234,193286,-8.61893,3.40046e-05,31.6623,193288
11,-0.514976,1.4866e-05,5.12649,199996,-10.2261,3.72696e-05,40.962,199996
12,-1.11531,1.10862e-05,5.24557,199998,-14.881,3.25647e-05,58.6168,199998
13,0.165681,1.63691e-05,4.53454,62158,-16.8455,1.98252e-05,65.461,62098
14,-0.974721,1.40389e-05,40.2471,181510,-22.1093,3.13435e-05,84.8393,181510
15,-0.779172,1.54884e-05,13.9366,199312,-24.0551,2.00371e-05,88.7724,199312
16,-1.32648,1.00657e-05,13.9319,199998,-31.6579,1.7371e-05,123.28,199998
17,-1.64204,1.28486e-05,12.417,199998,-24.6086,2.53605e-05,93.9566,199998
18,-1.19587,2.04307e-05,10.4803,198304,-25.9168,2.1618e-05,94.4289,198304
19,-1.45623,2.94911e-05,12.6813,48030,-10.5126,5.63805e-05,35.8619,47580
20,-0.349602,1.96439e-05,18.3386,186522,-15.8247,1.99103e-05,56.3837,186522
21,-0.866617,9.59167e-06,6.39331,198606,-14.3065,2.94405e-05,56.8173,198606
