loop, time[s]
0,23.0179
1,30.0102
2,45.3779
3,29.9122
4,27.9931
5,27.3327
6,26.753
7,26.0115
8,26.9319
9,26.0276
10,25.6526
11,26.454
12,25.6463
13,38.0705
14,27.617
15,27.6008
16,27.22
17,26.2858
18,25.7331
19,30.2626
20,26.6807
21,26.5869
22,26.001
23,26.4356
24,30.6966
25,32.8945
26,32.4546
27,27.9574
28,30.2719
29,25.484
30,29.913
31,30.2237
32,30.3287
33,28.0941
34,30.2246
35,29.4076
36,29.6236
37,30.5543
38,30.5822
39,31.5164
40,27.3397
41,28.1337
42,30.2728
43,25.9371
44,30.3094
45,32.3682
46,31.2174
47,31.457
48,29.2187
49,33.8318
50,29.3521
51,29.8867
52,29.7695
53,26.6187
54,31.6414
55,32.7579
56,32.5672
57,30.462
58,27.0719
59,29.6159
60,32.2828
61,31.6543
62,30.0391
63,31.1077
64,29.4229
65,32.4681
66,31.6886
67,30.1799
68,31.3837
69,29.0838
70,30.6283
71,32.1745
72,31.2818
73,26.9029
74,31.3366
75,28.7919
76,29.4737
77,30.1635
78,29.1229
79,33.9378
80,27.509
81,30.6293
82,29.6329
83,29.7403
84,28.4645
85,28.9499
86,28.4725
87,28.9725
88,26.5252
89,37.4549
90,29.1556
91,29.3585
92,28.8852
93,30.1881
94,27.4621
95,31.4582
96,27.6025
97,27.4163
98,27.6005
99,30.3504
100,30.3386
101,30.684
102,28.0013
103,30.2836
104,32.2822
105,29.9352
106,27.6394
107,31.7203
108,29.9066
109,31.0528
110,28.9463
111,28.8682
112,33.9167
113,30.0676
114,31.0586
115,30.3968
116,29.161
117,33.1924
118,28.5117
119,28.1893
120,30.8287
121,30.9218
122,29.4971
123,30.4412
124,28.2677
125,26.244
126,30.5336
127,30.9197
128,27.6974
129,28.6405
130,21.5012
131,27.8591
132,29.2088
133,27.1688
134,32.3157
135,28.0848
136,30.9204
137,30.1306
138,27.015
139,29.6007
140,28.8002
141,29.6961
142,29.5518
143,30.7152
144,30.9835
145,28.1797
146,27.9522
147,27.166
148,26.1379
149,29.2841
150,28.9883
151,28.5568
152,26.5159
153,31.2083
154,28.1499
155,30.1898
156,28.5428
157,26.9897
158,35.2049
159,28.528
160,28.1369
161,26.9674
162,25.8115
163,29.2181
164,34.6208
165,28.9847
166,28.6403
167,29.4711
168,30.528
169,29.6934
170,29.2963
171,29.9424
172,29.2372
173,32.8493
174,28.5095
175,27.2355
176,29.6422
177,29.0062
178,31.7643
179,27.6739
180,28.2768
181,25.756
182,27.3098
183,23.991
184,26.2033
185,26.7192
186,25.3224
187,27.7745
188,27.3767
189,26.3594
190,25.4548
191,26.1029
192,25.8397
193,27.0247
194,25.3988
195,24.903
196,25.4417
197,26.3681
198,25.8848
199,27.8113
