loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.71562,6.11631e-05,30.2221,199996,-23.134,5.04385e-05,63.6653,199996
2,-0.530703,1.96166e-05,2.57169,58474,-5.86557,1.97245e-05,14.0397,58400
3,-0.279546,2.87663e-05,7.23309,199932,-8.19734,3.74626e-05,28.0023,199932
4,-0.201899,2.15319e-05,8.84687,199968,-11.4835,3.16041e-05,42.8662,199968
5,-0.211807,1.81937e-05,11.2817,199982,-16.9794,2.4028e-05,66.357,199982
6,-0.192172,1.3934e-05,9.95403,199984,-20.5803,1.9775e-05,83.5481,199984
7,-0.330427,1.10747e-05,7.01471,199976,-24.8562,1.84976e-05,103.39,199976
8,-0.664962,1.01821e-05,6.31927,199948,-27.6281,1.97779e-05,114.289,199948
9,-0.864964,1.09699e-05,6.93154,199578,-33.318,1.68371e-05,134.572,199578
10,-1.02813,1.3054e-05,9.16677,189190,-32.6413,1.70066e-05,128.673,189190
11,-2.2382,1.15871e-05,17.6695,167766,-27.6635,2.29114e-05,104.942,167762
12,-1.20452,2.27359e-05,12.5067,176692,-17.5744,2.97567e-05,63.2115,176634
13,-1.11346,3.12096e-05,11.9696,190358,-13.5276,3.92913e-05,46.9213,190356
14,-0.0977182,2.15785e-05,6.49405,87004,-10.4067,2.829e-05,38.2901,86894
15,-0.20132,2.15727e-05,9.47255,197216,-14.7584,3.07624e-05,57.0423,197216
16,-0.030508,1.46094e-05,14.9685,199014,-24.7922,1.99895e-05,100.615,199014
17,-0.0955402,1.28329e-05,12.724,199374,-25.5843,1.90271e-05,104.347,199374
18,-0.321158,1.28223e-05,9.83878,198906,-23.7952,2.39875e-05,97.5578,198906
19,-0.559877,1.35089e-05,9.82637,195124,-23.9383,2.55516e-05,97.034,195124
20,-1.03399,1.40397e-05,12.8706,178352,-24.6559,2.67464e-05,97.5111,178352
21,-1.44996,1.65145e-05,16.3919,166028,-22.3433,2.87129e-05,84.2121,165994
22,-1.11055,2.59617e-05,13.3506,189292,-17.3619,3.1542e-05,61.8386,189292
23,-1.23716,2.84016e-05,12.2335,198072,-14.0099,3.71674e-05,48.2193,198072
24,-0.375975,2.04119e-05,7.09612,181684,-13.8975,2.58062e-05,51.0923,181648
25,-0.305732,1.74462e-05,8.54878,188344,-13.0108,2.71293e-05,50.8483,188344
26,-0.223543,1.60702e-05,7.18363,196940,-17.0276,2.03424e-05,68.05,196938
27,-0.42406,1.5353e-05,6.61999,198812,-16.9935,2.54502e-05,68.6955,198812
28,-0.527001,1.58194e-05,6.49565,193518,-19.0265,2.51868e-05,76.0566,193496
29,-0.360524,1.93278e-05,8.79073,119894,-12.0474,4.46003e-05,48.6542,119690
30,-0.223999,1.45247e-05,13.5678,186326,-18.2743,2.14999e-05,73.5641,186326
31,-0.564214,1.69939e-05,8.88916,193384,-18.2409,2.7057e-05,72.4632,193384
32,-1.0749,1.81839e-05,9.90264,196984,-19.64,2.88034e-05,74.6058,196948
33,-1.3146,1.8311e-05,9.84339,199926,-26.7736,1.98495e-05,97.4684,199926
34,-0.900219,1.27716e-05,5.46594,199974,-26.2444,1.28318e-05,94.6283,199974
35,-0.519142,1.86138e-05,5.77444,185676,-19.875,2.3357e-05,76.1374,185450
36,-0.206004,1.6225e-05,6.50888,181750,-19.9278,2.03536e-05,77.6505,181752
37,0.243817,1.35571e-05,13.3412,191744,-16.2563,1.87983e-05,67.1733,191744
38,-0.0143759,1.293e-05,11.7895,194348,-11.8607,3.75712e-05,51.3153,194348
39,-0.414549,1.36807e-05,9.82647,192514,-13.2851,4.58687e-05,56.4112,192514
40,-0.836666,1.5353e-05,10.9719,184856,-17.2958,3.79277e-05,69.8106,184858
41,-1.25938,1.7165e-05,13.8807,165504,-19.22,3.3994e-05,73.6984,165362
42,-1.14211,2.52394e-05,12.672,185772,-15.4387,3.61249e-05,55.3595,185772
43,-0.306899,1.96725e-05,7.20401,134948,-12.9348,2.7416e-05,47.7299,134072
44,0.0578483,1.41808e-05,7.57402,189338,-18.1927,1.53017e-05,70.0509,189338
45,0.0591298,1.26851e-05,8.3319,197822,-21.0943,1.7061e-05,86.8513,197822
46,-0.116287,1.00471e-05,6.3598,199762,-21.5818,2.02534e-05,91.3685,199762
47,-0.527701,8.28111e-06,5.20393,199958,-23.6706,2.1606e-05,99.7961,199958
48,-1.11781,7.82676e-06,6.41093,199970,-29.7333,1.89469e-05,121.957,199970
49,-1.32091,9.18564e-06,7.37496,199932,-35.9097,1.5589e-05,142.602,199932
50,-0.977488,1.31872e-05,7.10403,198556,-35.2189,1.44456e-05,136.146,198554
51,-2.36943,1.0755e-05,17.5798,158162,-32.7545,1.90915e-05,124.87,157974
52,-1.41177,2.78994e-05,14.0875,186906,-18.3691,3.56575e-05,64.9708,186906
53,-0.693696,3.43911e-05,8.24956,93120,-12.1716,3.47469e-05,41.3618,92894
54,-0.156389,2.13166e-05,8.9547,198330,-9.71808,2.71106e-05,35.6498,198330
55,0.0242401,1.27931e-05,6.14774,199880,-13.2245,2.2315e-05,54.2162,199878
56,-0.286854,1.08277e-05,4.68472,199984,-17.1821,2.51169e-05,72.4409,199984
57,-0.691027,1.24553e-05,5.65901,199998,-22.643,2.35698e-05,92.693,199994
58,-0.779283,1.40525e-05,5.97091,199982,-29.5214,1.79151e-05,116.83,199982
59,-0.442872,1.87178e-05,6.42921,190292,-23.7302,2.03342e-05,91.9405,190108
60,-1.10556,2.87409e-05,13.6724,183036,-11.5663,5.60141e-05,42.3323,183036
61,-0.322394,2.79126e-05,9.46972,137014,-10.7226,3.82728e-05,40.5551,136692
62,-0.0540608,1.97744e-05,11.4309,197210,-11.467,3.00897e-05,45.7657,197210
63,0.195638,1.06973e-05,7.01611,199546,-16.037,2.15693e-05,69.0843,199546
64,-0.205381,9.00364e-06,4.48241,199800,-19.1236,2.56637e-05,82.5197,199800
65,-0.495089,1.01487e-05,4.9013,199496,-26.518,2.11298e-05,111.174,199496
66,-0.540386,1.40825e-05,7.97716,168494,-28.0414,2.06647e-05,114.81,168346
67,-1.06705,2.36835e-05,12.9975,187030,-15.9795,4.22831e-05,60.2731,187030
68,-0.817604,3.12565e-05,10.2007,125980,-12.0757,4.11337e-05,42.9028,125392
69,-0.226451,1.89052e-05,8.00383,199156,-13.7112,2.33844e-05,52.0741,199156
70,-0.0924814,1.08039e-05,4.65999,199928,-18.6147,1.54944e-05,74.655,199928
71,-0.590221,8.22085e-06,3.86327,199982,-21.2975,1.91677e-05,87.6508,199982
72,-1.04381,7.62655e-06,4.62678,199986,-23.5195,2.01815e-05,95.6772,199986
73,-0.804247,9.39014e-06,4.26671,199924,-33.2716,1.40927e-05,133.026,199924
74,-0.22293,1.2963e-05,6.54192,158244,-25.1574,1.52301e-05,101.15,158148
75,-1.29966,1.68119e-05,14.0703,177474,-21.1939,3.44154e-05,82.1452,177474
76,-1.22772,2.985e-05,13.3134,141768,-13.5809,4.76742e-05,48.3716,141722
77,-1.04187,3.07698e-05,10.856,197682,-10.5302,4.80188e-05,36.3026,197682
78,-0.281364,1.66871e-05,6.17309,199788,-12.2187,2.16765e-05,44.8684,199788
79,-0.149634,1.24612e-05,4.93826,199958,-14.9802,1.8289e-05,59.4427,199958
80,-0.428316,1.23145e-05,4.80704,199950,-17.4966,2.52579e-05,72.3888,199950
81,-0.345677,1.38308e-05,5.00498,198004,-24.7343,1.92248e-05,101.135,197998
82,-1.24543,1.61228e-05,14.7381,126516,-15.5386,4.88354e-05,61.7241,126468
83,-0.540061,2.24586e-05,11.593,186216,-13.2274,2.98184e-05,49.4339,186216
84,-0.711389,2.20326e-05,9.73615,190790,-13.0769,3.54157e-05,49.2805,190728
85,-0.861094,2.10044e-05,8.51545,170798,-14.4525,3.20033e-05,53.5106,170774
86,-0.484593,1.5213e-05,5.32129,199806,-17.5063,1.86845e-05,65.7921,199806
87,-0.216946,1.75044e-05,6.19882,192336,-18.2321,2.37157e-05,73.2103,192324
88,-0.228529,1.59148e-05,7.34082,180672,-18.7284,2.53068e-05,75.8559,180672
89,-0.0537618,1.67815e-05,11.7459,189992,-12.3176,2.96689e-05,50.4277,189946
90,-0.332953,1.70552e-05,10.5659,185564,-10.395,4.79955e-05,43.3102,185280
91,-0.522277,1.61721e-05,9.33688,191700,-13.2726,4.21502e-05,54.4729,191700
92,-0.557945,1.46364e-05,8.22513,186188,-18.6169,2.69676e-05,74.9509,186188
93,-0.70419,1.50297e-05,10.1211,152642,-15.7304,3.34049e-05,62.4401,152500
94,-0.753364,1.60705e-05,8.35934,184552,-19.602,2.30816e-05,74.1498,184552
95,-0.607017,1.80817e-05,7.71808,193692,-16.7105,2.42657e-05,62.8923,193692
96,-0.576613,1.53012e-05,6.33844,199138,-17.96,2.11672e-05,68.4283,199138
97,-0.529354,1.35697e-05,5.18201,195224,-23.6407,1.64664e-05,91.4821,195170
98,-0.470204,1.23264e-05,4.22717,199604,-25.769,1.58692e-05,100.572,199604
99,0.284056,1.24596e-05,7.64685,197418,-19.9827,1.46329e-05,82.9255,197420
100,-0.935719,9.44482e-06,13.1462,148008,-15.3055,3.7788e-05,65.2208,147964
101,-0.564494,1.82467e-05,9.93488,188768,-17.8002,2.87786e-05,70.6579,188768
102,-0.879017,2.47993e-05,9.71421,129592,-12.6883,4.19845e-05,47.0834,129374
103,-0.674766,2.25629e-05,7.85357,199538,-11.1901,3.81566e-05,41.0071,199538
104,0.341476,1.12197e-05,7.28214,199852,-16.6304,1.58535e-05,68.3067,199852
105,-0.105042,1.48712e-05,7.61618,199766,-17.5043,2.94391e-05,74.1472,199766
106,-0.310929,1.8105e-05,9.70264,195692,-16.4831,3.59236e-05,67.6849,195692
107,-1.83209,1.46056e-05,25.2447,145698,-14.6276,5.52077e-05,57.1893,145312
108,-1.02116,2.95619e-05,14.2261,191290,-14.4789,4.17735e-05,52.0861,191290
109,-1.11519,3.06838e-05,12.5981,197976,-13.5903,3.94242e-05,47.2463,197976
110,-1.13443,2.81868e-05,11.1302,199864,-14.1061,3.44542e-05,48.7474,199862
111,-1.00264,2.32417e-05,8.47854,192570,-18.6985,2.24404e-05,65.4799,192546
112,-0.724552,1.59618e-05,4.89567,148486,-18.9648,1.90433e-05,68.6005,148320
113,-0.0216859,1.79099e-05,7.43319,199694,-14.3022,2.05421e-05,56.8592,199694
114,0.38261,1.02383e-05,6.39582,199834,-21.046,1.10936e-05,89.0488,199834
115,-0.0409403,1.194e-05,5.39656,199612,-19.4096,2.49948e-05,84.9299,199612
116,-0.374103,1.48794e-05,7.1614,186750,-19.3707,3.24297e-05,81.5682,186750
117,-0.618867,1.73035e-05,11.6815,95224,-11.2797,5.37296e-05,45.3363,94654
118,-0.349012,1.2493e-05,9.64657,182208,-21.7289,1.86085e-05,85.3039,182208
119,-0.540151,1.62876e-05,8.65449,188702,-20.9884,2.2111e-05,82.1064,188702
120,-0.711202,1.52634e-05,7.85218,196980,-18.4168,2.43624e-05,71.1606,196980
121,-0.901013,1.28155e-05,7.14844,199802,-21.3777,2.00792e-05,82.2267,199802
122,-1.14543,1.0773e-05,6.93214,199984,-28.5924,1.51843e-05,110.026,199984
123,-1.5307,8.92875e-06,7.31876,199996,-37.4828,1.19281e-05,143.567,199996
124,-1.588,8.5406e-06,6.7165,199992,-44.5884,9.76729e-06,168.897,199992
125,-0.555969,1.32239e-05,4.09609,174542,-25.8356,1.71494e-05,98.7026,174212
126,-0.416596,1.14519e-05,10.0046,177858,-28.4166,1.42377e-05,115.158,177858
127,-0.223072,1.33288e-05,6.40318,189226,-21.7909,1.61593e-05,87.5068,189226
128,-0.345624,1.57028e-05,6.82922,197980,-21.1133,1.9366e-05,85.0062,197980
129,-0.410383,1.5101e-05,6.47835,199392,-22.5553,1.9228e-05,91.0165,199392
130,-0.388136,1.51693e-05,6.19758,198898,-25.8568,1.76755e-05,104.465,198900
131,-0.328834,1.51096e-05,11.0966,131892,-15.2695,3.47185e-05,62.9456,131824
132,-0.454386,1.4071e-05,10.3846,185934,-20.1149,2.15589e-05,80.1989,185934
133,-0.776407,1.82874e-05,9.60337,195096,-18.4739,2.78255e-05,71.4291,195098
134,-1.0538,1.7435e-05,9.14937,191408,-21.9143,2.28576e-05,82.0817,191088
135,-1.35073,1.99466e-05,10.1397,199920,-24.4805,2.24521e-05,88.3686,199920
136,-0.692441,1.79054e-05,6.07041,198290,-19.9107,1.94378e-05,72.6258,198284
137,-0.135368,1.97752e-05,9.1303,145282,-21.7886,2.23208e-05,86.2921,145260
138,-0.522488,1.32696e-05,17.0248,185690,-29.5249,1.58225e-05,117.867,185688
139,-0.515785,1.62587e-05,9.47221,195860,-21.026,1.94376e-05,81.7711,195860
140,-0.977978,1.70727e-05,9.39745,196404,-21.8202,2.44471e-05,83.6088,196378
141,-1.31456,2.04772e-05,10.1492,199838,-20.7289,2.75738e-05,75.1252,199836
142,-0.134028,1.81863e-05,7.01548,179192,-16.737,2.17914e-05,64.6627,179166
143,-0.671977,1.54761e-05,15.1009,182600,-31.484,1.84711e-05,126.752,182600
144,-0.378473,1.70628e-05,8.68899,195302,-22.4397,1.62102e-05,86.553,195302
145,-0.764822,1.87808e-05,8.84814,199010,-22.1493,2.35853e-05,85.5503,199012
146,-0.623844,1.73455e-05,6.44339,153948,-25.2331,1.74235e-05,95.6945,153382
147,-0.571099,2.2039e-05,7.04516,193446,-15.4154,3.2806e-05,58.1317,193446
148,0.210457,1.05602e-05,16.0453,173524,-29.5771,1.32102e-05,123.347,173526
149,-0.474756,1.39255e-05,18.2777,171574,-18.1709,3.02481e-05,73.3289,171574
150,-0.703961,1.71842e-05,16.9023,178166,-15.5328,3.81181e-05,60.9738,178166
151,-0.888667,1.98819e-05,15.7919,182320,-14.6548,4.06101e-05,55.9189,182320
152,-0.940312,2.22034e-05,14.9804,177310,-13.7407,4.12511e-05,51.256,177130
153,-0.930895,2.59442e-05,12.8646,193750,-14.5165,3.40424e-05,52.1754,193750
154,-1.12422,2.49697e-05,12.2734,199168,-13.1014,3.90388e-05,46.8224,199168
155,-1.06409,2.33245e-05,10.3629,199882,-16.7408,2.79554e-05,59.7689,199882
156,-0.775057,1.53502e-05,5.67462,145296,-26.9328,1.40193e-05,99.4246,145116
157,-0.111853,1.68516e-05,5.49518,198058,-15.1352,1.74702e-05,57.0179,198058
158,0.145464,1.49254e-05,7.37719,199008,-17.1989,1.9476e-05,73.0694,199006
159,-0.0699651,1.77061e-05,9.02877,196810,-15.1273,3.22371e-05,64.0642,196810
160,-1.06795,1.74209e-05,17.3077,144490,-11.6441,6.08062e-05,46.836,144188
161,-1.19976,2.99997e-05,16.0281,188366,-11.0117,6.28971e-05,40.0664,188364
162,-1.11254,3.38584e-05,12.9868,195552,-11.0665,5.16381e-05,38.5592,195552
163,-0.740305,2.70113e-05,8.48648,157560,-10.9936,3.7595e-05,38.958,156966
164,0.103821,1.53664e-05,6.97486,199744,-12.8783,1.6493e-05,49.7667,199744
165,-0.053421,1.04828e-05,4.29382,199970,-16.1795,2.08849e-05,68.1972,199970
166,-0.610977,8.5395e-06,3.82363,199996,-18.5597,2.42391e-05,77.5416,199996
167,-1.07305,7.76623e-06,4.55951,199996,-23.1792,2.10503e-05,94.2096,199996
168,-0.784065,9.23192e-06,3.92843,199950,-34.3516,1.35946e-05,136.503,199950
169,-0.101403,1.28475e-05,7.4325,115126,-20.3094,2.07395e-05,82.1999,114730
170,-1.38587,1.79097e-05,22.6062,179900,-18.975,4.02202e-05,72.4993,179900
171,-0.885905,1.86467e-05,10.651,187868,-18.1135,2.55559e-05,67.4973,187868
172,-0.984029,2.29908e-05,10.4296,197040,-15.2412,3.13133e-05,55.2437,197040
173,-1.04226,2.11865e-05,9.29585,199774,-16.9574,2.61433e-05,60.9822,199774
174,-1.01944,1.81593e-05,7.68618,199968,-21.3434,1.92546e-05,77.3208,199970
175,-0.826484,1.39005e-05,4.77469,154666,-28.4552,1.29249e-05,104.293,154562
176,-0.660962,2.64733e-05,6.25083,199082,-13.8413,3.62403e-05,49.816,199082
177,-0.247473,1.62602e-05,16.8467,177648,-29.2459,1.94621e-05,119.163,177648
178,-0.91125,1.54124e-05,23.164,165864,-24.3935,2.56652e-05,95.2536,165864
179,-0.791077,1.74753e-05,18.5732,177148,-19.6407,2.6128e-05,74.4673,177148
180,-0.751925,1.64656e-05,14.653,183584,-18.3062,2.71755e-05,70.2149,183582
181,-0.858915,1.7922e-05,13.2114,186840,-17.4284,2.95524e-05,66.3237,186840
182,-0.895766,1.98446e-05,12.0569,188428,-15.6131,3.20779e-05,58.4896,188326
183,-0.883441,2.35476e-05,11.3242,192998,-15.0254,3.18973e-05,54.9953,192996
184,-0.970591,2.81251e-05,11.4018,163738,-11.1468,4.47564e-05,39.9041,163634
185,-0.718775,2.75461e-05,8.67162,195658,-8.67655,4.95e-05,31.2745,195658
186,-0.0187503,1.57031e-05,9.40029,159742,-13.7627,3.2161e-05,56.7922,159482
187,-0.447456,2.19923e-05,14.6989,189914,-11.4181,4.11636e-05,44.6322,189914
188,-0.556701,1.84635e-05,9.38599,197640,-12.6759,3.92188e-05,50.349,197640
189,-0.978655,1.80955e-05,9.56636,199784,-15.5167,3.45362e-05,59.3062,199784
190,-1.00026,1.51917e-05,7.49473,187414,-29.1661,1.68134e-05,109.9,187334
191,-0.304801,1.18153e-05,4.22061,199930,-20.4688,1.31084e-05,76.6496,199930
192,-0.0167379,1.01073e-05,4.02549,199870,-18.8391,1.54564e-05,76.7207,199872
193,0.0142048,1.12697e-05,5.01518,196866,-20.8591,1.99277e-05,89.0497,196866
194,-0.47387,1.32652e-05,9.87577,108626,-13.3822,4.46496e-05,55.4658,108410
195,-1.00616,1.53325e-05,17.0728,180116,-19.3153,3.4913e-05,75.8342,180116
196,-0.851686,1.92975e-05,10.9495,188794,-17.0111,2.96275e-05,64.1528,188798
197,-1.02394,2.04551e-05,10.3686,197916,-14.9319,3.23667e-05,54.737,197916
198,-1.06195,1.87787e-05,9.06573,199852,-17.086,2.60532e-05,62.2175,199852
199,-1.0334,1.62773e-05,7.34899,199970,-23.2476,1.79032e-05,85.0087,199970
