loop, time[s]
0,22.8892
1,30.135
2,45.1123
3,27.429
4,24.9855
5,24.9602
6,25.1681
7,24.946
8,25.4185
9,24.7182
10,23.3559
11,20.654
12,22.3153
13,23.7763
14,34.1362
15,27.158
16,25.308
17,25.2947
18,24.8574
19,24.5834
20,22.4037
21,21.1537
22,23.5991
23,24.7778
24,25.8971
25,26.848
26,27.6112
27,27.7194
28,25.5914
29,23.8808
30,27.4063
31,26.9876
32,28.2226
33,27.1033
34,26.5504
35,30.3787
36,25.977
37,26.2832
38,26.5342
39,28.3106
40,27.8382
41,24.8552
42,25.991
43,33.7611
44,27.884
45,27.5584
46,27.664
47,27.9732
48,26.713
49,27.265
50,26.5699
51,24.4027
52,28.2887
53,30.2803
54,28.7695
55,27.9045
56,27.4335
57,26.9933
58,26.5979
59,27.6109
60,26.5445
61,27.6516
62,28.039
63,28.3176
64,27.4892
65,27.2274
66,25.8618
67,27.6539
68,27.3126
69,27.3502
70,26.8328
71,28.9794
72,27.8061
73,27.1786
74,24.4882
75,25.9389
76,29.0317
77,28.2284
78,26.9248
79,26.3122
80,27.4779
81,27.6964
82,21.0564
83,26.7679
84,27.673
85,24.1549
86,27.091
87,28.589
88,25.9802
89,26.2716
90,27.74
91,26.8234
92,25.1501
93,23.0107
94,26.7165
95,25.7069
96,26.5659
97,26.7714
98,26.2269
99,25.4073
100,21.2098
101,25.2779
102,31.0647
103,29.0022
104,25.3272
105,27.1284
106,25.7267
107,25.7817
108,28.0689
109,25.7259
110,27.6855
111,25.3855
112,26.3994
113,27.7507
114,25.93
115,26.8114
116,23.7679
117,25.8519
118,25.7224
119,25.886
120,25.7226
121,24.0857
122,26.1843
123,27.1001
124,25.977
125,27.5405
126,23.0444
127,25.3355
128,25.6608
129,26.35
130,24.8943
131,21.0241
132,25.1577
133,25.9419
134,27.7502
135,27.8829
136,27.7816
137,20.3423
138,25.5785
139,25.9642
140,27.1832
141,28.7959
142,23.5661
143,26.9034
144,25.8689
145,28.1484
146,32.3207
147,26.1715
148,23.1758
149,23.3983
150,24.8312
151,24.0509
152,25.6384
153,28.1356
154,25.4464
155,26.5469
156,28.0373
157,26.6211
158,27.7855
159,26.0665
160,25.4667
161,26.7156
162,26.1111
163,25.6409
164,26.7406
165,26.2952
166,26.261
167,26.4998
168,25.2496
169,24.6293
170,24.8804
171,24.3237
172,25.5416
173,24.8321
174,27.6661
175,30.9506
176,29.9041
177,24.5815
178,21.8057
179,23.9312
180,24.6415
181,24.7429
182,24.9395
183,24.8377
184,28.9127
185,27.3805
186,29.2488
187,26.4118
188,25.7681
189,26.1758
190,26.3181
191,26.3253
192,25.2902
193,26.0767
194,20.9312
195,25.6504
196,24.5904
197,26.5473
198,25.8795
199,25.3149
