loop, time[s]
0,10.1439
1,14.4916
2,11.205
3,10.5083
4,10.7458
5,10.7
6,10.6548
7,10.728
8,10.6942
9,10.6356
10,10.8646
11,10.9499
12,10.919
13,10.935
14,12.1274
15,13.4413
16,11.6321
17,12.42
18,12.4573
19,13.536
20,14.8706
21,10.5294
22,11.8405
23,12.4672
24,13.1099
25,12.6166
26,13.2416
27,12.3631
28,13.9018
29,11.2733
30,11.9083
31,11.1999
32,13.4734
33,12.6895
34,14.1226
35,12.0162
36,13.8876
37,12.2248
38,14.6999
39,11.0608
40,13.0164
41,11.8882
42,10.734
43,11.2373
44,12.9132
45,10.942
46,11.0814
47,12.1124
48,12.6588
49,12.7427
50,12.946
51,13.2357
52,12.9147
53,13.0334
54,12.0696
55,11.8259
56,11.973
57,14.0823
58,12.8652
59,13.7031
60,12.7658
61,13.4493
62,12.8542
63,13.205
64,13.2066
65,13.7478
66,12.1303
67,13.6327
68,13.2901
69,12.3321
70,15.3641
71,13.9748
72,15.4662
73,12.8124
74,13.4814
75,13.2946
76,14.1776
77,12.1095
78,14.3543
79,13.2756
80,13.8425
81,13.4697
82,12.6921
83,14.9092
84,13.4165
85,14.2315
86,13.5304
87,12.9519
88,12.9979
89,14.7908
90,13.4038
91,13.6739
92,13.9506
93,13.603
94,13.062
95,13.6788
96,13.8996
97,13.1724
98,14.6743
99,12.5703
100,14.0687
101,13.3055
102,13.4938
103,12.0051
104,14.2876
105,12.9996
106,14.7248
107,12.9966
108,15.5838
109,12.6995
110,15.0776
111,14.4253
112,13.1642
113,15.0879
114,12.884
115,13.1087
116,13.5196
117,12.4825
118,14.0149
119,13.7478
120,14.5524
121,12.2567
122,13.4118
123,12.2276
124,14.8861
125,12.8288
126,14.2789
127,13.9879
128,14.2718
129,12.5802
130,15.2103
131,15.1748
132,14.2827
133,12.6561
134,12.6579
135,12.2593
136,14.838
137,12.4805
138,15.4089
139,12.6813
140,14.9552
141,11.7706
142,15.4597
143,13.1444
144,13.9011
145,12.9586
146,13.1628
147,13.7532
148,13.3139
149,14.8368
150,13.4369
151,11.7441
152,13.502
153,12.1921
154,14.883
155,14.7003
156,14.531
157,14.4253
158,13.1376
159,13.7542
160,14.425
161,13.7465
162,12.3581
163,11.9675
164,13.4385
165,13.3475
166,14.1899
167,13.4973
168,13.6557
169,12.9982
170,13.4333
171,13.3244
172,15.4446
173,12.0101
174,15.0935
175,13.7781
176,13.127
177,12.2678
178,15.1054
179,13.7574
180,13.2924
181,13.3261
182,14.9425
183,13.4562
184,14.0079
185,13.0065
186,13.423
187,14.8503
188,12.2389
189,14.7598
190,12.7929
191,13.5586
192,12.8636
193,13.7892
194,13.608
195,13.2088
196,14.2146
197,12.6942
198,13.0992
199,11.9146
