loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.74985,6.04024e-05,30.5261,100002,-23.3058,4.99747e-05,64.1861,100000
2,0.0839004,2.6434e-05,3.31776,29474,-4.73162,2.48732e-05,12.852,29368
3,-0.311827,1.58603e-05,30.5859,94864,-18.3055,2.47832e-05,67.0551,94864
4,-0.928918,1.93222e-05,20.056,99970,-15.9819,4.45643e-05,61.0157,99970
5,-1.50845,1.3444e-05,20.0511,100000,-27.645,2.33499e-05,104.29,100000
6,-1.76365,1.23713e-05,14.0824,100002,-27.7264,2.04984e-05,103.32,100000
7,-1.51053,1.68943e-05,10.9648,100000,-25.1611,2.17131e-05,91.1032,100000
8,-0.967409,2.19915e-05,8.63508,60464,-20.7515,2.05681e-05,72.8414,60284
9,-0.678101,2.2904e-05,8.63809,91466,-12.3354,2.71217e-05,42.8038,91466
10,-0.447976,2.00159e-05,6.79867,97636,-10.0463,3.35526e-05,38.215,97636
11,-0.67207,1.08389e-05,4.7003,100000,-12.1736,2.97066e-05,48.7969,100000
12,-1.94506,7.71144e-06,8.00594,100000,-14.6221,3.5475e-05,58.3335,100000
13,-0.930152,1.33316e-05,4.27579,59410,-30.1531,1.60452e-05,112.042,59040
14,-0.444996,1.75339e-05,14.8361,87920,-29.6674,1.7475e-05,113.057,87920
15,-0.568391,1.82523e-05,12.2732,99442,-23.1958,2.26149e-05,89.0207,99442
16,-1.17446,1.2034e-05,13.6976,100000,-28.7564,2.03587e-05,112.019,100000
17,-1.97227,9.66549e-06,12.7876,100000,-33.3869,1.68815e-05,126.963,100000
18,-1.48071,1.53913e-05,9.75191,95932,-29.4763,1.77406e-05,107.409,95900
19,-1.49119,2.84186e-05,12.7773,48466,-17.0786,4.02303e-05,60.0641,48334
20,-0.488268,2.69297e-05,8.00096,99978,-10.888,3.34021e-05,36.9581,99978
21,-0.882181,2.49491e-05,25.1682,99998,-18.3535,4.33431e-05,70.0634,99998
22,-1.25621,3.4174e-05,21.9452,96120,-19.1937,4.51046e-05,68.6514,96108
23,-1.83898,3.22014e-05,23.7908,91548,-17.8075,4.38806e-05,60.5382,91548
24,-0.931892,3.00751e-05,9.96727,95150,-11.8429,2.9689e-05,38.3012,95058
25,-1.08178,2.86615e-05,11.0671,94374,-9.20482,6.39544e-05,33.5077,94374
26,-0.955863,2.94845e-05,10.2102,97070,-10.3206,4.32709e-05,35.9063,97028
27,-1.2576,2.17099e-05,8.79572,100000,-11.4738,4.00593e-05,40.556,100000
28,-0.625913,3.01898e-05,8.30059,85418,-16.7707,3.23917e-05,62.6295,85304
29,-1.27882,2.31082e-05,16.4596,92040,-18.0245,3.44428e-05,65.9775,92040
30,-1.5397,3.43718e-05,14.1215,80274,-11.698,4.72473e-05,38.0762,80184
31,-1.2352,2.61255e-05,9.13091,100000,-9.91557,4.21106e-05,33.0283,100000
32,-0.77274,3.58272e-05,9.85396,99870,-15.9922,3.83419e-05,58.416,99868
33,-1.01285,3.34905e-05,15.8657,71582,-18.6733,3.36922e-05,66.2811,71394
34,-1.22257,2.78186e-05,15.4524,93292,-9.69285,4.95209e-05,33.1326,93292
35,-1.46266,2.44403e-05,12.6304,99156,-12.5042,3.89185e-05,42.9607,99134
36,-1.851,1.94971e-05,12.005,93386,-28.3905,1.70029e-05,96.6338,93184
37,-1.50725,2.04515e-05,8.74658,100000,-21.516,2.06795e-05,72.8469,100000
38,-0.172392,2.31897e-05,6.49054,88994,-12.9186,2.19031e-05,47.1389,88922
39,-1.66567,2.48048e-05,18.905,90656,-14.0128,6.02352e-05,52.0816,90656
40,-1.46955,3.89072e-05,13.6791,78258,-10.0058,5.69543e-05,32.184,78096
41,-1.01839,2.43452e-05,8.22416,100000,-7.99745,4.80394e-05,27.2388,100000
42,-0.642564,3.28325e-05,11.2028,100000,-15.881,3.92716e-05,60.0716,100000
43,-0.866517,3.62249e-05,13.9133,81564,-20.6143,3.00212e-05,73.2832,81354
44,-1.7849,3.21848e-05,19.45,92190,-11.8547,5.76304e-05,39.8486,92190
45,-1.68133,4.04416e-05,14.741,79562,-9.25032,6.43809e-05,29.1413,79502
46,-1.32744,3.09514e-05,9.29974,100000,-10.1344,4.14341e-05,31.8401,100000
47,-0.736542,3.84905e-05,9.15238,96402,-16.0661,3.41332e-05,57.0157,96350
48,-0.824754,3.72455e-05,13.5148,98784,-12.7755,4.25001e-05,44.6851,98784
49,-1.17348,3.03258e-05,12.72,98570,-8.4419,6.17134e-05,29.7813,98566
