loop, time[s]
0,17.7403
1,30.1726
2,69.14
3,23.7852
4,26.0027
5,26.9524
6,26.703
7,25.7281
8,38.5195
9,30.0023
10,25.8144
11,27.071
12,26.3253
13,51.2559
14,24.7277
15,23.7096
16,23.147
17,27.5089
18,24.8521
19,50.8736
20,27.1008
21,26.1385
22,25.6964
23,24.2022
24,27.4276
25,24.1023
26,28.1653
27,26.9048
28,30.4589
29,27.033
30,35.851
31,25.6724
32,21.8198
33,30.3138
34,24.9507
35,21.9487
36,28.129
37,22.8955
38,26.9949
39,22.1662
40,37.7761
41,27.7673
42,24.264
43,34.0865
44,27.4164
45,36.9212
46,26.6512
47,26.6619
48,23.8768
49,22.0191
