loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.7119,6.12647e-05,30.1897,100002,-23.1147,5.05038e-05,63.6068,100000
2,0.620917,2.00904e-05,4.33993,24814,-4.21282,2.22637e-05,12.4826,24774
3,-0.517159,1.34181e-05,36.758,92698,-15.8934,2.8908e-05,58.4325,92698
4,-0.935513,1.94291e-05,18.9645,99894,-16.2586,4.12627e-05,61.5757,99890
5,-1.57032,1.36686e-05,20.0675,100000,-27.7285,2.35508e-05,104.468,100000
6,-1.91718,1.17396e-05,15.0211,100000,-30.0049,1.86208e-05,111.192,100000
7,-1.52907,1.62194e-05,10.8966,99998,-25.6553,2.0459e-05,92.6145,99998
8,-1.60284,1.76449e-05,11.9703,58450,-22.2225,2.09458e-05,77.6332,58194
9,-0.971228,2.9078e-05,9.73591,91462,-10.9084,3.47926e-05,35.787,91462
10,-0.413865,2.33789e-05,7.06066,96624,-8.33933,3.64628e-05,30.7425,96624
11,-0.529785,1.68883e-05,5.6823,99998,-11.6011,3.45427e-05,45.8667,99998
12,-1.06669,1.25523e-05,5.46102,100000,-16.8811,2.84738e-05,65.3671,100000
13,0.0793225,1.86844e-05,5.17289,31024,-16.3276,2.19071e-05,63.4917,30966
14,-1.04531,1.38793e-05,41.8173,90830,-23.5524,2.85468e-05,89.6341,90830
15,-0.828702,1.56757e-05,13.9165,99624,-23.8265,2.00405e-05,87.6325,99624
16,-1.32703,1.06071e-05,13.8234,100000,-28.9262,1.87566e-05,112.199,100000
17,-1.63585,1.37769e-05,12.7071,100000,-23.9891,2.66322e-05,91.2463,100000
18,-1.18452,2.07169e-05,10.447,99534,-26.0395,2.079e-05,94.1994,99534
19,-1.34247,3.03948e-05,11.7029,27438,-10.2854,5.52861e-05,35.1112,27074
20,-0.32601,1.72445e-05,19.6348,92752,-18.8718,1.68033e-05,68.445,92752
21,-0.995592,1.03448e-05,7.20395,98778,-12.3857,3.61326e-05,48.8594,98776
22,-1.37231,7.82139e-06,7.18743,100000,-28.938,1.44225e-05,113.042,100000
23,-1.95238,1.02895e-05,10.3032,100000,-20.4242,2.72971e-05,79.0823,100000
24,-0.808872,1.87272e-05,6.31608,90060,-24.8985,1.91359e-05,92.0845,89946
25,-1.79652,2.73184e-05,17.6073,66768,-12.7236,5.5104e-05,44.3773,66678
26,-1.28779,3.93131e-05,11.5639,98344,-8.23387,6.45178e-05,26.5387,98344
27,-0.232099,2.04673e-05,7.6536,100000,-10.8269,2.68005e-05,40.2139,100000
28,-0.866885,2.92357e-05,8.92,91336,-17.2407,4.03154e-05,65.1084,91180
29,-0.909265,2.51325e-05,12.8884,94336,-12.4401,3.95699e-05,44.5701,94336
30,-1.16685,2.52952e-05,11.5981,84914,-11.2027,4.20328e-05,39.4173,84776
31,-1.4829,2.25183e-05,10.3318,100000,-11.2836,4.52888e-05,39.4047,100000
32,-0.77307,3.68635e-05,12.7033,73622,-16.2602,3.61665e-05,58.7221,73244
33,-1.70373,3.24173e-05,20.579,90832,-10.5592,6.43288e-05,35.7228,90832
34,-1.6235,4.19167e-05,15.4317,83852,-8.59338,7.22395e-05,27.3997,83772
35,-1.36042,2.73721e-05,9.6972,100000,-8.77671,4.77913e-05,28.2445,100000
36,-0.520002,3.07509e-05,8.98871,100000,-14.3177,3.1139e-05,52.7475,100000
37,-0.563041,2.89024e-05,10.4056,81426,-14.6133,3.47227e-05,54.7939,81224
38,-1.69511,2.51519e-05,19.6723,90300,-14.4104,5.19951e-05,51.6558,90300
39,-1.69873,3.93711e-05,16.5638,94462,-11.1132,5.75069e-05,35.6231,94412
40,-1.70329,3.0134e-05,12.3878,100000,-10.6442,4.59879e-05,33.6369,100000
41,-0.825471,2.36724e-05,5.83593,85344,-12.1898,3.19306e-05,42.4088,85206
42,-0.460772,2.64056e-05,8.76113,94452,-11.9955,4.44908e-05,44.8897,94452
43,-1.32519,1.84067e-05,31.5032,99306,-19.102,4.51351e-05,73.0928,99282
44,-1.33109,2.44967e-05,20.3499,98516,-24.0871,2.95396e-05,86.6837,98448
45,-3.02474,1.83637e-05,32.8967,79102,-22.671,3.64454e-05,79.1176,79028
46,-1.35222,3.82362e-05,15.4572,94012,-13.1983,4.09262e-05,42.0945,94012
47,-0.892489,2.74566e-05,7.35884,60750,-9.88581,3.24391e-05,31.4158,60428
48,0.118683,1.61095e-05,16.1659,99944,-15.4186,2.10817e-05,63.1076,99944
49,-0.920473,1.25807e-05,10.2345,100000,-17.8252,4.08893e-05,73.9494,100000
