loop, time[s]
0,16.8486
1,29.9507
2,82.6919
3,26.3116
4,25.7541
5,24.9351
6,22.2984
7,23.1376
8,38.6825
9,25.7636
10,24.2738
11,23.8324
12,22.2657
13,63.8912
14,28.0532
15,24.4891
16,23.0961
17,22.0241
18,21.2338
19,49.7717
20,24.5088
21,22.6915
22,21.6059
23,22.6005
24,28.2152
25,37.9855
26,25.7098
27,21.933
28,28.6987
29,22.255
30,30.5926
31,22.6493
32,34.2008
33,23.9244
34,30.8878
35,25.7918
36,23.1069
37,33.6668
38,25.4186
39,25.4848
40,23.8263
41,33.5306
42,24.8668
43,24.6421
44,22.6861
45,22.0845
46,23.9012
47,31.1118
48,23.4999
49,22.512
