loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-7.63883,1.09304e-05,47.4698,100000,-29.1395,9.35631e-06,77.5123,100000
2,-1.58921,1.01912e-05,6.26328,100000,-7.47592,9.50724e-06,21.7754,100000
3,-2.03892,8.70253e-06,9.32624,100002,-10.2954,2.18366e-05,40.1631,100000
4,-3.35551,8.44208e-06,19.0726,100000,-17.44,1.92886e-05,65.4381,100000
5,-3.73623,8.5962e-06,22.3861,100000,-28.6275,1.13822e-05,102.622,100000
6,-3.88888,8.57043e-06,23.4756,100000,-32.2942,9.68389e-06,113.644,100000
7,-3.93919,8.52091e-06,23.7028,100000,-32.5297,9.39647e-06,113.869,100000
8,-3.94795,8.4908e-06,23.6637,100000,-32.1424,9.42015e-06,112.462,100000
9,-3.94441,8.47768e-06,23.5846,100000,-31.7973,9.4937e-06,111.328,100000
10,-3.93966,8.47355e-06,23.5281,100000,-31.6057,9.54609e-06,110.725,100000
11,-3.93654,8.47294e-06,23.4986,100000,-31.5245,9.57233e-06,110.479,100000
12,-3.93501,8.47325e-06,23.4863,100000,-31.4973,9.58285e-06,110.401,100000
13,-3.9344,8.47361e-06,23.4823,100000,-31.4932,9.5856e-06,110.393,100000
14,-3.93425,8.47381e-06,23.4818,100000,-31.4932,9.58636e-06,110.394,100000
15,-3.93421,8.47395e-06,23.4818,100000,-31.4958,9.58583e-06,110.403,100000
16,-3.93429,8.4739e-06,23.4825,100000,-31.4972,9.58552e-06,110.408,100000
17,-3.9342,8.47403e-06,23.482,100000,-31.4974,9.58536e-06,110.408,100000
18,-3.93425,8.47399e-06,23.4823,100000,-31.4984,9.58512e-06,110.412,100000
19,-3.93421,8.47401e-06,23.4821,100000,-31.4986,9.58502e-06,110.412,100000
20,-3.93429,8.47393e-06,23.4826,100000,-31.4983,9.58515e-06,110.412,100000
21,-3.93424,8.47399e-06,23.4822,100000,-31.4984,9.58507e-06,110.412,100000
22,-3.93428,8.47399e-06,23.4826,100000,-31.4981,9.58524e-06,110.411,100000
23,-3.93427,8.47397e-06,23.4825,100000,-31.498,9.58523e-06,110.41,100000
24,-3.93425,8.474e-06,23.4824,100000,-31.4979,9.58525e-06,110.41,100000
25,-3.93429,8.47392e-06,23.4826,100000,-31.4981,9.58508e-06,110.411,100002
26,-3.93426,8.47396e-06,23.4824,100000,-31.4982,9.58515e-06,110.411,100000
27,-3.93424,8.474e-06,23.4823,100000,-31.4984,9.5851e-06,110.412,100000
28,-3.9342,8.47404e-06,23.482,100000,-31.4986,9.58499e-06,110.413,100000
29,-3.93423,8.47404e-06,23.4823,100000,-31.4984,9.58512e-06,110.412,100000
30,-3.93426,8.47396e-06,23.4824,100000,-31.4988,9.58497e-06,110.413,100000
31,-3.93421,8.47403e-06,23.4821,100000,-31.4985,9.58503e-06,110.412,100000
32,-3.93422,8.47403e-06,23.4822,100000,-31.4981,9.58519e-06,110.411,100000
33,-3.93419,8.47408e-06,23.482,100000,-31.4986,9.58504e-06,110.412,100000
34,-3.93425,8.47401e-06,23.4824,100000,-31.4983,9.58514e-06,110.411,100000
35,-3.93422,8.47402e-06,23.4821,100000,-31.4982,9.58513e-06,110.411,100000
36,-3.93422,8.47403e-06,23.4822,100000,-31.4979,9.58526e-06,110.41,100000
37,-3.93428,8.47397e-06,23.4825,100000,-31.4983,9.58516e-06,110.411,100000
38,-3.93421,8.47403e-06,23.4821,100000,-31.498,9.58517e-06,110.41,100000
39,-3.93427,8.47396e-06,23.4825,100000,-31.4981,9.58519e-06,110.411,100000
40,-3.93424,8.4739e-06,23.4823,100002,-31.4985,9.58504e-06,110.412,100000
41,-3.93422,8.47401e-06,23.4822,100000,-31.4985,9.58504e-06,110.412,100000
42,-3.93423,8.474e-06,23.4822,100000,-31.4981,9.58517e-06,110.411,100000
43,-3.93422,8.47404e-06,23.4822,100000,-31.4981,9.5852e-06,110.411,100000
44,-3.93424,8.474e-06,23.4823,100000,-31.4983,9.58515e-06,110.411,100000
45,-3.93421,8.47407e-06,23.4821,100000,-31.4978,9.58527e-06,110.41,100000
46,-3.93423,8.47401e-06,23.4822,100000,-31.498,9.58521e-06,110.41,100000
47,-3.93423,8.47404e-06,23.4823,100000,-31.4987,9.58503e-06,110.413,100000
48,-3.93422,8.47401e-06,23.4822,100000,-31.4983,9.58513e-06,110.411,100000
49,-3.93421,8.47404e-06,23.4821,100000,-31.4986,9.58502e-06,110.412,100000
