loop, time[s]
0,16.8393
1,25.5477
2,19.2984
3,18.2309
4,19.4528
5,18.8323
6,18.5922
7,19.2562
8,18.5758
9,18.4469
10,18.3925
11,18.754
12,19.1661
13,19.6713
14,20.0367
15,18.4459
16,18.8341
17,18.5345
18,18.4464
19,18.429
20,18.4657
21,18.303
22,18.4848
23,18.688
24,18.7751
25,18.2693
26,18.4874
27,18.727
28,18.5314
29,19.116
30,19.1434
31,18.1768
32,18.7246
33,18.4296
34,18.3198
35,18.3267
36,18.2902
37,18.7156
38,18.7252
39,19.6215
40,18.5041
41,18.5241
42,18.73
43,18.6156
44,18.8574
45,18.3686
46,18.8705
47,18.5045
48,18.1686
49,18.3335
