loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-7.7242,1.10188e-05,48.2369,100000,-29.2334,9.50715e-06,77.7326,100000
2,-1.49783,1.02697e-05,5.89655,100000,-7.00093,9.71005e-06,20.4032,100000
3,-2.0552,8.67074e-06,9.43177,100000,-10.0699,2.27575e-05,39.406,100000
4,-3.36522,8.45268e-06,19.1832,100000,-17.5716,1.92108e-05,65.8829,100000
5,-3.74125,8.60372e-06,22.4426,100000,-28.8188,1.13097e-05,103.238,100000
6,-3.89146,8.57184e-06,23.4978,100000,-32.3635,9.6578e-06,113.845,100000
7,-3.94016,8.5205e-06,23.7084,100000,-32.5449,9.38794e-06,113.907,100000
8,-3.94822,8.49033e-06,23.6641,100000,-32.1395,9.4191e-06,112.448,100000
9,-3.94445,8.47741e-06,23.5839,100000,-31.7921,9.49461e-06,111.31,100000
10,-3.93965,8.47342e-06,23.5276,100000,-31.6022,9.54705e-06,110.713,100000
11,-3.9366,8.47281e-06,23.4988,100000,-31.5222,9.57311e-06,110.471,100000
12,-3.93506,8.47322e-06,23.4866,100000,-31.4964,9.58325e-06,110.398,100000
13,-3.93448,8.47358e-06,23.4829,100000,-31.4928,9.58583e-06,110.391,100000
14,-3.9343,8.47383e-06,23.4822,100000,-31.4936,9.58629e-06,110.395,100000
15,-3.93428,8.47396e-06,23.4824,100000,-31.4955,9.58597e-06,110.402,100000
16,-3.93434,8.47393e-06,23.4829,100000,-31.4964,9.58579e-06,110.405,100000
17,-3.93431,8.47398e-06,23.4828,100000,-31.498,9.58529e-06,110.41,100000
18,-3.93432,8.47406e-06,23.483,100000,-31.4972,9.58558e-06,110.407,100000
19,-3.93423,8.47407e-06,23.4824,100002,-31.498,9.58529e-06,110.41,100000
20,-3.93434,8.47393e-06,23.483,100000,-31.4985,9.58509e-06,110.412,100000
21,-3.93434,8.47397e-06,23.483,100000,-31.4974,9.58546e-06,110.408,100000
22,-3.93434,8.47399e-06,23.483,100000,-31.4974,9.58549e-06,110.408,100000
23,-3.93433,8.474e-06,23.483,100000,-31.4971,9.58556e-06,110.407,100000
24,-3.93436,8.47395e-06,23.4832,100000,-31.4971,9.58558e-06,110.407,100000
25,-3.9343,8.47402e-06,23.4828,100000,-31.4974,9.58543e-06,110.408,100000
26,-3.93437,8.47393e-06,23.4832,100000,-31.4974,9.58548e-06,110.408,100000
27,-3.93433,8.47403e-06,23.483,100000,-31.4973,9.58552e-06,110.407,100000
28,-3.9344,8.47386e-06,23.4834,100002,-31.4973,9.58547e-06,110.408,100000
29,-3.93434,8.47397e-06,23.483,100000,-31.4975,9.58543e-06,110.408,100000
30,-3.93437,8.47392e-06,23.4832,100000,-31.4978,9.58537e-06,110.409,100000
31,-3.93433,8.47397e-06,23.4829,100000,-31.4978,9.5853e-06,110.409,100000
32,-3.93435,8.47395e-06,23.4831,100000,-31.4977,9.5854e-06,110.409,100000
33,-3.93436,8.47394e-06,23.4831,100000,-31.4976,9.5854e-06,110.409,100000
34,-3.93436,8.47396e-06,23.4832,100000,-31.4974,9.58547e-06,110.408,100000
35,-3.93434,8.47395e-06,23.483,100000,-31.4977,9.58536e-06,110.409,100000
36,-3.93434,8.47389e-06,23.483,100002,-31.4978,9.58535e-06,110.409,100000
37,-3.93435,8.47396e-06,23.4831,100000,-31.498,9.58528e-06,110.41,100000
38,-3.93436,8.47396e-06,23.4832,100000,-31.4979,9.58533e-06,110.41,100000
39,-3.93432,8.474e-06,23.4829,100000,-31.4981,9.58521e-06,110.41,100000
40,-3.93435,8.47396e-06,23.4831,100000,-31.4979,9.58532e-06,110.41,100000
41,-3.93431,8.474e-06,23.4829,100000,-31.4977,9.58536e-06,110.409,100000
42,-3.93436,8.47396e-06,23.4832,100000,-31.4977,9.58539e-06,110.409,100000
43,-3.93435,8.47395e-06,23.4831,100000,-31.4975,9.58542e-06,110.408,100000
44,-3.93436,8.47397e-06,23.4832,100000,-31.4975,9.58545e-06,110.408,100000
45,-3.93436,8.47395e-06,23.4832,100000,-31.4978,9.58535e-06,110.409,100000
46,-3.93433,8.47397e-06,23.483,100002,-31.4975,9.58541e-06,110.408,100000
47,-3.93432,8.47402e-06,23.4829,100000,-31.4978,9.58545e-06,110.409,100002
48,-3.93434,8.47397e-06,23.483,100000,-31.4977,9.58537e-06,110.409,100000
49,-3.93437,8.4739e-06,23.4832,100000,-31.4978,9.58535e-06,110.409,100000
