loop, time[s]
0,16.8116
1,27.7211
2,23.7707
3,20.4282
4,19.7364
5,20.2896
6,18.9176
7,19.3853
8,18.9829
9,19.0865
10,19.3301
11,18.7692
12,19.0457
13,19.3523
14,18.9841
15,18.551
16,20.7855
17,19.1789
18,18.5217
19,18.5491
20,18.6217
21,18.5755
22,18.2491
23,18.9525
24,19.3765
25,21.7124
26,20.9458
27,19.1596
28,19.5244
29,18.4001
30,20.2356
31,19.2007
32,18.862
33,20.2808
34,19.6064
35,20.0643
36,19.4206
37,19.9683
38,18.4919
39,18.255
40,18.2773
41,18.9375
42,18.9546
43,18.5563
44,18.4185
45,19.5539
46,18.8464
47,18.7737
48,19.2322
49,18.5177
