loop, time[s]
0,18.4531
1,26.3514
2,19.1602
3,19.4334
4,19.4211
5,19.5021
6,19.3904
7,19.7104
8,19.7581
9,19.4275
10,19.4214
11,20.0646
12,19.1389
13,19.868
14,20.7818
15,20.2045
16,19.361
17,19.7168
18,18.7109
19,19.2244
20,20.0915
21,19.2064
22,19.6193
23,19.7387
24,19.0996
25,18.9575
26,19.7974
27,20.5513
28,19.7514
29,19.4286
30,19.6427
31,19.0995
32,19.8857
33,20.1533
34,19.6899
35,20.0509
36,20.4626
37,18.9197
38,18.9216
39,19.5931
40,20.7158
41,19.9331
42,19.2207
43,19.3184
44,18.546
45,19.0129
46,18.6551
47,18.6872
48,18.6948
49,18.9552
