loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-14.4555,1.11927e-05,101.178,100000,-26.7997,1.55666e-05,64.7953,100000
2,-14.0745,9.83637e-06,95.4906,100000,-25.7159,1.37536e-05,62.298,100000
3,-13.8749,9.63737e-06,93.6546,100000,-25.4474,1.35932e-05,62.0755,100000
4,-13.816,9.62364e-06,93.261,100000,-25.4071,1.36356e-05,62.1878,100000
5,-13.8015,9.63038e-06,93.2033,100000,-25.4195,1.36616e-05,62.2928,100000
6,-13.7994,9.63433e-06,93.21,100000,-25.4347,1.36687e-05,62.3524,100000
7,-13.7989,9.63621e-06,93.2154,100000,-25.443,1.36698e-05,62.3786,100000
8,-13.799,9.63694e-06,93.2185,100000,-25.4468,1.36696e-05,62.3894,100000
9,-13.7993,9.63693e-06,93.2217,100000,-25.4481,1.36694e-05,62.3927,100000
10,-13.7993,9.63706e-06,93.2218,100000,-25.4488,1.36692e-05,62.3944,100000
11,-13.7994,9.63695e-06,93.2227,100000,-25.4489,1.36691e-05,62.3948,100000
12,-13.7995,9.63696e-06,93.2232,100000,-25.4492,1.3669e-05,62.3955,100000
13,-13.7993,9.63709e-06,93.2225,100000,-25.4494,1.3669e-05,62.396,100000
14,-13.7994,9.637e-06,93.223,100000,-25.4495,1.36689e-05,62.3961,100000
15,-13.7993,9.63709e-06,93.2219,100000,-25.4491,1.36691e-05,62.3953,100000
16,-13.7993,9.6371e-06,93.222,100000,-25.4492,1.3669e-05,62.3955,100000
17,-13.7995,9.63698e-06,93.2233,100000,-25.4496,1.36689e-05,62.3964,100000
18,-13.7993,9.63707e-06,93.2222,100000,-25.449,1.36691e-05,62.395,100000
19,-13.7995,9.63698e-06,93.2233,100000,-25.4495,1.36689e-05,62.3963,100000
20,-13.7995,9.63696e-06,93.2236,100000,-25.4495,1.36689e-05,62.3961,100000
21,-13.7994,9.63702e-06,93.223,100000,-25.4491,1.36691e-05,62.3954,100002
22,-13.7994,9.63699e-06,93.2232,100000,-25.4489,1.36692e-05,62.3948,100000
23,-13.7994,9.63701e-06,93.2229,100000,-25.4491,1.36691e-05,62.3952,100000
24,-13.7995,9.63696e-06,93.2235,100000,-25.4493,1.3669e-05,62.3958,100000
25,-13.7994,9.637e-06,93.223,100000,-25.4492,1.36691e-05,62.3955,100000
26,-13.7994,9.63701e-06,93.223,100000,-25.4492,1.3669e-05,62.3956,100000
27,-13.7994,9.63701e-06,93.223,100000,-25.4474,1.36704e-05,62.3907,100002
28,-13.7994,9.637e-06,93.2232,100000,-25.4494,1.3669e-05,62.3959,100000
29,-13.7994,9.637e-06,93.223,100000,-25.4493,1.3669e-05,62.3958,100000
30,-13.7994,9.63701e-06,93.223,100000,-25.4494,1.3669e-05,62.396,100000
31,-13.7995,9.63697e-06,93.2234,100000,-25.4494,1.3669e-05,62.396,100000
32,-13.7995,9.63698e-06,93.2233,100000,-25.4495,1.36689e-05,62.3962,100000
33,-13.7994,9.63703e-06,93.2227,100000,-25.4491,1.36691e-05,62.3952,100000
34,-13.7994,9.63702e-06,93.2228,100000,-25.4493,1.3669e-05,62.3956,100000
35,-13.7994,9.63701e-06,93.223,100000,-25.4494,1.36689e-05,62.396,100000
36,-13.7994,9.63701e-06,93.223,100000,-25.4494,1.3669e-05,62.3958,100000
37,-13.7994,9.63702e-06,93.2229,100000,-25.4494,1.3669e-05,62.3959,100000
38,-13.7995,9.63698e-06,93.2233,100000,-25.4492,1.36691e-05,62.3955,100000
39,-13.7994,9.63701e-06,93.223,100000,-25.4494,1.36689e-05,62.396,100000
40,-13.7994,9.63701e-06,93.223,100000,-25.4492,1.36691e-05,62.3953,100000
41,-13.7994,9.63699e-06,93.2231,100000,-25.4492,1.36691e-05,62.3953,100000
42,-13.7994,9.63702e-06,93.2228,100000,-25.4492,1.36691e-05,62.3955,100000
43,-13.7994,9.63701e-06,93.223,100000,-25.4493,1.3669e-05,62.3958,100000
44,-13.7994,9.637e-06,93.223,100000,-25.4495,1.36689e-05,62.3961,100000
45,-13.7995,9.63698e-06,93.2233,100000,-25.4493,1.3669e-05,62.3957,100000
46,-13.7994,9.63699e-06,93.2232,100000,-25.4495,1.36689e-05,62.3962,100000
47,-13.7993,9.63699e-06,93.2224,100002,-25.4493,1.3669e-05,62.3958,100000
48,-13.7995,9.63697e-06,93.2234,100000,-25.4493,1.3669e-05,62.3957,100000
49,-13.7995,9.63696e-06,93.2236,100000,-25.4492,1.3669e-05,62.3956,100000
