loop, time[s]
0,17.9726
1,27.9875
2,20.7766
3,20.7957
4,20.1154
5,21.09
6,20.5576
7,21.1639
8,20.0743
9,19.9445
10,19.9433
11,20.8087
12,23.2344
13,21.4015
14,21.6136
15,21.6391
16,21.2389
17,22.0786
18,22.3277
19,22.079
20,22.1044
21,21.9349
22,21.3777
23,22.8992
24,21.4017
25,21.4369
26,22.3488
27,21.812
28,21.0817
29,21.4364
30,21.7633
31,20.5545
32,20.3941
33,22.1469
34,21.0742
35,20.4424
36,20.3473
37,22.4713
38,21.0328
39,20.2861
40,20.3207
41,20.5347
42,21.5225
43,20.6604
44,20.5791
45,20.3787
46,20.1865
47,20.5592
48,20.8401
49,20.5159
