loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-2.40882,4.22019e-05,18.5785,100000,-13.2748,3.94183e-05,38.6489,100000
2,0.651172,1.65599e-05,24.494,23376,-18.6164,1.79809e-05,73.1668,23232
3,-3.31926,2.51332e-05,65.1412,92118,-20.0194,4.80713e-05,68.375,92118
4,-3.24918,1.96883e-05,43.6326,99826,-25.6038,2.78798e-05,88.0092,99826
5,-4.11156,1.19565e-05,40.3137,100000,-22.9747,2.63065e-05,82.0301,100000
6,-2.62107,1.12374e-05,18.4328,100000,-30.4564,1.31052e-05,111.041,100000
7,-0.909933,1.56558e-05,7.53105,100000,-17.1222,1.61374e-05,64.9258,100000
8,-0.0980074,1.36251e-05,5.18271,9794,-11.1518,3.57802e-05,49.5722,9718
9,-2.97978,2.08851e-05,50.9394,89166,-14.9764,4.75677e-05,51.4559,89166
10,-1.75648,2.19519e-05,25.3999,94822,-17.249,2.85245e-05,60.0834,94822
11,-2.45292,1.3615e-05,23.5578,99980,-14.5969,3.805e-05,54.9581,99980
12,-2.50138,9.31631e-06,16.914,100000,-23.1605,1.94427e-05,89.2481,100000
13,-1.152,9.4297e-06,6.4519,100000,-18.3045,1.65848e-05,72.1828,100002
14,0.301747,1.17488e-05,5.05673,20722,-16.7158,1.75619e-05,73.9599,20654
15,-2.65479,2.86254e-05,44.8892,87730,-15.5216,5.97161e-05,54.2287,87730
16,-1.7197,2.51406e-05,25.1536,94112,-17.2678,2.98333e-05,59.2795,94110
17,-2.40219,1.51733e-05,23.4244,99982,-16.9495,3.18376e-05,62.385,99982
18,-2.42378,9.69523e-06,16.2588,100000,-23.3397,1.80649e-05,89.1254,100000
19,-1.04984,8.97341e-06,5.65925,100000,-18.0595,1.54214e-05,71.877,100000
20,0.296491,1.14634e-05,4.83096,20188,-15.9911,2.04961e-05,72.0845,20130
21,-2.65743,2.9108e-05,44.9317,87618,-15.5716,5.96431e-05,54.2564,87618
22,-1.75914,2.53254e-05,25.7195,94122,-17.3655,3.03212e-05,59.5817,94122
23,-2.46579,1.52171e-05,24.1438,99982,-17.3049,3.14769e-05,63.4662,99982
24,-2.49288,9.71852e-06,16.8352,100000,-23.9373,1.76704e-05,91.0326,100000
25,-1.0469,9.11472e-06,5.6884,100000,-18.7316,1.45263e-05,74.1563,100000
26,0.280387,1.15241e-05,4.78341,19972,-15.6032,2.13298e-05,70.4628,19912
27,-2.66011,2.88991e-05,45.0496,87622,-15.5528,5.93652e-05,54.1863,87622
28,-1.76383,2.52543e-05,25.8102,94138,-17.402,3.02976e-05,59.7283,94138
29,-2.47687,1.51875e-05,24.2811,99982,-17.254,3.16752e-05,63.2949,99982
30,-2.50341,9.72945e-06,16.9511,100000,-23.9483,1.77211e-05,91.0432,100000
31,-1.0568,9.12781e-06,5.73736,100000,-18.7367,1.45605e-05,74.1204,100000
32,0.276367,1.15847e-05,4.78479,20002,-15.5984,2.12326e-05,70.3605,19944
33,-2.6595,2.88279e-05,45.0693,87622,-15.545,5.93487e-05,54.1748,87622
34,-1.76426,2.52108e-05,25.8248,94148,-17.4138,3.0268e-05,59.78,94148
35,-2.47945,1.5163e-05,24.3075,99982,-17.2309,3.17419e-05,63.2266,99982
36,-2.50444,9.73092e-06,16.9682,100000,-23.944,1.77421e-05,91.03,100000
37,-1.05799,9.13538e-06,5.74809,100000,-18.6894,1.46155e-05,73.9291,100000
38,0.272517,1.1579e-05,4.7637,20026,-15.6167,2.12176e-05,70.4163,19980
39,-2.65446,2.88855e-05,44.97,87622,-15.5585,5.92803e-05,54.2206,87622
40,-1.76139,2.5244e-05,25.7871,94138,-17.4063,3.02638e-05,59.7498,94138
41,-2.47431,1.51832e-05,24.2591,99982,-17.2281,3.17244e-05,63.2151,99982
42,-2.50219,9.72514e-06,16.9423,100000,-23.9261,1.77459e-05,90.9765,100000
43,-1.0577,9.12289e-06,5.74094,100000,-18.7169,1.45931e-05,74.051,100000
44,0.281778,1.15453e-05,4.79685,19990,-15.6242,2.11556e-05,70.4896,19924
45,-2.66045,2.88692e-05,45.0416,87616,-15.5362,5.93935e-05,54.134,87616
46,-1.76089,2.52619e-05,25.7792,94126,-17.3978,3.02704e-05,59.714,94126
47,-2.47193,1.51947e-05,24.2348,99982,-17.2254,3.17146e-05,63.2028,99982
48,-2.50059,9.72717e-06,16.9286,100000,-23.9107,1.7753e-05,90.923,100000
49,-1.05796,9.11832e-06,5.73943,100000,-18.7062,1.46047e-05,74.0166,100000
