loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-2.7669,0.370021,3.56942e-05,23.3925,92604,-6.92846,2.45799,6.12237e-05,19.9365,92582
2,-3.44707,0.539713,2.25716e-05,23.8687,97908,-9.80663,3.58275,2.82247e-05,27.1216,97898
3,-4.10256,0.539176,2.22806e-05,33.0708,87600,-11.3314,3.91059,3.43578e-05,33.0895,87448
4,-5.0386,0.682752,2.70103e-05,38.6487,95548,-12.225,4.58823,3.74676e-05,32.7906,95542
5,-4.23996,0.635166,2.82187e-05,29.8776,97360,-9.71238,3.81781,3.70628e-05,24.9699,97312
6,-5.62912,0.709985,2.58719e-05,46.0389,89808,-12.2736,4.51658,4.22053e-05,33.5741,89796
7,-7.11777,1.01137,1.96692e-05,51.0822,97602,-11.7948,4.61002,3.5711e-05,30.394,97562
8,-3.26958,0.463247,3.54662e-05,25.2352,98062,-7.75109,2.9286,5.07806e-05,20.8562,98062
9,-3.73272,0.519834,3.3807e-05,28.7269,95652,-9.95788,3.76692,4.26846e-05,26.5892,95638
10,-4.23541,0.681299,2.40321e-05,27.798,98150,-12.0202,4.81313,2.40934e-05,30.2267,97998
11,-4.28742,0.630892,2.58993e-05,30.7216,97776,-10.1005,3.79578,3.67067e-05,27.1405,97764
12,-3.16333,0.479592,3.20252e-05,22.9501,96376,-8.78955,3.32372,3.81871e-05,23.5447,96152
13,-3.98342,0.554454,3.20304e-05,30.422,96120,-9.64087,3.61249,4.5405e-05,26.006,96116
14,-4.23582,0.66765,2.23727e-05,28.3714,96704,-11.362,4.37582,2.56403e-05,29.7306,96528
15,-3.10311,0.398132,4.00068e-05,26.6979,88634,-8.8731,3.21864,5.41015e-05,24.7719,88590
16,-3.52822,0.473256,3.13326e-05,28.4165,90868,-10.015,3.69279,4.0091e-05,27.4321,90840
17,-3.93391,0.543524,3.26023e-05,30.3126,92070,-8.96031,3.44223,4.61066e-05,23.6147,91974
18,-3.37553,0.49837,3.21589e-05,24.8695,96622,-7.81589,2.95759,4.63859e-05,20.9928,96576
19,-4.04979,0.573121,3.5778e-05,30.3614,94156,-10.2349,3.98844,4.46852e-05,26.5148,94144
20,-4.72727,0.731339,2.38484e-05,31.9238,96876,-9.26181,3.67741,3.54496e-05,23.5984,96794
21,-3.76003,0.548949,3.18661e-05,27.5761,97222,-9.13682,3.51087,4.19677e-05,24.0628,97168
22,-4.91643,0.69441,2.68027e-05,36.2484,96140,-10.2048,3.90255,4.13736e-05,26.9408,96132
23,-4.31394,0.590003,2.44518e-05,33.2373,94770,-10.4105,3.76983,3.72094e-05,29.0142,94656
24,-5.65445,0.792629,2.43179e-05,41.5993,98046,-14.3159,5.46321,3.06476e-05,37.6967,98046
25,-3.26236,0.530158,2.40374e-05,21.9613,98676,-8.44759,3.20598,2.98884e-05,22.5708,98658
26,-5.99938,0.836115,2.15098e-05,44.2433,95154,-9.56329,3.58526,4.53291e-05,25.7879,95154
27,-4.20735,0.58189,2.88125e-05,32.1397,94832,-10.7749,4.03643,3.80016e-05,29.0104,94830
28,-3.93812,0.633314,2.36725e-05,26.0673,98924,-12.8311,4.98801,2.19243e-05,33.207,98818
29,-5.05953,0.684202,2.61141e-05,38.8757,91682,-12.7473,4.74795,3.55009e-05,34.4345,91682
30,-5.66069,0.859229,1.64971e-05,38.4571,95390,-13.8272,5.23597,2.13973e-05,36.7059,95344
31,-3.34308,0.471196,3.78796e-05,25.841,99246,-8.5383,3.21826,5.05552e-05,22.9635,99246
32,-3.99751,0.556637,3.10726e-05,30.5049,94282,-11.3588,4.28404,3.6535e-05,30.3505,94268
33,-3.94471,0.630524,2.39744e-05,26.265,99882,-10.7961,4.20904,2.64076e-05,27.9291,99880
34,-3.68688,0.543317,2.459e-05,26.8593,92860,-8.75576,3.21481,3.69127e-05,24.158,92850
35,-4.47156,0.720123,1.52757e-05,29.1545,97230,-13.6196,4.87418,1.83484e-05,38.2617,97228
36,-4.13564,0.577448,2.39985e-05,31.3509,92630,-9.52715,3.44858,3.87229e-05,26.6099,92544
37,-5.26165,0.774707,2.37988e-05,37.0269,95786,-8.36916,3.23101,4.72354e-05,21.9878,95610
38,-7.06633,0.918062,1.7684e-05,55.4788,92120,-17.9826,6.53873,2.49141e-05,49.608,92086
39,-4.26638,0.635807,3.00572e-05,30.201,99968,-14.0595,5.58438,2.6632e-05,35.5761,99968
40,-3.19381,0.448035,3.14142e-05,24.999,89452,-8.77011,3.24984,4.12195e-05,23.975,89428
41,-4.43444,0.672607,2.51764e-05,30.7226,99690,-11.7182,4.56443,2.88267e-05,30.3029,99682
42,-4.49154,0.673233,2.70375e-05,31.4511,97418,-9.68299,3.78823,3.8459e-05,25.0144,97320
43,-3.64249,0.55637,3.0434e-05,25.6443,99498,-7.32,2.83585,4.81565e-05,19.2473,99498
44,-3.56001,0.491159,2.97042e-05,27.8396,93746,-11.6546,4.24991,3.2786e-05,32.1957,93714
45,-4.56601,0.714166,2.22165e-05,30.593,99674,-15.1434,5.87193,2.03517e-05,39.2243,99648
46,-2.06753,0.324845,2.81777e-05,16.2375,91272,-6.71779,2.36006,3.88037e-05,19.5456,91214
47,-4.12994,0.620425,2.28369e-05,29.1033,93100,-8.84314,3.30013,3.62834e-05,23.9994,93088
48,-5.17863,0.723403,2.32682e-05,38.4546,94238,-9.74726,3.61493,4.26638e-05,26.5591,94128
49,-3.95046,0.533841,3.33443e-05,31.107,95332,-8.42493,3.16887,5.37957e-05,22.7145,95324
50,-3.30747,0.459802,3.52992e-05,25.9663,91904,-8.99163,3.37354,4.53672e-05,24.2622,91790
51,-6.19288,0.968764,1.46746e-05,40.6205,98752,-18.7139,7.10285,1.52149e-05,49.4464,98710
52,-5.10422,0.759134,2.33624e-05,35.6367,99468,-11.2649,4.32505,3.32646e-05,29.5714,99456
53,-3.57569,0.485781,3.49347e-05,28.3782,90226,-8.68012,3.24518,5.0408e-05,23.5255,90220
54,-6.08853,0.92735,1.76243e-05,41.0527,93404,-15.761,6.06681,2.06947e-05,41.1105,93096
55,-4.28205,0.587596,2.91811e-05,32.9068,94238,-9.41071,3.54372,4.4736e-05,25.2733,94238
56,-3.31275,0.539558,2.2274e-05,22.1928,99294,-12.6922,4.67824,1.99017e-05,34.648,99286
57,-5.31727,0.796854,1.67094e-05,36.7362,98006,-13.6021,4.89005,2.38847e-05,38.0398,97978
58,-4.4193,0.591762,3.09917e-05,34.6933,93350,-10.2973,3.84019,4.60376e-05,27.8721,93270
59,-4.65768,0.683995,2.58915e-05,33.1785,97126,-11.3069,4.36568,3.31948e-05,29.5133,96978
60,-5.65402,0.790206,2.00926e-05,41.7207,90974,-9.47793,3.54776,4.05581e-05,25.6024,90968
