loop, time[s]
0,20.8883
1,29.1101
2,29.7323
3,31.6321
4,28.098
5,27.8645
6,24.5715
7,30.3705
8,25.2203
9,29.4742
10,30.1553
11,29.3898
12,32.2486
13,28.2966
14,32.7858
15,31.8868
16,31.269
17,31.7462
18,32.7395
19,34.8147
20,34.9083
21,32.7668
22,27.1801
23,30.3594
24,27.3216
25,30.8977
26,26.1033
27,28.3078
28,31.3169
29,26.9789
30,30.1928
31,25.8033
32,30.9801
33,28.0379
34,27.8408
35,24.7659
36,29.7217
37,30.3113
38,31.2995
39,24.9928
40,28.9689
41,27.8743
42,30.9275
43,26.0175
44,27.8961
45,26.3705
46,30.5101
47,25.1488
48,32.5287
49,27.4374
50,29.6173
51,26.4749
52,29.9486
53,25.5629
54,36.5295
55,25.3733
56,28.4423
57,26.803
58,30.1074
59,33.6124
60,26.0977
61,34.1235
62,28.2266
63,32.8793
64,24.6115
65,26.9672
66,23.368
67,29.1028
68,24.1737
69,29.2926
70,25.9734
71,27.7261
72,25.6081
73,26.6568
74,22.7361
75,29.562
76,30.0922
77,27.4983
78,25.6125
79,27.9989
80,25.358
81,30.4758
82,26.952
83,25.7457
84,31.1978
85,28.0396
86,27.9931
87,27.7666
88,30.4961
89,23.5851
90,30.7216
91,27.3588
92,26.277
93,31.1578
94,24.7738
95,29.0488
96,25.3307
97,26.3438
98,21.254
99,28.0712
