t#,time,x0,x1,x2,v1,v2,v3
0,0,-0.005,0.000699965,0,-22045.6,-302.818,1075.71,
1,8.57908e-09,-0.00516756,0.000703068,0,-17443.8,1066.12,955.519,
2,1.35289e-08,-0.00524971,0.000710482,0,-15872.2,1935.62,670.64,
3,1.978e-08,-0.00534632,0.000726102,0,-15378.3,3064.89,80.7571,
4,2.60311e-08,-0.00544626,0.000748825,0,-16947.7,4207.49,-754.445,
5,3.2772e-08,-0.00557311,0.000781292,0,-21159.8,5373.85,-1905,
6,3.96302e-08,-0.005742,0.000820728,0,-28712.3,6008.96,-3242.55,
7,4.44085e-08,-0.0058944,0.000849538,0,-34877.9,5974.25,-4182.69,
8,4.74635e-08,-0.00600604,0.000867421,0,-38109.3,5697.79,-4751.97,
9,5.10244e-08,-0.0061473,0.00088683,0,-41090.8,5176.98,-5358.07,
10,5.75338e-08,-0.00642696,0.000916403,0,-44501.8,3824.18,-6259.39,
11,6.14702e-08,-0.00660478,0.000929439,0,-45747.6,2778.82,-6648.4,
12,6.56583e-08,-0.00679805,0.000938573,0,-46443.4,1569.41,-6917.93,
13,7.37562e-08,-0.00717535,0.000941189,0,-46486.1,-949.823,-6994.67,
14,8.1854e-08,-0.00754686,0.000923066,0,-45025.1,-3520.24,-6463.69,
15,8.83622e-08,-0.00783316,0.000893755,0,-42788.4,-5453.44,-5591.17,
16,9.25298e-08,-0.00800736,0.000868671,0,-40716.3,-6564.63,-4828.46,
17,9.75009e-08,-0.00820218,0.000833202,0,-37540.4,-7650.07,-3720.96,
18,1.01008e-07,-0.00832915,0.000805338,0,-34698.7,-8208.63,-2823.91,
19,1.04889e-07,-0.0084557,0.000772626,0,-30308.1,-8611.32,-1736.19,
20,1.07875e-07,-0.0085401,0.000746652,0,-26103.9,-8763.23,-842.582,
21,1.10862e-07,-0.008611,0.000720389,0,-21291,-8809.93,91.3229,
22,1.17001e-07,-0.00870779,0.000666785,0,-9979.12,-8570.27,2108.13,
23,1.25203e-07,-0.00872253,0.00060057,0,6438.6,-7398.27,4856.79,
24,1.33509e-07,-0.00860288,0.000548008,0,21952.6,-5061.91,7307.38,
25,1.38821e-07,-0.00846397,0.000526434,0,30037.6,-2999.76,8401.29,
26,1.44132e-07,-0.00828756,0.00051659,0,35990.4,-684.563,8920.5,
27,1.47935e-07,-0.00814491,0.000517183,0,38935,988.066,8888.76,
28,1.51738e-07,-0.00799204,0.000523976,0,41386,2559.61,8528.75,
29,1.56493e-07,-0.0077893,0.000540378,0,43745.1,4290.24,7682.98,
30,1.62277e-07,-0.00753031,0.000570215,0,45666.8,5931.39,6222.77,
31,1.66881e-07,-0.00731768,0.00059972,0,46619.6,6828.39,4865.99,
32,1.71485e-07,-0.00710184,0.000632569,0,47060.7,7388.06,3442.68,
33,1.75981e-07,-0.00689019,0.000666457,0,46997.3,7641.4,2056.7,
34,1.81683e-07,-0.00662411,0.000710161,0,46161.5,7632.83,373.345,
35,1.84406e-07,-0.00649949,0.000730801,0,45347.4,7520.34,-386.461,
36,1.89075e-07,-0.00629222,0.000765287,0,43301.4,7241.51,-1612.22,
37,1.93798e-07,-0.0060945,0.000798719,0,40181.4,6910.22,-2754.3,
38,1.96497e-07,-0.00598927,0.000817098,0,37717.1,6707.91,-3364.85,
39,1.99312e-07,-0.00588728,0.000835727,0,34656.4,6538.81,-3972.19,
40,2.02277e-07,-0.0057899,0.000854955,0,30941,6443.65,-4587.67,
41,2.05475e-07,-0.0056979,0.00087552,0,26681.3,6435.73,-5233.99,
42,2.08712e-07,-0.00561747,0.000896471,0,23146.9,6522.63,-5880.49,
43,2.14502e-07,-0.00549734,0.000935196,0,18716.2,6900.78,-7046.35,
44,2.20292e-07,-0.00539691,0.0009764,0,16277.4,7296.69,-8249.34,
45,2.28958e-07,-0.00526079,0.00104091,0,15716.4,7521.19,-10065.8,
46,2.39027e-07,-0.00509037,0.00111583,0,18661.5,7266.7,-12089.3,
47,2.49096e-07,-0.00487315,0.0011854,0,25170.9,6492.58,-13901.7,
48,2.53368e-07,-0.0047571,0.00121228,0,29324.7,6086.59,-14587.5,
49,2.61447e-07,-0.00448691,0.00125806,0,37220,5225.19,-15739.8,
50,2.69525e-07,-0.00416223,0.00129577,0,42755.4,4032.98,-16676.9,
51,2.77357e-07,-0.00381237,0.00132133,0,46333.8,2411.95,-17307,
52,2.87554e-07,-0.00332413,0.00133203,0,49195.3,-452.97,-17570,
