loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],BETA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-3.16244,0.555767,2.68514e-05,19.7943,20694,-8.8127,3.17146,3.4903e-05,24.8036,20216
2,-2.64646,0.461438,2.61238e-05,17.3452,97218,-13.3714,5.32102,1.4622e-05,33.7896,97218
3,-10.2358,1.40203,9.72181e-06,75.4421,93768,-22.4409,7.98146,1.64409e-05,63.2206,93768
4,-5.36674,0.724584,2.78127e-05,41.1296,92956,-13.5257,5.18816,3.56669e-05,35.4547,92956
5,-3.20393,0.521315,2.71787e-05,21.6091,99946,-8.00202,3.12198,3.33317e-05,20.8305,99946
6,-2.76423,0.504198,1.84738e-05,17.138,97562,-8.56882,3.05748,2.23048e-05,24.3419,97444
7,-4.09309,0.557129,2.33665e-05,31.8658,22256,-10.5939,3.62848,3.85971e-05,31.2063,22174
8,-7.45143,0.944483,3.46427e-05,59.8463,75082,-17.5721,7.14146,4.14964e-05,43.3777,75082
9,-3.40516,0.513905,3.2908e-05,24.5086,99394,-7.06519,2.8266,4.63776e-05,18.0135,99394
10,-2.28165,0.406476,2.33668e-05,15.2676,90280,-6.10927,2.35753,2.83352e-05,16.2557,90128
11,-5.60997,0.64258,1.97863e-05,50.5335,74614,-13.7824,4.86031,3.24325e-05,39.2887,74614
12,-6.72681,0.91536,2.82507e-05,50.5265,50600,-11.5389,4.72913,4.85661e-05,28.3661,50536
13,-2.42817,0.354647,6.59133e-05,19.4447,84018,-7.6027,3.18288,6.56143e-05,18.4742,84018
14,-2.90515,0.402938,4.88226e-05,23.4277,98476,-7.38026,2.88875,6.14777e-05,19.2015,98476
15,-2.1095,0.384832,2.63137e-05,14.162,93234,-5.4617,2.1461,3.22104e-05,14.3657,93022
16,-5.77838,0.660788,2.00047e-05,52.0434,85298,-15.0993,5.19689,3.32485e-05,44.0628,85262
17,-14.029,1.79146,2.02972e-05,110.42,22790,-18.9646,7.56962,4.43858e-05,47.6454,22756
18,-2.61908,0.406417,5.64624e-05,19.3387,91542,-6.94285,3.04654,6.04517e-05,16.1505,91542
19,-2.26699,0.346678,4.58154e-05,17.7087,99466,-6.01761,2.36794,5.55669e-05,15.7148,99464
20,-2.25626,0.355484,2.36112e-05,17.1336,88940,-6.99614,2.47072,3.19593e-05,20.2151,88808
21,-7.34309,0.797714,1.44471e-05,68.848,72124,-12.1873,4.23086,3.73839e-05,35.3427,72124
22,-5.24866,0.721938,3.35944e-05,39.5442,48968,-10.5031,4.29157,5.05042e-05,25.9382,48784
23,-2.444,0.345542,6.62749e-05,20.1803,80180,-8.18561,3.35842,6.39907e-05,20.2488,79998
24,-3.159,0.425867,4.63928e-05,25.781,98086,-7.79939,3.01334,6.15492e-05,20.5189,98088
25,-2.4693,0.450768,2.66958e-05,15.7452,98608,-6.3347,2.57913,2.95287e-05,15.9466,98506
26,-4.76439,0.572255,2.09876e-05,41.4141,85848,-13.9988,4.85354,2.99876e-05,40.5822,85848
27,-10.2988,1.42279,2.42043e-05,75.2507,23164,-17.3902,7.14561,3.99134e-05,42.4621,23106
28,-1.28227,0.237176,4.95404e-05,11.1487,89632,-6.15613,2.49718,4.02317e-05,15.5768,89632
29,-2.49147,0.357618,4.8538e-05,20.1539,99448,-7.35046,2.80198,5.65531e-05,19.6394,99446
30,-3.02335,0.506535,1.9808e-05,20.0196,98728,-8.0431,2.8461,2.93533e-05,23.0812,98724
31,-2.4144,0.343621,2.62152e-05,19.8746,78022,-7.57997,2.62406,3.71756e-05,22.2769,77926
32,-10.6393,1.1544,2.06692e-05,98.9218,69596,-14.996,5.47131,5.44509e-05,41.2844,69596
33,-16.5889,1.97696,2.06542e-05,139.705,35240,-19.4522,7.6673,5.33856e-05,49.4813,35200
34,-4.43609,0.607193,5.81047e-05,34.0565,86792,-14.4028,6.20673,4.71325e-05,33.583,86792
35,-2.76412,0.422996,3.56022e-05,20.4265,99512,-5.89357,2.32608,5.33489e-05,15.3624,99510
36,-2.41568,0.395966,2.30612e-05,17.2628,90280,-6.79233,2.46432,3.12053e-05,19.1273,90036
37,-7.93708,0.863902,1.89782e-05,74.0793,86878,-19.0542,6.62069,3.34082e-05,54.9884,86878
38,-23.3135,2.78813,1.28568e-05,195.299,39886,-26.2476,10.1823,3.56548e-05,67.7587,39788
39,-3.97078,0.583083,5.50373e-05,28.7559,91022,-10.19,4.54283,5.49577e-05,23.0771,91022
40,-2.7618,0.435685,3.79637e-05,19.8023,99856,-6.34311,2.59524,4.65445e-05,15.8887,99856
