loop, time[s]
0,18.4944
1,77.6753
2,25.5115
3,22.0629
4,21.0189
5,21.946
6,24.3757
7,55.3207
8,22.743
9,23.224
10,29.5237
11,19.5837
12,37.9529
13,24.4374
14,24.746
15,29.2935
16,22.4431
17,52.0247
18,25.5297
19,24.2552
20,30.2573
21,19.7141
22,40.8043
23,29.3478
24,23.7975
25,27.0104
26,21.4087
27,55.7061
28,24.0438
29,24.5862
30,21.627
31,35.7356
32,20.4627
33,46.0087
34,25.894
35,23.6442
36,32.4794
37,22.562
38,40.864
39,25.0676
40,24.2944
41,36.9633
42,21.2001
43,42.7946
44,22.6319
45,22.6898
46,35.8505
47,23.7607
48,29.4352
49,24.6261
50,23.5748
51,52.7702
52,25.7291
53,27.9539
54,22.676
55,22.583
56,49.3544
57,23.8722
58,21.796
59,22.7428
60,22.7701
61,60.5065
62,23.311
63,23.0888
64,23.6044
65,23.4247
66,61.5146
67,22.3207
68,20.8729
69,19.8558
70,22.4788
71,64.9631
72,23.7971
73,20.0877
74,21.4305
75,21.8123
76,42.2974
77,45.8042
78,24.5356
79,21.2898
80,22.7452
81,39.9925
82,23.6576
83,30.5121
84,24.6195
85,25.3125
86,29.6348
87,24.8475
88,27.0332
89,22.6565
90,35.6377
91,26.3968
92,31.2013
93,20.3865
94,41.5002
95,24.0529
96,23.8016
97,26.0997
98,21.9429
99,55.3102
