t#,time,x0,x1,x2,v1,v2,v3
0,0,-0.005,0.00280004,0,22045.6,302.818,1075.71,
1,7.84415e-09,-0.00483272,0.00279022,0,20841.4,-2584.02,1446.86,
2,1.60947e-08,-0.00466114,0.00276142,0,20964.8,-4129.29,2545.33,
3,1.9085e-08,-0.00459796,0.0027488,0,21317,-4271.02,3030.63,
4,2.22808e-08,-0.00452899,0.00273529,0,21880.4,-4124.42,3552.77,
5,2.50343e-08,-0.00446788,0.00272441,0,22530.9,-3745.43,3975.6,
6,2.81863e-08,-0.00439543,0.00271356,0,23478.8,-3109.41,4399.48,
7,3.37008e-08,-0.00426014,0.0027005,0,25719.3,-1531.68,4912.08,
8,3.9873e-08,-0.00409228,0.00269812,0,28645.4,862.771,5005.65,
9,4.30156e-08,-0.00400002,0.00270305,0,30062.1,2295.07,4811.2,
10,4.85178e-08,-0.00382804,0.00272296,0,32426.6,4953.44,4028.73,
11,5.22586e-08,-0.00370387,0.00274489,0,33945.6,6767.91,3172.93,
12,5.45929e-08,-0.00362359,0.002762,0,34832.4,7888.86,2509.76,
13,5.69272e-08,-0.0035413,0.00278173,0,35665.1,9013.25,1749.71,
14,5.98074e-08,-0.00343718,0.00280968,0,36617.4,10395,681.256,
15,6.28607e-08,-0.00332395,0.00284362,0,37535.3,11826.3,-602.559,
16,6.85028e-08,-0.00310793,0.00291749,0,38996.8,14321.9,-3349.19,
17,7.41147e-08,-0.00288561,0.00300419,0,40186.1,16516.8,-6493.64,
18,8.00338e-08,-0.00264485,0.00310768,0,41112.7,18362,-10143.4,
19,8.5953e-08,-0.00239934,0.00322049,0,41807.5,19656.5,-14006,
20,9.18722e-08,-0.00215034,0.00333918,0,42299.6,20344.7,-17952.4,
21,9.68809e-08,-0.00193761,0.0034415,0,42633,20429.9,-21267.4,
22,1.01889e-07,-0.00172349,0.00354288,0,42837.6,19956,-24479.4,
23,1.08421e-07,-0.00144342,0.003669,0,42883.7,18514.3,-28384.1,
24,1.14952e-07,-0.00116398,0.00378258,0,42621.4,16112.4,-31822.5,
25,1.20444e-07,-0.00093132,0.00386391,0,42040.8,13397,-34243.8,
26,1.25936e-07,-0.000702977,0.00392835,0,41035.9,9943.59,-36139.5,
27,1.32227e-07,-0.000450484,0.00397627,0,39067.7,5150.45,-37537.4,
28,1.3776e-07,-0.000241026,0.00399118,0,36539.3,107.146,-37970.9,
