loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-8.16619,1.07294e-05,51.8536,100000,-30.3565,9.60472e-06,81.3977,100000
2,-2.0805,1.00705e-05,8.54348,100000,-9.32434,9.24719e-06,26.8418,100000
3,-2.44488,8.85883e-06,11.5132,100000,-11.1493,1.99794e-05,41.8329,100000
4,-3.58355,8.54198e-06,20.1853,100000,-16.9826,1.8833e-05,62.4955,100000
5,-3.95079,8.63522e-06,23.3712,100000,-25.8749,1.2259e-05,91.6712,100000
6,-4.09096,8.6264e-06,24.4311,100000,-29.5172,1.04253e-05,102.83,100000
7,-4.13699,8.59816e-06,24.6869,100000,-30.099,1.00405e-05,104.299,100000
8,-4.14719,8.57976e-06,24.6947,100000,-29.9115,1.00268e-05,103.556,100000
9,-4.14655,8.57133e-06,24.6538,100000,-29.6726,1.00821e-05,102.758,100000
10,-4.14419,8.56832e-06,24.6207,100000,-29.5274,1.0126e-05,102.292,100000
11,-4.14234,8.56766e-06,24.6017,100000,-29.4602,1.01491e-05,102.082,100000
12,-4.14142,8.56762e-06,24.5934,100000,-29.4347,1.0159e-05,102.005,100000
13,-4.14096,8.56782e-06,24.5899,100000,-29.4279,1.01621e-05,101.986,100000
14,-4.14081,8.56791e-06,24.589,100000,-29.4269,1.01629e-05,101.984,100000
15,-4.14082,8.56792e-06,24.5891,100000,-29.4276,1.01629e-05,101.987,100000
16,-4.14077,8.56794e-06,24.5888,100000,-29.4283,1.01626e-05,101.989,100000
17,-4.14078,8.56795e-06,24.5889,100000,-29.4288,1.01625e-05,101.991,100000
18,-4.14079,8.56797e-06,24.589,100000,-29.4289,1.01625e-05,101.991,100002
19,-4.14077,8.56799e-06,24.5889,100000,-29.4289,1.01625e-05,101.991,100000
20,-4.14079,8.56795e-06,24.589,100000,-29.4288,1.01625e-05,101.991,100000
21,-4.14078,8.56802e-06,24.589,100000,-29.4287,1.01626e-05,101.99,100000
22,-4.14081,8.56796e-06,24.5892,100000,-29.4283,1.01627e-05,101.989,100000
23,-4.14078,8.56798e-06,24.589,100000,-29.4286,1.01626e-05,101.99,100000
24,-4.14079,8.56796e-06,24.589,100000,-29.4285,1.01626e-05,101.99,100000
25,-4.14079,8.56799e-06,24.589,100000,-29.4287,1.01626e-05,101.99,100000
26,-4.14076,8.56801e-06,24.5888,100000,-29.4282,1.01627e-05,101.989,100000
27,-4.14082,8.56793e-06,24.5892,100000,-29.4285,1.01626e-05,101.99,100000
28,-4.14078,8.56798e-06,24.589,100000,-29.4285,1.01626e-05,101.99,100000
29,-4.14077,8.56799e-06,24.5889,100000,-29.4285,1.01626e-05,101.99,100000
30,-4.14078,8.56796e-06,24.589,100000,-29.4287,1.01625e-05,101.99,100000
31,-4.14086,8.56793e-06,24.5893,100002,-29.4283,1.01627e-05,101.989,100000
32,-4.14078,8.568e-06,24.589,100000,-29.4287,1.01626e-05,101.99,100000
33,-4.14078,8.56797e-06,24.5889,100000,-29.4284,1.01626e-05,101.989,100000
34,-4.14079,8.56798e-06,24.589,100000,-29.429,1.01624e-05,101.992,100000
35,-4.14079,8.56795e-06,24.589,100000,-29.4285,1.01626e-05,101.99,100000
36,-4.1408,8.56794e-06,24.589,100000,-29.4284,1.01627e-05,101.989,100000
37,-4.14074,8.56802e-06,24.5887,100000,-29.4284,1.01626e-05,101.989,100000
38,-4.14083,8.56791e-06,24.5892,100000,-29.4285,1.01626e-05,101.99,100000
39,-4.14079,8.56798e-06,24.589,100000,-29.4287,1.01625e-05,101.99,100000
40,-4.14078,8.56797e-06,24.5889,100000,-29.429,1.01624e-05,101.991,100000
41,-4.1408,8.56794e-06,24.589,100000,-29.4285,1.01626e-05,101.99,100002
42,-4.1408,8.56794e-06,24.589,100000,-29.4289,1.01625e-05,101.991,100000
43,-4.14079,8.56795e-06,24.589,100000,-29.4285,1.01626e-05,101.99,100000
44,-4.14076,8.568e-06,24.5888,100000,-29.4287,1.01625e-05,101.99,100000
45,-4.14078,8.56797e-06,24.589,100000,-29.4288,1.01625e-05,101.991,100000
46,-4.14081,8.56794e-06,24.5891,100000,-29.4284,1.01626e-05,101.989,100000
47,-4.14079,8.56796e-06,24.589,100000,-29.4291,1.01624e-05,101.992,100002
48,-4.14078,8.56797e-06,24.589,100000,-29.4283,1.01627e-05,101.989,100000
49,-4.1408,8.56794e-06,24.5891,100000,-29.4285,1.01626e-05,101.99,100000
