loop, time[s]
0,9.89287
1,16.4321
2,10.8669
3,10.3535
4,10.5547
5,10.5145
6,10.4662
7,10.4655
8,10.4477
9,10.4029
10,10.376
11,10.871
12,10.7484
13,10.9572
14,10.6802
15,10.9208
16,10.7898
17,10.8429
18,10.756
19,10.5542
20,10.3708
21,10.8109
22,10.8011
23,10.5416
24,10.7092
25,11.0101
26,10.6613
27,10.4215
28,10.5488
29,10.667
30,10.7488
31,10.5207
32,10.8371
33,10.4401
34,10.3891
35,10.8544
36,10.9082
37,10.5105
38,10.2579
39,10.2738
40,10.3827
41,10.278
42,10.4098
43,10.3985
44,10.2685
45,10.3482
46,10.2272
47,10.397
48,10.5675
49,10.6696
