loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-1.59857,0.315939,11.2535,3.68599e-05,401090,-1.70786,0.279124,14.0324,0.000419167,383106
2,-0.869982,0.206293,8.51639,2.81036e-05,399968,-5.11206,0.443694,61.1529,0.00025753,399970
3,-2.7458,0.443125,19.271,1.86044e-05,392040,-11.1791,0.990475,127.185,4.13529e-05,392042
4,-2.39178,0.39433,17.0431,1.76024e-05,398976,-3.06379,0.472712,21.9728,7.63334e-05,398974
5,-2.65278,0.385862,20.8293,1.86524e-05,399364,-2.22217,0.217875,27.2544,0.000313182,399362
6,-2.31647,0.365204,17.4315,2.06271e-05,399286,-1.91518,0.299634,15.5787,7.66413e-05,399284
7,-2.68994,0.480401,17.1436,1.49604e-05,399222,-1.00612,0.14457,13.9191,0.000241528,399222
8,-3.45279,0.654199,19.752,1.06371e-05,399178,-6.5716,0.600631,73.566,0.000278906,399176
9,-3.96547,0.76407,21.8892,9.0459e-06,399162,-4.71475,0.439472,52.8563,0.000229547,399158
10,-4.01975,0.781315,21.9609,8.81344e-06,399182,-4.68414,0.406369,56.454,0.000100011,399180
11,-3.94509,0.77171,21.4636,8.87348e-06,399192,-4.35151,0.360702,55.2691,7.66993e-05,399192
12,-3.87617,0.760588,21.0688,8.96016e-06,399210,-4.01625,0.337408,50.7702,8.44494e-05,399210
13,-3.83953,0.753923,20.8801,9.01298e-06,399218,-3.61042,0.303944,46.1768,9.67656e-05,399218
14,-3.8276,0.751341,20.8301,9.03202e-06,399218,-3.23992,0.274469,41.8884,0.000106021,399218
15,-3.82652,0.750748,20.8355,9.03597e-06,399224,-3.15757,0.267199,41.0565,0.000106955,399224
16,-3.82832,0.750853,20.851,9.03451e-06,399226,-3.24572,0.272921,42.2639,0.000104144,399226
17,-3.82975,0.751011,20.8611,9.03307e-06,399228,-3.35817,0.281145,43.6691,0.000101735,399230
18,-3.83063,0.751143,20.8665,9.03182e-06,399230,-3.42613,0.286315,44.4907,0.000100618,399230
19,-3.831,0.751205,20.8686,9.03123e-06,399228,-3.44808,0.288117,44.7363,0.000100364,399228
20,-3.83113,0.751231,20.8692,9.03096e-06,399228,-3.45221,0.288469,44.7804,0.000100281,399228
21,-3.83118,0.751249,20.8691,9.03059e-06,399226,-3.4481,0.28823,44.719,0.000100381,399226
22,-3.83116,0.751246,20.8691,9.03063e-06,399226,-3.44616,0.288077,44.6966,0.000100387,399226
23,-3.83119,0.751242,20.8695,9.03084e-06,399228,-3.44448,0.287928,44.6795,0.000100384,399228
24,-3.8312,0.751243,20.8695,9.03083e-06,399230,-3.44303,0.287861,44.655,0.000100464,399228
25,-3.83116,0.751236,20.8693,9.03093e-06,399228,-3.44352,0.287874,44.6648,0.000100421,399228
26,-3.83112,0.751224,20.8693,9.0312e-06,399232,-3.44336,0.287889,44.6586,0.000100463,399230
27,-3.83115,0.751238,20.8691,9.03086e-06,399230,-3.44236,0.287831,44.6438,0.000100486,399228
28,-3.83117,0.751242,20.8692,9.03081e-06,399228,-3.44483,0.287963,44.6822,0.000100401,399230
29,-3.83117,0.751242,20.8692,9.03081e-06,399228,-3.4438,0.287859,44.674,0.000100389,399228
30,-3.83119,0.751242,20.8695,9.03085e-06,399228,-3.44107,0.287771,44.622,0.000100542,399228
31,-3.83117,0.75124,20.8693,9.03087e-06,399228,-3.44343,0.287889,44.6602,0.000100441,399228
32,-3.83117,0.751238,20.8694,9.0309e-06,399230,-3.44226,0.28783,44.6414,0.000100502,399228
33,-3.83118,0.751239,20.8694,9.03091e-06,399228,-3.44341,0.287883,44.6606,0.000100428,399228
34,-3.83115,0.751237,20.8692,9.03088e-06,399228,-3.4425,0.287813,44.6499,0.000100467,399228
35,-3.83115,0.751238,20.8691,9.03085e-06,399228,-3.44331,0.287866,44.661,0.000100453,399228
36,-3.83116,0.751239,20.8693,9.03087e-06,399228,-3.44326,0.287915,44.6523,0.000100493,399228
37,-3.8312,0.751245,20.8694,9.03081e-06,399228,-3.44369,0.287886,44.6669,0.00010043,399228
38,-3.83115,0.751237,20.8692,9.03089e-06,399228,-3.44485,0.28794,44.6863,0.000100353,399228
39,-3.83119,0.751244,20.8695,9.03081e-06,399230,-3.4426,0.287827,44.65,0.000100452,399228
40,-3.83119,0.751242,20.8694,9.03085e-06,399228,-3.44333,0.287871,44.6607,0.00010044,399228
41,-3.83115,0.751238,20.8692,9.03087e-06,399228,-3.44377,0.287898,44.6671,0.000100418,399228
