loop, time[s]
0,40.211
1,50.7532
2,52.9048
3,49.9166
4,48.8879
5,50.1539
6,45.8149
7,48.1662
8,50.5215
9,47.8632
10,46.5254
11,43.6704
12,41.6927
13,43.6846
14,42.6377
15,43.1716
16,42.0069
17,43.2052
18,43.1294
19,43.2696
20,43.2451
21,42.6672
22,42.6866
23,41.9987
24,43.1412
25,43.4496
26,42.9956
27,43.6026
28,42.9983
29,42.2919
30,42.3785
31,43.2106
32,42.848
33,43.5183
34,43.3323
35,43.0226
36,43.3409
37,42.1329
38,43.6101
39,43.3695
40,43.3293
41,43.3126
42,42.0514
43,42.3756
44,42.6165
45,41.7693
46,43.639
47,43.3106
48,43.2172
49,43.1298
