loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.62846,0.44549,17.753,2.64032e-05,399992,-3.23405,2.52201,4.54363,2.60914e-05,399992
2,-1.05117,0.228044,9.23045,2.93973e-05,399992,-3.82668,1.94531,8.04163,3.08819e-05,399994
3,-3.095,0.496871,21.2913,1.85876e-05,398092,-5.83521,3.21682,10.8958,3.06489e-05,398092
4,-2.39376,0.393071,17.1218,2.06299e-05,399350,-4.88742,2.78289,8.94281,2.8383e-05,399350
5,-4.43357,0.664116,31.1039,1.33073e-05,399646,-4.85033,2.58125,9.50147,4.06964e-05,399646
6,-4.37164,0.661884,30.3849,1.39983e-05,399666,-9.08694,5.17594,16.1463,1.92243e-05,399668
7,-4.85566,0.762081,32.2504,1.21088e-05,399650,-12.7642,7.52053,21.7971,1.1689e-05,399650
8,-5.58257,0.896278,35.8874,1.0197e-05,399638,-11.2928,6.53216,19.6759,1.2848e-05,399638
9,-5.94088,0.964969,37.6116,9.40792e-06,399638,-10.2829,5.82766,18.3158,1.43207e-05,399638
10,-5.97414,0.976358,37.5788,9.24762e-06,399640,-9.61539,5.38875,17.3428,1.55226e-05,399642
11,-5.91749,0.970019,37.1299,9.26829e-06,399644,-9.31572,5.19254,16.9055,1.61566e-05,399646
12,-5.86659,0.962745,36.7874,9.31269e-06,399646,-9.26924,5.15517,16.8605,1.63123e-05,399646
13,-5.83919,0.958417,36.6189,9.34139e-06,399646,-9.30926,5.17436,16.9417,1.62762e-05,399646
14,-5.82898,0.956597,36.564,9.35396e-06,399650,-9.3523,5.19863,17.0171,1.6213e-05,399648
15,-5.82684,0.956081,36.5576,9.35761e-06,399650,-9.37909,5.21461,17.0612,1.61684e-05,399650
16,-5.82718,0.956038,36.5634,9.35772e-06,399650,-9.39263,5.22299,17.0825,1.61436e-05,399650
17,-5.82794,0.956112,36.5698,9.3569e-06,399650,-9.39818,5.22651,17.0909,1.61328e-05,399652
18,-5.82849,0.956177,36.5741,9.35643e-06,399648,-9.39958,5.22749,17.0927,1.61294e-05,399648
19,-5.82885,0.956219,36.5769,9.35638e-06,399650,-9.39891,5.22724,17.0911,1.61303e-05,399650
20,-5.8289,0.956231,36.577,9.35621e-06,399650,-9.39893,5.22727,17.0911,1.613e-05,399650
21,-5.82898,0.956243,36.5775,9.35611e-06,399650,-9.39875,5.22716,17.0908,1.61303e-05,399650
22,-5.82902,0.95625,36.5778,9.35605e-06,399650,-9.39887,5.22722,17.0911,1.61301e-05,399650
23,-5.82896,0.956247,36.5771,9.35581e-06,399648,-9.39956,5.22756,17.0924,1.61287e-05,399648
24,-5.82903,0.95625,36.5779,9.35605e-06,399650,-9.39875,5.22714,17.0909,1.61304e-05,399650
25,-5.82905,0.956253,36.578,9.35603e-06,399650,-9.39878,5.22717,17.0909,1.61303e-05,399652
26,-5.82901,0.956247,36.5778,9.35609e-06,399650,-9.39887,5.22722,17.0911,1.61301e-05,399650
27,-5.82897,0.956246,36.5773,9.35603e-06,399650,-9.399,5.22727,17.0914,1.61298e-05,399652
28,-5.82907,0.956259,36.578,9.35596e-06,399652,-9.39888,5.22721,17.0911,1.61301e-05,399650
29,-5.82902,0.956251,36.5777,9.35601e-06,399652,-9.39898,5.22727,17.0913,1.61299e-05,399652
30,-5.82898,0.956245,36.5774,9.35607e-06,399650,-9.39887,5.22721,17.0911,1.61301e-05,399652
31,-5.82902,0.956251,36.5778,9.35602e-06,399650,-9.3988,5.22717,17.091,1.61303e-05,399650
32,-5.82901,0.956249,36.5777,9.35603e-06,399650,-9.3987,5.22712,17.0908,1.61304e-05,399650
33,-5.82891,0.956237,36.5769,9.35591e-06,399648,-9.39965,5.22761,17.0926,1.61286e-05,399648
34,-5.82908,0.956256,36.5782,9.35598e-06,399652,-9.39867,5.22711,17.0907,1.61305e-05,399650
35,-5.82906,0.956256,36.578,9.35599e-06,399650,-9.39898,5.22728,17.0912,1.61299e-05,399650
36,-5.82901,0.956249,36.5776,9.35605e-06,399650,-9.399,5.22728,17.0913,1.61299e-05,399650
37,-5.82898,0.956245,36.5775,9.35607e-06,399650,-9.39881,5.22718,17.091,1.61302e-05,399650
38,-5.829,0.956248,36.5776,9.35605e-06,399650,-9.39879,5.22718,17.0909,1.61302e-05,399650
39,-5.829,0.956247,36.5776,9.35606e-06,399650,-9.3988,5.22718,17.0909,1.61302e-05,399650
