loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.73495,0.482625,17.5705,2.46198e-05,100000,-1.28435,0.422688,6.26838,0.000185357,100000
2,-1.27637,0.240766,10.9198,3.2072e-05,99996,-3.52375,1.62241,8.26966,4.46552e-05,99996
3,-3.25728,0.497358,23.3431,2.17061e-05,99002,-3.59027,1.38204,10.0504,4.69695e-05,99002
4,-3.23434,0.501114,22.8709,1.96101e-05,99628,-4.13578,1.58454,11.4258,4.81101e-05,99628
5,-5.40255,0.771316,39.1376,1.41302e-05,99814,-4.81018,1.92074,12.5669,5.13303e-05,99814
6,-5.02195,0.715862,36.6272,1.59634e-05,99830,-5.08768,1.65558,16.2387,5.59454e-05,99830
7,-5.39088,0.786125,38.2402,1.45408e-05,99812,-6.07535,2.02726,18.7001,5.38769e-05,99812
8,-6.09801,0.904178,42.2325,1.25487e-05,99804,-7.27536,2.60914,20.67,4.02708e-05,99804
9,-6.54377,0.979713,44.7283,1.15051e-05,99806,-8.19285,3.03191,22.4686,3.16891e-05,99808
10,-6.66862,1.00392,45.2928,1.11643e-05,99806,-8.33887,3.07395,22.9466,3.0027e-05,99806
11,-6.65481,1.00463,45.0778,1.11106e-05,99806,-8.06877,2.94591,22.4396,3.10969e-05,99806
12,-6.61544,0.999752,44.7751,1.11382e-05,99808,-7.80114,2.82938,21.8626,3.24175e-05,99808
13,-6.58712,0.995705,44.5817,1.11708e-05,99812,-7.66817,2.77014,21.5877,3.32019e-05,99810
14,-6.57319,0.993538,44.4943,1.11905e-05,99812,-7.63816,2.75369,21.5498,3.34888e-05,99812
15,-6.56759,0.992594,44.4625,1.11988e-05,99810,-7.65972,2.75908,21.6273,3.34848e-05,99810
16,-6.56661,0.992357,44.4601,1.1202e-05,99812,-7.67281,2.76359,21.6646,3.34671e-05,99812
17,-6.56657,0.992309,44.4618,1.12027e-05,99812,-7.68457,2.76811,21.6945,3.34274e-05,99812
18,-6.56678,0.992323,44.464,1.12026e-05,99812,-7.68957,2.77034,21.7047,3.34046e-05,99812
19,-6.567,0.992348,44.4657,1.12024e-05,99812,-7.6913,2.77128,21.707,3.3393e-05,99812
20,-6.56696,0.992341,44.4655,1.12024e-05,99814,-7.69456,2.77252,21.7154,3.33772e-05,99812
21,-6.56713,0.992366,44.4667,1.12022e-05,99812,-7.69349,2.77215,21.7123,3.33797e-05,99812
22,-6.56752,0.992421,44.4693,1.12022e-05,99814,-7.69286,2.77193,21.7105,3.33822e-05,99812
23,-6.567,0.992345,44.4659,1.12024e-05,99812,-7.6913,2.77136,21.7063,3.33895e-05,99812
24,-6.5672,0.992373,44.4673,1.12022e-05,99812,-7.69212,2.77171,21.7081,3.33853e-05,99812
25,-6.56705,0.99235,44.4663,1.12024e-05,99812,-7.69298,2.77201,21.7106,3.33815e-05,99812
26,-6.56723,0.992379,44.4674,1.12021e-05,99812,-7.69415,2.77241,21.714,3.3377e-05,99812
27,-6.56718,0.992369,44.4672,1.12022e-05,99812,-7.6937,2.77227,21.7126,3.33782e-05,99812
28,-6.56721,0.992377,44.4672,1.12021e-05,99812,-7.69073,2.77119,21.7045,3.33908e-05,99812
29,-6.56722,0.992377,44.4673,1.12021e-05,99812,-7.69283,2.77192,21.7104,3.33825e-05,99812
30,-6.56712,0.992362,44.4667,1.12023e-05,99812,-7.69246,2.7718,21.7093,3.3384e-05,99812
31,-6.56712,0.992364,44.4666,1.12022e-05,99812,-7.69283,2.77194,21.7103,3.33821e-05,99812
32,-6.56721,0.992375,44.4673,1.12021e-05,99812,-7.69211,2.77169,21.7083,3.33851e-05,99812
33,-6.56713,0.992366,44.4667,1.12022e-05,99812,-7.69251,2.7718,21.7096,3.33837e-05,99812
34,-6.56726,0.992383,44.4676,1.1202e-05,99812,-7.69239,2.77175,21.7093,3.33844e-05,99812
35,-6.56709,0.992356,44.4666,1.12024e-05,99812,-7.69303,2.77198,21.7111,3.33824e-05,99812
36,-6.56706,0.992354,44.4663,1.12023e-05,99812,-7.69252,2.77186,21.7092,3.33832e-05,99812
37,-6.56725,0.992382,44.4675,1.1202e-05,99812,-7.69128,2.77142,21.7058,3.33876e-05,99814
38,-6.5672,0.992372,44.4673,1.12022e-05,99812,-7.69068,2.77118,21.7043,3.33909e-05,99812
39,-6.56717,0.99237,44.4671,1.12022e-05,99812,-7.68972,2.77086,21.7015,3.33946e-05,99812
40,-6.56724,0.99238,44.4674,1.12021e-05,99812,-7.69151,2.77141,21.7071,3.33881e-05,99812
41,-6.56719,0.992376,44.467,1.12021e-05,99812,-7.69347,2.77212,21.7124,3.33807e-05,99812
42,-6.56719,0.992372,44.4672,1.12022e-05,99812,-7.69369,2.77227,21.7125,3.33789e-05,99812
43,-6.56722,0.992378,44.4673,1.12021e-05,99812,-7.69474,2.77258,21.7159,3.33747e-05,99812
44,-6.56719,0.992375,44.467,1.12021e-05,99812,-7.69283,2.77193,21.7104,3.33827e-05,99812
45,-6.56715,0.992365,44.4669,1.12022e-05,99812,-7.6911,2.77136,21.7052,3.33892e-05,99812
46,-6.56728,0.992385,44.4678,1.1202e-05,99812,-7.69341,2.77216,21.7118,3.33796e-05,99814
47,-6.56719,0.992374,44.4671,1.12021e-05,99812,-7.6918,2.77155,21.7076,3.33859e-05,99812
48,-6.56731,0.99239,44.468,1.1202e-05,99812,-7.69236,2.77175,21.7091,3.3385e-05,99812
49,-6.56723,0.992379,44.4674,1.12021e-05,99812,-7.69088,2.77121,21.7052,3.33906e-05,99812
