loop, time[s]
0,20.7656
1,25.9018
2,25.4334
3,26.0228
4,24.5942
5,22.9554
6,24.0324
7,23.7614
8,24.2961
9,24.0225
10,24.0938
11,24.1181
12,23.4277
13,23.0831
14,22.9409
15,24.0193
16,23.9111
17,22.9526
18,23.8454
19,24.8113
20,23.5131
21,23.3653
22,23.4161
23,23.3036
24,23.3293
25,23.5687
26,24.3464
27,23.5751
28,23.3237
29,23.3528
30,23.1021
31,23.4766
32,23.172
33,23.076
34,23.1029
35,23.6989
36,23.5227
37,23.6527
38,24.3411
39,23.7295
40,23.936
41,23.8662
42,23.5769
43,23.4759
44,24.2967
45,24.588
46,24.9489
47,23.2987
48,23.4749
49,23.3898
