loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.73509,0.482646,17.5713,2.46192e-05,100000,-6.21855,3.8512,10.3008,2.41266e-05,100000
2,-1.27634,0.240763,10.9196,3.20723e-05,99996,-5.57361,2.56417,12.5051,3.64312e-05,99996
3,-3.25772,0.497415,23.3461,2.17062e-05,99006,-9.44098,4.67644,19.2736,2.93958e-05,99004
4,-3.23431,0.501116,22.8704,1.96098e-05,99628,-6.59241,3.31498,13.4118,3.42819e-05,99628
5,-5.40259,0.771327,39.1377,1.41299e-05,99814,-6.54847,3.20203,13.7046,4.49491e-05,99814
6,-5.02198,0.715869,36.6272,1.59632e-05,99830,-10.5887,5.38494,21.007,2.62623e-05,99830
7,-5.3909,0.786129,38.2402,1.45407e-05,99812,-14.9557,7.79779,28.8123,1.6669e-05,99812
8,-6.09791,0.904168,42.2316,1.25488e-05,99804,-15.5308,8.0821,29.9683,1.54207e-05,99806
9,-6.54373,0.97971,44.7279,1.15051e-05,99806,-15.1191,7.80937,29.3991,1.5739e-05,99806
10,-6.66859,1.00392,45.2927,1.11644e-05,99806,-14.6467,7.52606,28.6373,1.62486e-05,99808
11,-6.65477,1.00462,45.0775,1.11106e-05,99806,-14.2933,7.32053,28.0444,1.66822e-05,99806
12,-6.61536,0.999742,44.7745,1.11383e-05,99808,-14.1441,7.23054,27.8065,1.68981e-05,99808
13,-6.58734,0.995736,44.5831,1.11711e-05,99812,-14.1139,7.20876,27.7723,1.69655e-05,99812
14,-6.57293,0.993506,44.4924,1.11908e-05,99812,-14.1269,7.21297,27.8068,1.6967e-05,99812
15,-6.5675,0.992586,44.4617,1.11987e-05,99810,-14.1459,7.22211,27.8461,1.6951e-05,99810
16,-6.5668,0.992383,44.4615,1.12018e-05,99812,-14.1541,7.2265,27.8611,1.69449e-05,99812
17,-6.56658,0.992312,44.4618,1.12026e-05,99812,-14.1596,7.2296,27.8708,1.69383e-05,99812
18,-6.56677,0.992323,44.4638,1.12026e-05,99812,-14.1617,7.23081,27.8744,1.69356e-05,99812
19,-6.56699,0.992346,44.4657,1.12024e-05,99812,-14.1628,7.23143,27.876,1.69342e-05,99812
20,-6.56708,0.992357,44.4663,1.12023e-05,99812,-14.1629,7.23156,27.8762,1.69338e-05,99812
21,-6.56712,0.992364,44.4666,1.12022e-05,99812,-14.1628,7.23154,27.8759,1.69338e-05,99814
22,-6.56712,0.992364,44.4666,1.12022e-05,99812,-14.1591,7.22973,27.8684,1.69387e-05,99814
23,-6.5671,0.992361,44.4665,1.12023e-05,99812,-14.1627,7.2314,27.8758,1.69342e-05,99812
24,-6.56711,0.992362,44.4665,1.12022e-05,99812,-14.1634,7.23179,27.8771,1.69331e-05,99812
25,-6.56712,0.992364,44.4666,1.12022e-05,99812,-14.1631,7.23164,27.8766,1.69336e-05,99812
26,-6.56718,0.99237,44.4671,1.12022e-05,99812,-14.1632,7.23169,27.8768,1.69336e-05,99812
27,-6.56711,0.992362,44.4665,1.12022e-05,99812,-14.1628,7.2315,27.876,1.69338e-05,99812
28,-6.56717,0.992373,44.4669,1.12021e-05,99812,-14.1626,7.2314,27.8757,1.69341e-05,99812
29,-6.56713,0.992361,44.4668,1.12023e-05,99812,-14.1632,7.23167,27.8768,1.69337e-05,99812
30,-6.56726,0.992382,44.4677,1.12021e-05,99812,-14.163,7.23157,27.8763,1.69338e-05,99812
31,-6.56713,0.992366,44.4667,1.12022e-05,99812,-14.1632,7.2317,27.8768,1.69334e-05,99812
32,-6.56715,0.992372,44.4667,1.12021e-05,99812,-14.163,7.23158,27.8764,1.69336e-05,99812
33,-6.5672,0.992375,44.4672,1.12021e-05,99812,-14.1632,7.23167,27.8768,1.69336e-05,99812
34,-6.56727,0.992385,44.4677,1.1202e-05,99812,-14.1629,7.23157,27.8763,1.69338e-05,99812
35,-6.56717,0.992371,44.4669,1.12022e-05,99812,-14.163,7.2316,27.8764,1.69337e-05,99812
36,-6.5672,0.992373,44.4673,1.12022e-05,99812,-14.1634,7.23179,27.8771,1.69334e-05,99812
37,-6.56726,0.992385,44.4675,1.1202e-05,99812,-14.1632,7.23169,27.8768,1.69334e-05,99812
38,-6.56723,0.992379,44.4674,1.12021e-05,99812,-14.1631,7.23167,27.8766,1.69335e-05,99812
39,-6.56725,0.992383,44.4674,1.1202e-05,99812,-14.1633,7.23176,27.8771,1.69333e-05,99812
40,-6.56721,0.992376,44.4673,1.12021e-05,99812,-14.1635,7.23187,27.8775,1.69331e-05,99812
41,-6.5672,0.992378,44.467,1.12021e-05,99812,-14.163,7.23157,27.8764,1.69336e-05,99812
42,-6.56712,0.992364,44.4666,1.12022e-05,99812,-14.1632,7.23169,27.8767,1.69334e-05,99812
43,-6.56711,0.992363,44.4665,1.12022e-05,99812,-14.1626,7.2314,27.8756,1.69341e-05,99812
44,-6.56721,0.992376,44.4673,1.12021e-05,99812,-14.1631,7.23165,27.8766,1.69336e-05,99812
45,-6.56715,0.992368,44.4668,1.12022e-05,99812,-14.1633,7.23172,27.8769,1.69334e-05,99812
46,-6.56716,0.992369,44.467,1.12022e-05,99812,-14.1631,7.23164,27.8766,1.69336e-05,99812
47,-6.5672,0.992374,44.4672,1.12021e-05,99814,-14.1627,7.23147,27.8758,1.69339e-05,99812
48,-6.56711,0.992364,44.4664,1.12022e-05,99812,-14.1628,7.23149,27.876,1.69338e-05,99812
49,-6.56715,0.992368,44.4669,1.12022e-05,99812,-14.1635,7.23183,27.8774,1.69332e-05,99812
