loop, time[s]
0,10.4818
1,13.4219
2,12.2055
3,12.2707
4,12.4548
5,11.4909
6,11.5164
7,11.762
8,12.4017
9,12.0045
10,11.859
11,11.9409
12,11.6406
13,12.0548
14,11.6289
15,11.6098
16,11.4349
17,11.7572
18,11.7681
19,11.7961
20,11.8566
21,11.8073
22,11.8291
23,11.7022
24,11.7677
25,11.8919
26,11.787
27,11.5524
28,11.5569
29,11.6424
30,11.5366
31,11.791
32,11.5024
33,11.4944
34,11.5156
35,11.7653
36,11.4637
37,11.5453
38,11.7053
39,11.6727
40,11.7659
41,11.6718
42,11.7037
43,11.7144
44,11.6684
45,11.347
46,11.5522
47,11.5204
48,11.3069
49,11.5324
