loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.73512,0.48265,17.5715,2.4619e-05,100000,-11.8265,1.76875,79.6413,2.52428e-05,100000
2,-1.27635,0.240764,10.9196,3.20722e-05,99996,-5.17057,0.960332,28.8804,3.1798e-05,99996
3,-3.25757,0.497399,23.3449,2.17057e-05,99004,-7.94655,1.30716,49.074,3.11839e-05,99004
4,-3.23433,0.501118,22.8706,1.96098e-05,99628,-8.69528,1.38301,55.3923,3.14146e-05,99628
5,-5.40256,0.771323,39.1374,1.413e-05,99814,-6.31879,1.03936,39.3773,4.9667e-05,99814
6,-5.02202,0.715872,36.6276,1.59632e-05,99830,-12.3651,1.92667,79.8764,2.56184e-05,99830
7,-5.3909,0.786133,38.2402,1.45405e-05,99812,-25.4351,3.88752,166.673,1.25255e-05,99812
8,-6.09789,0.904165,42.2316,1.25488e-05,99804,-23.3858,3.61176,151.698,1.31892e-05,99804
9,-6.54368,0.979703,44.7276,1.15051e-05,99808,-22.3207,3.47914,143.488,1.33483e-05,99806
10,-6.66873,1.00394,45.2935,1.11642e-05,99806,-21.2862,3.33133,136.313,1.36874e-05,99806
11,-6.6547,1.00461,45.0773,1.11109e-05,99806,-20.5045,3.21464,131.098,1.40318e-05,99806
12,-6.61531,0.999735,44.7742,1.11384e-05,99808,-20.1612,3.16304,128.823,1.41817e-05,99808
13,-6.58744,0.995748,44.5839,1.11711e-05,99812,-20.0727,3.14951,128.246,1.42098e-05,99812
14,-6.57299,0.993517,44.4927,1.11907e-05,99812,-20.0788,3.15005,128.302,1.41954e-05,99812
15,-6.5676,0.992602,44.4623,1.11985e-05,99812,-20.1073,3.15402,128.504,1.41746e-05,99810
16,-6.56677,0.992377,44.4613,1.12018e-05,99812,-20.132,3.1575,128.677,1.41621e-05,99812
17,-6.56647,0.992298,44.461,1.12027e-05,99812,-20.1458,3.15944,128.774,1.41547e-05,99812
18,-6.56672,0.992315,44.4635,1.12026e-05,99812,-20.1528,3.16046,128.821,1.41511e-05,99812
19,-6.56701,0.99235,44.4658,1.12024e-05,99812,-20.1553,3.16083,128.838,1.41501e-05,99812
20,-6.56705,0.992354,44.4661,1.12023e-05,99812,-20.1557,3.16089,128.842,1.41499e-05,99812
21,-6.56708,0.992358,44.4664,1.12023e-05,99812,-20.1548,3.16074,128.835,1.41507e-05,99812
22,-6.5672,0.992373,44.4673,1.12022e-05,99812,-20.1557,3.16089,128.841,1.41501e-05,99812
23,-6.56712,0.992361,44.4667,1.12023e-05,99812,-20.1547,3.16073,128.834,1.41508e-05,99812
24,-6.56718,0.99237,44.4672,1.12022e-05,99812,-20.1562,3.16097,128.845,1.41497e-05,99812
25,-6.56709,0.992359,44.4664,1.12023e-05,99812,-20.1555,3.16087,128.84,1.41501e-05,99812
26,-6.56721,0.992376,44.4673,1.12021e-05,99812,-20.1545,3.16071,128.833,1.41508e-05,99812
27,-6.56714,0.992365,44.4668,1.12022e-05,99812,-20.1556,3.16087,128.84,1.41501e-05,99812
28,-6.5671,0.992361,44.4666,1.12023e-05,99812,-20.1548,3.16075,128.835,1.41506e-05,99812
29,-6.56718,0.99237,44.4672,1.12022e-05,99812,-20.1553,3.16083,128.838,1.41504e-05,99812
30,-6.56722,0.992375,44.4674,1.12021e-05,99812,-20.1559,3.16092,128.842,1.415e-05,99812
31,-6.56715,0.99237,44.4668,1.12021e-05,99812,-20.1551,3.1608,128.836,1.41504e-05,99812
32,-6.56718,0.992372,44.467,1.12021e-05,99812,-20.1557,3.16091,128.841,1.41499e-05,99812
33,-6.56713,0.992367,44.4666,1.12021e-05,99812,-20.1551,3.1608,128.837,1.41503e-05,99812
