loop, time[s]
0,23.0169
1,29.9649
2,25.8925
3,26.2146
4,25.3089
5,23.5803
6,26.0038
7,23.9814
8,24.103
9,23.8398
10,23.3688
11,24.5088
12,23.1713
13,24.5557
14,24.4059
15,23.6822
16,23.435
17,24.7272
18,22.5759
19,23.3913
20,23.8694
21,24.163
22,23.3032
23,24.083
24,24.8706
25,22.3586
26,22.1445
27,22.0361
28,22.1768
29,22.1142
30,22.2391
31,23.9551
32,23.1045
33,24.2089
34,23.4041
35,22.7326
36,22.1482
37,23.0264
38,22.5375
39,22.1094
40,22.0872
41,22.6755
42,22.7516
43,22.5022
44,22.4628
45,24.5115
46,24.146
47,23.6252
48,23.3109
49,22.8946
