loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.42126,0.435736,15.7493,2.76541e-05,100072,-2.27715,0.353282,17.5084,0.000331178,98210
2,-1.27633,0.240761,10.9196,3.20724e-05,99996,-1.38095,0.12491,23.2729,0.000101281,99996
3,-3.25728,0.497359,23.343,2.17059e-05,99002,-5.43903,0.591683,51.6882,0.000135449,99002
4,-3.23434,0.501115,22.8709,1.96101e-05,99628,-4.17484,0.521998,35.3052,0.000242214,99628
5,-5.40288,0.771363,39.14,1.41303e-05,99816,-3.40167,0.413108,30.4311,0.000266482,99816
6,-5.02176,0.715842,36.6255,1.59637e-05,99830,-3.47321,0.43475,30.0477,0.000141728,99830
7,-5.39088,0.786129,38.2401,1.45406e-05,99812,-2.10687,0.263692,20.6259,0.000244392,99812
8,-6.09791,0.904166,42.2317,1.25488e-05,99804,-2.41217,0.274362,24.8524,0.00025359,99804
9,-6.54381,0.979727,44.7282,1.15054e-05,99808,-2.80101,0.315257,28.0586,0.000217893,99806
10,-6.66871,1.00393,45.2935,1.11643e-05,99806,-2.97074,0.33809,29.0611,0.000195858,99806
11,-6.65475,1.00462,45.0776,1.11108e-05,99806,-2.94461,0.337653,28.6411,0.000191654,99806
12,-6.61543,0.999748,44.7751,1.11383e-05,99808,-2.85711,0.329112,27.8418,0.000193911,99808
13,-6.5874,0.995742,44.5837,1.11711e-05,99812,-2.78681,0.322241,27.2042,0.000196543,99812
14,-6.57297,0.99351,44.4927,1.11908e-05,99812,-2.74746,0.318268,26.8595,0.000197931,99812
15,-6.56753,0.992588,44.462,1.11988e-05,99810,-2.73305,0.316673,26.7454,0.00019845,99810
16,-6.56678,0.99238,44.4614,1.12018e-05,99812,-2.732,0.316515,26.7407,0.000198807,99812
17,-6.56647,0.992293,44.4611,1.12028e-05,99812,-2.73518,0.316728,26.7776,0.000198844,99812
18,-6.56673,0.992318,44.4635,1.12026e-05,99812,-2.73778,0.316956,26.8031,0.000198938,99814
19,-6.567,0.992349,44.4657,1.12024e-05,99812,-2.74038,0.31723,26.825,0.00019892,99812
20,-6.56714,0.992364,44.4668,1.12023e-05,99812,-2.74094,0.317236,26.8341,0.000198828,99812
21,-6.5671,0.992357,44.4666,1.12023e-05,99812,-2.7417,0.31734,26.8384,0.000198753,99812
22,-6.56713,0.992362,44.4669,1.12023e-05,99812,-2.74104,0.317183,26.8404,0.000198719,99812
23,-6.56718,0.992373,44.467,1.12021e-05,99812,-2.74123,0.317298,26.834,0.000198758,99812
24,-6.56714,0.992366,44.4668,1.12022e-05,99812,-2.74155,0.317335,26.8363,0.000198784,99812
25,-6.56713,0.992365,44.4666,1.12022e-05,99812,-2.74095,0.317254,26.8328,0.000198821,99812
26,-6.56716,0.99237,44.4669,1.12022e-05,99812,-2.74074,0.317203,26.8334,0.000198783,99812
27,-6.56727,0.992384,44.4677,1.1202e-05,99812,-2.74149,0.317361,26.8331,0.00019884,99812
28,-6.5671,0.992361,44.4665,1.12022e-05,99812,-2.74117,0.317271,26.8351,0.000198777,99812
29,-6.56703,0.992348,44.4661,1.12024e-05,99812,-2.74071,0.317248,26.8291,0.000198782,99812
30,-6.5672,0.992374,44.4672,1.12021e-05,99812,-2.74151,0.317308,26.8379,0.000198744,99812
31,-6.56703,0.992354,44.4658,1.12023e-05,99812,-2.74205,0.317387,26.8405,0.000198812,99812
32,-6.56722,0.992375,44.4674,1.12021e-05,99812,-2.74244,0.317487,26.8388,0.000198865,99812
33,-6.56718,0.992372,44.4671,1.12022e-05,99812,-2.74094,0.317298,26.8289,0.00019874,99812
34,-6.56729,0.992386,44.4679,1.1202e-05,99812,-2.74093,0.317306,26.828,0.000198817,99812
35,-6.56716,0.992369,44.4669,1.12022e-05,99812,-2.74158,0.317325,26.8377,0.000198823,99812
36,-6.56705,0.992351,44.4663,1.12024e-05,99812,-2.7425,0.317499,26.839,0.000198812,99812
37,-6.56707,0.992355,44.4664,1.12023e-05,99812,-2.74104,0.317229,26.8364,0.000198756,99812
38,-6.56718,0.992373,44.467,1.12021e-05,99812,-2.74193,0.317374,26.8396,0.000198761,99812
39,-6.56721,0.992374,44.4674,1.12022e-05,99812,-2.74178,0.317313,26.8421,0.00019878,99812
40,-6.56716,0.99237,44.4668,1.12022e-05,99812,-2.74047,0.317219,26.8274,0.000198754,99812
41,-6.56727,0.992385,44.4677,1.1202e-05,99812,-2.74114,0.317317,26.8308,0.000198791,99812
42,-6.56729,0.992386,44.4679,1.12021e-05,99812,-2.741,0.317217,26.8367,0.000198692,99812
43,-6.56715,0.992368,44.4668,1.12022e-05,99812,-2.74119,0.317263,26.8362,0.000198799,99814
44,-6.56715,0.992367,44.4668,1.12022e-05,99812,-2.74183,0.317374,26.8378,0.0001988,99812
45,-6.56706,0.992355,44.4663,1.12023e-05,99812,-2.74137,0.317313,26.8351,0.000198797,99812
46,-6.56721,0.992377,44.4672,1.12021e-05,99812,-2.742,0.317284,26.8484,0.00019864,99814
47,-6.56725,0.99238,44.4676,1.12021e-05,99812,-2.74088,0.317251,26.8319,0.000198785,99812
48,-6.56724,0.992379,44.4675,1.12021e-05,99812,-2.74136,0.317285,26.8371,0.000198786,99812
49,-6.56714,0.992363,44.4669,1.12023e-05,99812,-2.74143,0.317327,26.8349,0.000198809,99812
