loop, time[s]
0,10.9553
1,16.3934
2,14.0317
3,14.3505
4,13.3217
5,12.523
6,12.1978
7,12.5337
8,12.3566
9,12.4047
10,12.2906
11,12.4205
12,12.2584
13,12.2754
14,12.0012
15,12.262
16,12.0213
17,11.8179
18,11.9843
19,12.1575
20,11.9879
21,12.2658
22,12.497
23,12.2372
24,11.8839
25,12.3419
26,12.2466
27,11.9076
28,11.8671
29,12.1249
30,12.284
31,12.3057
32,12.3315
33,12.2915
34,12.3294
35,12.2285
36,11.9955
37,12.4092
38,11.8392
39,12.4444
40,12.0653
41,11.9241
42,11.7471
43,12.2316
44,12.4962
45,12.6166
46,12.1202
47,12.0631
48,12.3925
49,11.8668
