loop#,ALPHA[AXIS_X_R_RP:0.1],BETA[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.5],BETA[AXIS_X_R_RP:0.5],GAMMA[AXIS_X_R_RP:0.5],EPSILON[AXIS_X_R_RP:0.5],N_PARTICLES[AXIS_X_R_RP:0.5]
01,-2.38841,0.429862,15.5969,2.79979e-05,100066,-2.27628,0.3531,17.5062,0.000330987,98204
2,-1.27609,0.240748,10.9176,3.20697e-05,99996,-1.3808,0.124902,23.2711,0.000101286,99996
3,-3.25718,0.497343,23.3425,2.17057e-05,99002,-5.43797,0.591436,51.6903,0.000135365,99002
4,-3.2345,0.501129,22.8723,1.96095e-05,99628,-4.17547,0.522059,35.3113,0.000242172,99628
5,-5.40291,0.771356,39.1407,1.41307e-05,99816,-3.40293,0.413272,30.4399,0.000266516,99816
6,-5.02178,0.715842,36.6258,1.59638e-05,99830,-3.4742,0.434963,30.0486,0.0001418,99830
7,-5.3908,0.786116,38.2395,1.45408e-05,99812,-2.10712,0.263726,20.6272,0.000244377,99812
8,-6.09802,0.904179,42.2326,1.25487e-05,99804,-2.41299,0.274414,24.8621,0.000253473,99804
9,-6.54373,0.979709,44.728,1.15051e-05,99806,-2.80037,0.315238,28.0489,0.000217903,99806
10,-6.66873,1.00394,45.2937,1.11643e-05,99806,-2.97096,0.338059,29.0677,0.000195819,99806
11,-6.65467,1.00461,45.0769,1.11108e-05,99806,-2.9432,0.337463,28.6326,0.0001916,99806
12,-6.6155,0.999758,44.7756,1.11382e-05,99808,-2.85653,0.329082,27.8344,0.000193974,99808
13,-6.58739,0.99574,44.5836,1.11712e-05,99812,-2.78693,0.322231,27.2071,0.000196509,99812
14,-6.57303,0.993522,44.493,1.11906e-05,99812,-2.74665,0.318215,26.85,0.000197971,99812
15,-6.56744,0.992576,44.4614,1.11989e-05,99810,-2.73228,0.316555,26.7421,0.0001984,99810
16,-6.56678,0.99238,44.4614,1.12018e-05,99812,-2.73135,0.316504,26.7304,0.000199042,99812
17,-6.56652,0.992304,44.4614,1.12027e-05,99812,-2.73491,0.316721,26.7735,0.000198877,99812
18,-6.56668,0.992308,44.4633,1.12027e-05,99812,-2.73806,0.316915,26.8115,0.00019881,99812
19,-6.56683,0.992325,44.4646,1.12026e-05,99812,-2.74064,0.317199,26.8321,0.000198771,99812
20,-6.56713,0.992366,44.4666,1.12022e-05,99812,-2.74095,0.317262,26.8321,0.000198838,99812
21,-6.56695,0.992341,44.4654,1.12024e-05,99812,-2.74119,0.317319,26.8315,0.000198792,99812
22,-6.56713,0.992362,44.4668,1.12023e-05,99812,-2.7406,0.31722,26.8296,0.000198847,99812
23,-6.56714,0.992367,44.4668,1.12022e-05,99812,-2.74135,0.317332,26.8331,0.000198811,99812
24,-6.56719,0.992374,44.4672,1.12021e-05,99812,-2.74198,0.317362,26.8416,0.000198799,99812
25,-6.56715,0.992369,44.4668,1.12021e-05,99812,-2.74123,0.317282,26.8352,0.000198787,99812
26,-6.5672,0.992373,44.4672,1.12021e-05,99812,-2.74096,0.317247,26.8335,0.00019883,99812
27,-6.56718,0.992369,44.4672,1.12022e-05,99812,-2.74078,0.317268,26.8287,0.00019883,99812
28,-6.56711,0.992363,44.4666,1.12022e-05,99812,-2.74125,0.317264,26.8372,0.000198805,99812
29,-6.56707,0.992354,44.4664,1.12024e-05,99812,-2.74152,0.317339,26.8355,0.000198789,99812
30,-6.56722,0.992377,44.4673,1.12021e-05,99812,-2.74097,0.317266,26.8321,0.00019887,99812
31,-6.5672,0.992377,44.4671,1.12021e-05,99812,-2.74153,0.317326,26.8367,0.000198798,99812
32,-6.56726,0.992383,44.4676,1.1202e-05,99812,-2.74087,0.317222,26.8341,0.000198662,99812
33,-6.56716,0.99237,44.4669,1.12022e-05,99812,-2.74149,0.31738,26.8314,0.000198866,99814
34,-6.56726,0.992382,44.4676,1.1202e-05,99812,-2.74129,0.317299,26.8349,0.000198805,99812
35,-6.56712,0.992363,44.4667,1.12023e-05,99812,-2.74149,0.317353,26.8338,0.000198859,99812
36,-6.56711,0.992361,44.4666,1.12023e-05,99812,-2.74067,0.317243,26.8289,0.000198793,99812
37,-6.56723,0.992377,44.4674,1.12021e-05,99812,-2.74171,0.317333,26.8392,0.000198762,99812
38,-6.56714,0.992364,44.4668,1.12023e-05,99812,-2.74117,0.317346,26.8288,0.000198801,99812
39,-6.5673,0.992396,44.4675,1.12025e-05,99814,-2.74194,0.317378,26.8395,0.000198828,99812
40,-6.56721,0.992375,44.4673,1.12021e-05,99812,-2.74086,0.31729,26.8282,0.000198868,99812
41,-6.56715,0.992369,44.4667,1.12021e-05,99812,-2.7417,0.317332,26.8391,0.000198762,99812
42,-6.56725,0.99238,44.4676,1.12021e-05,99812,-2.7406,0.317297,26.823,0.000198868,99812
43,-6.56714,0.992367,44.4668,1.12022e-05,99812,-2.74116,0.317275,26.8347,0.000198749,99812
44,-6.56709,0.992359,44.4665,1.12023e-05,99812,-2.74138,0.317271,26.8387,0.000198738,99812
45,-6.56739,0.992399,44.4685,1.12021e-05,99814,-2.74132,0.317249,26.8397,0.000198785,99812
46,-6.56715,0.992368,44.4669,1.12022e-05,99812,-2.74134,0.317314,26.8344,0.00019885,99812
47,-6.56722,0.992377,44.4674,1.12021e-05,99812,-2.74177,0.317335,26.84,0.000198768,99812
48,-6.5672,0.992373,44.4673,1.12022e-05,99812,-2.74116,0.317271,26.835,0.000198783,99812
49,-6.56715,0.992369,44.4668,1.12022e-05,99812,-2.74073,0.317202,26.8334,0.000198724,99812
